node,node2,regime
5058,,None
5083,,33
5040,,None
5008,,None
5148,,None
5285,,None
5184,,None
4990,,None
5242,,None
5256,,None
5198,,None
5080,,None
4971,,None
5124,,None
4932,,None
5234,,None
5294,,None
5031,,None
5220,,None
4956,,None
5010,,None
5356,,None
4965,,None
4991,,33
4983,,33
4909,,None
4989,,33
5348,,None
5004,,None
5361,,33
5333,,33
5063,,None
5173,,33
5192,,None
4996,,None
4969,,33
5346,,None
5042,,None
5274,,None
5208,,None
5145,,33
5132,,None
4906,,None
4936,,None
5365,,None
5051,,None
4978,,None
5383,,None
5404,,None
5056,,None
5141,,33
4968,,None
5408,,None
5249,,33
5115,,33
5206,,None
5325,,33
5327,,33
5140,,None
5028,,None
5012,,None
4966,,None
5398,,None
5372,,None
5401,,None
4925,,33
5024,,None
5130,,None
5164,,None
5247,,None
5041,,33
5103,,33
5144,,None
5195,,33
5149,,33
4902,,None
5343,,None
5302,,None
5017,,33
5214,,None
5131,,33
5205,,None
5282,,None
5269,,33
5230,,None
4923,,33
5391,,33
5299,,33
4927,,None
5174,,None
4910,,None
5233,,33
5181,,33
5267,,33
5185,,33
4911,,None
4961,,33
5276,,None
5189,,None
5264,,None
4994,,None
5048,,None
4947,,33
5000,,None
5321,,None
4920,,None
5226,,None
5311,,33
5246,,None
5066,,None
5371,,33
5127,,33
5128,,None
5123,,33
5120,,None
5287,,33
5109,,33
5353,,33
5337,,33
5153,,33
4901,,33
4914,,None
5238,,None
5108,,None
5146,,None
4940,,None
4958,,None
4898,,None
5284,,None
5183,,33
5064,,None
5296,,None
5397,,33
5268,,None
5032,,None
5207,,None
5342,,None
5399,,33
5151,,None
5002,,None
5357,,33
5176,,None
4946,,None
5171,,33
4917,,33
5053,,33
5255,,None
4922,,None
5303,,33
5364,,None
5055,,33
5385,,33
5228,,None
5313,,33
5306,,None
5339,,33
5317,,None
5425,,33
5462,,None
5542,,None
5434,,None
5528,,None
5496,,None
5483,,33
5484,,None
5532,,None
5524,,None
5515,,None
5431,,None
5478,,None
5463,,33
5534,,None
5495,,None
5429,,33
5529,,None
5472,,None
5430,,None
5442,,None
5505,,33
5438,,None
5422,,None
5494,,None
5526,,None
5479,,33
5533,,33
5464,,None
5482,,None
5419,,33
5436,,None
5485,,33
5461,,33
5536,,None
5443,,33
5503,,33
5058,5083,33
5058,5040,33
5058,5008,33
5058,5148,33
5058,5285,33
5058,5184,33
5058,4990,33
5058,5242,33
5058,5256,33
5058,5198,33
5058,5080,33
5058,4971,33
5058,5124,33
5058,4932,33
5058,5234,33
5058,5294,33
5058,5031,33
5058,5220,33
5058,4956,33
5058,5010,33
5058,5356,33
5058,4965,33
5058,4991,33
5058,4983,33
5058,4909,33
5058,4989,33
5058,5348,33
5058,5004,33
5058,5361,33
5058,5333,33
5058,5063,33
5058,5173,33
5058,5192,33
5058,4996,33
5058,4969,33
5058,5346,33
5058,5042,33
5058,5274,33
5058,5208,33
5058,5145,33
5058,5132,33
5058,4906,33
5058,4936,33
5058,5365,33
5058,5051,33
5058,4978,33
5058,5383,33
5058,5404,33
5058,5056,33
5058,5141,33
5058,4968,33
5058,5408,33
5058,5249,33
5058,5115,33
5058,5206,33
5058,5325,33
5058,5327,33
5058,5140,33
5058,5028,33
5058,5012,33
5058,4966,33
5058,5398,33
5058,5372,33
5058,5401,33
5058,4925,33
5058,5024,33
5058,5130,33
5058,5164,33
5058,5247,33
5058,5041,33
5058,5103,33
5058,5144,33
5058,5195,33
5058,5149,33
5058,4902,33
5058,5343,33
5058,5302,33
5058,5017,33
5058,5214,33
5058,5131,33
5058,5205,33
5058,5282,33
5058,5269,33
5058,5230,33
5058,4923,33
5058,5391,33
5058,5299,33
5058,4927,33
5058,5174,33
5058,4910,33
5058,5233,33
5058,5181,33
5058,5267,33
5058,5185,33
5058,4911,33
5058,4961,33
5058,5276,33
5058,5189,33
5058,5264,33
5058,4994,33
5058,5048,33
5058,4947,33
5058,5000,33
5058,5321,33
5058,4920,33
5058,5226,33
5058,5311,33
5058,5246,33
5058,5066,33
5058,5371,33
5058,5127,33
5058,5128,33
5058,5123,33
5058,5120,33
5058,5287,33
5058,5109,33
5058,5353,33
5058,5337,33
5058,5153,33
5058,4901,33
5058,4914,33
