node,node2,regime
5318,,1
5011,,1
5345,,1
5346,,1
5259,,1
5404,,1
4895,,1
5147,,1
5121,,1
5027,,1
4918,,1
4981,,1
5161,,1
5181,,1
5182,,1
5089,,1
5353,,1
4967,,1
5271,,1
5261,,1
5092,,1
4959,,1
5076,,1
5106,,1
5022,,1
5180,,1
5051,,1
5052,,1
5033,,1
5017,,1
5465,,2
5449,,2
5450,,2
5523,,2
5531,,2
5483,,2
5484,,2
5517,,2
5518,,2
5470,,2
5436,,2
5515,,2
5529,,2
5533,,2
5485,,2
5461,,2
5462,,2
5510,,2
5479,,2
5540,,2
5499,,2
5475,,2
5538,,2
5443,,2
5491,,2
5525,,2
5495,,2
5490,,2
5421,,2
5447,,2
5426,,2
5527,,2
5528,,2
5522,,2
5464,,2
5438,,2
5487,,2
5357,,1
5127,,1
5383,,1
5405,,1
5193,,1
5265,,1
5084,,1
5378,,1
5111,,1
5175,,1
4972,,1
4979,,1
5325,,1
5327,,1
5099,,1
5100,,1
5153,,1
5196,,1
5132,,1
4909,,1
4910,,1
5237,,1
5238,,1
5336,,1
5019,,1
5020,,1
5333,,1
4929,,1
4930,,1
5125,,1
5126,,1
5364,,1
5295,,1
5209,,1
4990,,1
5025,,1
5026,,1
5375,,1
5349,,1
5109,,1
5047,,1
4997,,1
5391,,1
5120,,1
4915,,1
4916,,1
5339,,1
5189,,1
5190,,1
4919,,1
4956,,1
5095,,1
5096,,1
4903,,1
5282,,1
4966,,1
4977,,1
5297,,1
5298,,1
5351,,1
5371,,1
5000,,1
5348,,1
5385,,1
5242,,1
4995,,1
4996,,1
5239,,1
5240,,1
5170,,1
5097,,1
5002,,1
5268,,1
5254,,1
5324,,1
5312,,1
4942,,1
5080,,1
4934,,1
5400,,1
5245,,1
5303,,1
5304,,1
5356,,1
5275,,1
5211,,1
5043,,1
5044,,1
5157,,1
4945,,1
5151,,1
5289,,1
4905,,1
5197,,1
5407,,1
5040,,1
5288,,1
5115,,1
5255,,1
5206,,1
5103,,1
5244,,1
5249,,1
4951,,1
5215,,1
5014,,1
5107,,1
5108,,1
5401,,1
5402,,1
5301,,1
5174,,1
5069,,1
5070,,1
5365,,1
5366,,1
5341,,1
5149,,1
5150,,1
5087,,1
5088,,1
5168,,1
5322,,1
4983,,1
4984,,1
4921,,1
4991,,1
5318,5196,1
5318,5357,1
5318,5465,1
5318,5353,1
5318,5147,1
5318,5345,1
5318,5011,1
5345,5404,1
5345,5259,1
5345,5346,1
5404,4895,1
5147,5161,1
5147,5027,1
5147,5121,1
5027,4918,1
4918,4981,1
5161,5089,1
5161,5181,1
5181,5182,1
5353,5106,1
5353,5261,1
5353,5271,1
5353,4967,1
5261,5076,1
5261,5092,1
5092,4959,1
5106,5051,1
5106,5180,1
5106,5022,1
5051,5017,1
5051,5033,1
5051,5052,1
5465,5529,2
5465,5483,2
5465,5523,2
5465,5449,2
5449,5450,2
5523,5531,2
5483,5517,2
5483,5484,2
5517,5436,2
5517,5470,2
5517,5518,2
5436,5515,2
5529,5495,2
5529,5475,2
5529,5479,2
5529,5461,2
5529,5533,2
5533,5485,2
5461,5510,2
5461,5462,2
5479,5540,2
5540,5499,2
5475,5525,2
5475,5443,2
5475,5538,2
5443,5491,2
5495,5438,2
5495,5527,2
5495,5447,2
5495,5490,2
5490,5421,2
5447,5426,2
5527,5464,2
5527,5522,2
5527,5528,2
5438,5487,2
5357,4972,1
5357,5378,1
5357,5193,1
5357,5383,1
5357,5127,1
5383,5405,1
5193,5265,1
5265,5084,1
5378,5111,1
5111,5175,1
4972,5099,1
4972,5327,1
4972,5325,1
4972,4979,1
5099,5153,1
5099,5100,1
5196,5339,1
5196,5025,1
5196,5364,1
5196,5132,1
5132,5336,1
5132,4909,1
4909,5237,1
4909,4910,1
5237,5238,1
5336,5333,1
5336,5019,1
5019,5020,1
5333,5125,1
5333,4929,1
4929,4930,1
5125,5126,1
5364,5209,1
5364,5295,1
5209,4990,1
5025,5109,1
5025,5375,1
5025,5026,1
5375,5349,1
5109,5391,1
5109,4997,1
5109,5047,1
5391,5120,1
5120,4915,1
4915,4916,1
5339,5356,1
5339,4956,1
5339,4919,1
5339,5189,1
5189,5190,1
4956,5385,1
4956,5371,1
4956,4903,1
4956,5095,1
5095,5096,1
4903,5351,1
4903,5297,1
4903,4966,1
4903,5282,1
4966,4977,1
5297,5298,1
5371,5348,1
5371,5000,1
5385,5170,1
5385,5239,1
5385,5242,1
5242,4995,1
4995,4996,1
5239,5240,1
5170,5097,1
5097,5080,1
5097,5268,1
5097,5002,1
5268,5324,1
5268,5254,1
5324,5312,1
5312,4942,1
5080,5303,1
5080,5245,1
5080,4934,1
4934,5400,1
5303,5304,1
5356,5014,1
5356,4905,1
5356,5043,1
5356,5275,1
5275,5211,1
5043,4945,1
5043,5157,1
5043,5044,1
4945,5289,1
4945,5151,1
4905,5249,1
4905,5103,1
4905,5206,1
4905,5288,1
4905,5197,1
5197,5407,1
5407,5040,1
5288,5255,1
5288,5115,1
5103,5244,1
5249,4951,1
4951,5215,1
5014,5107,1
5107,5149,1
5107,5401,1
5107,5108,1
5401,5174,1
5401,5301,1
5401,5402,1
5174,5365,1
5174,5069,1
5069,5070,1
5365,5341,1
5365,5366,1
5149,4991,1
5149,5168,1
5149,5087,1
5149,5150,1
5087,5088,1
5168,4921,1
5168,5322,1
5322,4983,1
4983,4984,1
