gene,species,replicate,exprval
1,4895,R1,7
1,4903,R1,3
1,4905,R1,11
1,4909,R1,10
1,4910,R1,10
1,4915,R1,0
1,4916,R1,0
1,4918,R1,0
1,4919,R1,1
1,4921,R1,5
1,4929,R1,6
1,4930,R1,7
1,4934,R1,0
1,4942,R1,2
1,4945,R1,17
1,4951,R1,9
1,4956,R1,13
1,4959,R1,6
1,4966,R1,2
1,4967,R1,10
1,4972,R1,21
1,4977,R1,0
1,4979,R1,14
1,4981,R1,4
1,4983,R1,8
1,4984,R1,7
1,4990,R1,5
1,4991,R1,11
1,4995,R1,8
1,4996,R1,7
1,4997,R1,0
1,5000,R1,0
1,5002,R1,0
1,5011,R1,7
1,5014,R1,1
1,5017,R1,4
1,5019,R1,8
1,5020,R1,14
1,5022,R1,1
1,5025,R1,4
1,5026,R1,5
1,5027,R1,1
1,5033,R1,0
1,5040,R1,13
1,5043,R1,4
1,5044,R1,17
1,5047,R1,3
1,5051,R1,0
1,5052,R1,0
1,5069,R1,1
1,5070,R1,0
1,5076,R1,6
1,5080,R1,0
1,5084,R1,14
1,5087,R1,12
1,5088,R1,4
1,5089,R1,0
1,5092,R1,1
1,5095,R1,7
1,5096,R1,8
1,5097,R1,0
1,5099,R1,8
1,5100,R1,10
1,5103,R1,1
1,5106,R1,1
1,5107,R1,6
1,5108,R1,7
1,5109,R1,3
1,5111,R1,8
1,5115,R1,10
1,5120,R1,0
1,5121,R1,2
1,5125,R1,3
1,5126,R1,10
1,5127,R1,4
1,5132,R1,8
1,5147,R1,6
1,5149,R1,1
1,5150,R1,0
1,5151,R1,17
1,5153,R1,14
1,5157,R1,13
1,5161,R1,0
1,5168,R1,11
1,5170,R1,2
1,5174,R1,1
1,5175,R1,9
1,5180,R1,7
1,5181,R1,0
1,5182,R1,0
1,5189,R1,3
1,5190,R1,0
1,5193,R1,6
1,5196,R1,2
1,5197,R1,3
1,5206,R1,0
1,5209,R1,1
1,5211,R1,7
1,5215,R1,3
1,5237,R1,9
1,5238,R1,10
1,5239,R1,1
1,5240,R1,0
1,5242,R1,5
1,5244,R1,1
1,5245,R1,0
1,5249,R1,4
1,5254,R1,1
1,5255,R1,9
1,5259,R1,4
1,5261,R1,2
1,5265,R1,8
1,5268,R1,0
1,5271,R1,6
1,5275,R1,5
1,5282,R1,2
1,5288,R1,9
1,5289,R1,16
1,5295,R1,2
1,5297,R1,3
1,5298,R1,5
1,5301,R1,1
1,5303,R1,1
1,5304,R1,0
1,5312,R1,3
1,5318,R1,10
1,5322,R1,9
1,5324,R1,0
1,5325,R1,7
1,5327,R1,20
1,5333,R1,6
1,5336,R1,16
1,5339,R1,2
1,5341,R1,8
1,5345,R1,11
1,5346,R1,10
1,5348,R1,9
1,5349,R1,3
1,5351,R1,0
1,5353,R1,6
1,5356,R1,10
1,5357,R1,7
1,5364,R1,5
1,5365,R1,5
1,5366,R1,7
1,5371,R1,2
1,5375,R1,3
1,5378,R1,7
1,5383,R1,6
1,5385,R1,2
1,5391,R1,0
1,5400,R1,1
1,5401,R1,4
1,5402,R1,9
1,5404,R1,2
1,5405,R1,4
1,5407,R1,6
1,5421,R1,9
1,5426,R1,7
1,5436,R1,7
1,5438,R1,7
1,5443,R1,12
1,5447,R1,7
1,5449,R1,8
1,5450,R1,5
1,5461,R1,12
1,5462,R1,8
1,5464,R1,6
1,5465,R1,11
1,5470,R1,8
1,5475,R1,11
1,5479,R1,9
1,5483,R1,6
1,5484,R1,15
1,5485,R1,14
1,5487,R1,8
1,5490,R1,6
1,5491,R1,6
1,5495,R1,7
1,5499,R1,13
1,5510,R1,7
1,5515,R1,8
1,5517,R1,4
1,5518,R1,6
1,5522,R1,9
1,5523,R1,11
1,5525,R1,10
1,5527,R1,8
1,5528,R1,8
1,5529,R1,8
1,5531,R1,5
1,5533,R1,4
1,5538,R1,5
1,5540,R1,13
2,4895,R1,3
2,4903,R1,0
2,4905,R1,9
2,4909,R1,1
2,4910,R1,5
2,4915,R1,0
2,4916,R1,1
2,4918,R1,5
2,4919,R1,1
2,4921,R1,2
2,4929,R1,0
2,4930,R1,0
2,4934,R1,0
2,4942,R1,0
2,4945,R1,1
2,4951,R1,2
2,4956,R1,0
2,4959,R1,7
2,4966,R1,2
2,4967,R1,10
2,4972,R1,7
2,4977,R1,0
2,4979,R1,10
2,4981,R1,8
2,4983,R1,0
2,4984,R1,1
2,4990,R1,6
2,4991,R1,0
2,4995,R1,7
2,4996,R1,9
2,4997,R1,4
2,5000,R1,1
2,5002,R1,8
2,5011,R1,2
2,5014,R1,6
2,5017,R1,4
2,5019,R1,4
2,5020,R1,0
2,5022,R1,4
2,5025,R1,14
2,5026,R1,8
2,5027,R1,9
2,5033,R1,4
2,5040,R1,3
2,5043,R1,0
2,5044,R1,0
2,5047,R1,9
2,5051,R1,5
2,5052,R1,3
2,5069,R1,2
2,5070,R1,6
2,5076,R1,6
2,5080,R1,5
2,5084,R1,5
2,5087,R1,3
2,5088,R1,6
2,5089,R1,5
2,5092,R1,4
2,5095,R1,0
2,5096,R1,3
2,5097,R1,2
2,5099,R1,5
2,5100,R1,7
2,5103,R1,11
2,5106,R1,3
2,5107,R1,0
2,5108,R1,2
2,5109,R1,6
2,5111,R1,4
2,5115,R1,5
2,5120,R1,0
2,5121,R1,6
2,5125,R1,3
2,5126,R1,3
2,5127,R1,6
2,5132,R1,9
2,5147,R1,11
