gene	log2FC	p_value	q_value	signif
73	3.054407	3.3798087462474096e-20	1.7157074764302194e-18	True
14	3.111388	3.431414952860439e-20	1.7157074764302194e-18	True
100	2.2773108	1.6602018281350307e-19	4.82933585029391e-18	True
18	2.1593204	1.9843241089968512e-19	4.82933585029391e-18	True
25	2.8273604	2.749047250701238e-19	4.82933585029391e-18	True
63	2.254655	3.282237901717658e-19	4.82933585029391e-18	True
38	2.206707	3.380535095205737e-19	4.82933585029391e-18	True
13	2.6864982	7.469341172644473e-19	9.336676465805592e-18	True
60	3.0697534	1.1071024996923554e-18	1.2301138885470616e-17	True
19	2.4971461	1.3178922752096908e-18	1.3178922752096907e-17	True
12	2.3480456	1.892544834148355e-18	1.6708814103259764e-17	True
47	2.4003515	2.0050576923911718e-18	1.6708814103259764e-17	True
55	1.9325219	2.6364037236224918e-18	2.0280028643249935e-17	True
92	1.8662032	3.720456600442886e-18	2.6574690003163467e-17	True
97	2.5318203	3.9964766402522045e-18	2.6643177601681365e-17	True
28	2.245262	6.58338651172438e-18	4.1146165698277376e-17	True
56	2.0019014	8.261934011581633e-18	4.8599611832833134e-17	True
85	1.8038768	9.654344978204065e-18	5.363524987891147e-17	True
66	2.0389583	2.0356534920459353e-17	1.0713965747610185e-16	True
68	2.3111594	2.245201614683736e-17	1.122600807341868e-16	True
42	2.3985536	3.2723624188313564e-17	1.5582678184911222e-16	True
67	1.8325746	3.8131021483093376e-17	1.7332282492315172e-16	True
7	1.5504221	4.2021573753207376e-17	1.827024945791625e-16	True
27	2.3415241	5.697961676715005e-17	2.3741506986312526e-16	True
61	2.3118834	7.303199622319118e-17	2.921279848927647e-16	True
10	2.5921638	8.495834482111924e-17	3.2055479788214274e-16	True
44	2.1978612	8.732436727695458e-17	3.2055479788214274e-16	True
24	1.9686911	8.975534340699998e-17	3.2055479788214274e-16	True
59	2.0872524	1.0726580368938877e-16	3.698820816875475e-16	True
72	2.234276	1.1330221325191688e-16	3.776740441730563e-16	True
31	1.9914445	1.6156490098677628e-16	5.211770999573429e-16	True
62	1.7982508	1.7770790644007312e-16	5.553372076252285e-16	True
64	1.7510964	3.448802681540871e-16	1.0450917216790519e-15	True
88	1.9682884	4.956524282697831e-16	1.4578012596170091e-15	True
84	2.0794907	5.229276063468104e-16	1.4940788752766013e-15	True
81	1.9376854	5.666358443986429e-16	1.573988456662897e-15	True
90	1.8291408	7.015700619434178e-16	1.8961353025497777e-15	True
45	1.4990188	1.3088665355098003e-15	3.4443856197626325e-15	True
80	1.6789862	1.4546003594834037e-15	3.684763669177669e-15	True
49	1.4304613	1.4739054676710678e-15	3.684763669177669e-15	True
89	1.5385442	1.867852995422308e-15	4.555739013225142e-15	True
22	1.8418723	2.6259639095104845e-15	6.2522950226440105e-15	True
96	1.7725825	3.4532206566188187e-15	8.03074571306702e-15	True
30	1.3814818	6.5977053322100945e-15	1.4994784845932033e-14	True
43	1.635546	8.867053875477373e-15	1.9704564167727495e-14	True
79	1.6442308	1.1164459396386915e-14	2.4270563905188944e-14	True
40	2.1350145	1.2053382304072636e-14	2.5645494263984335e-14	True
39	1.8552693	1.334772194871588e-14	2.7807754059824754e-14	True
54	1.9964733	2.245422022017554e-14	4.582493922484804e-14	True
6	1.8435129	4.3700141249192444e-14	8.740028249838489e-14	True
33	1.9077933	5.075948317073559e-14	9.952839837399135e-14	True
70	1.7419015	6.117598142835972e-14	1.17646118131461e-13	True
    1	1.3947654	8.870428463450115e-14	1.6630759675667655e-13	True
11	1.8866997	8.980610224860534e-14	1.6630759675667655e-13	True
34	2.1014419	1.1073221540312391e-13	2.0133130073295256e-13	True
71	1.7530463	1.3150535287926827e-13	2.348309872844076e-13	True
15	1.8002509	1.6391594923088206e-13	2.8757184075593345e-13	True
94	1.5873139	1.721207276693081e-13	2.967598752919105e-13	True
46	2.0298867	2.041420757829584e-13	3.4440195238794425e-13	True
23	1.539873	2.0664117143276656e-13	3.4440195238794425e-13	True
8	1.6804079	3.563208619668753e-13	5.841325606014349e-13	True
93	1.7341821	3.8765349722931817e-13	6.227698184521495e-13	True
29	1.8971432	3.9234498562485423e-13	6.227698184521495e-13	True
99	1.8721328	4.0675652072441685e-13	6.355570636319013e-13	True
87	2.0258107	7.051459117221726e-13	1.0848398641879577e-12	True
32	1.0555285	1.1734852465413359e-12	1.7780079493050542e-12	True
37	1.699879	1.4502809365654484e-12	2.164598412784251e-12	True
57	1.458381	2.133641922714946e-12	3.13770870987492e-12	True
83	1.2600038	5.438263751151286e-12	7.881541668335198e-12	True
75	1.343187	8.774834786767314e-12	1.2535478266810449e-11	True
35	1.2359266	9.28628326911327e-12	1.3079272210018692e-11	True
74	1.4454442	2.0844819592946136e-11	2.8951138323536302e-11	True
78	1.5257874	2.8759721310931253e-11	3.9396878508125006e-11	True
2	1.5114087	3.073177624399605e-11	4.1529427356751414e-11	True
50	1.2975557	5.150002221509369e-11	6.866669628679158e-11	True
