ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_IGHG1	h1_theta_IGHA1	h0	h1	lrt	p	q	signif
6	ACTG1	3.4387946	35.560158	188.91277	25.220116	0.87736726	45.26706	90.66273	28.78614616394043	22.065847396850586	-14200.741	-14244.252	87.021484	0.0	0.0	True
8	IGHGP	1.3859185	2.4453378	28.88315	19.03243	1.2391925	41.534584	57.684555	20.37090301513672	-2.027634382247925	-6304.112	-6341.666	75.1084	0.0	0.0	True
10	IGHG3	1.3992205	4.5510645	101.27061	48.116188	1.2788179	24.475464	110.90704	55.0203857421875	-4.6720404624938965	-20606.938	-20648.502	83.12891	0.0	0.0	True
14	IGHG4	1.3306055	2.4054093	39.70546	26.03291	1.3078303	39.557575	69.45259	30.058927536010742	-3.2943711280822754	-9741.131	-9780.284	78.30664	0.0	0.0	True
19	IGKV2-26	8.6115	148.41316	27720.523	290.8906	10.245829	148.41316	22782.732	333.5990905761719	-15.5464448928833	-259127.67	-259191.56	127.78125	0.0	0.0	True
26	JCHAIN	6.835886	148.41316	58435.387	468.65967	10.46706	148.41316	43279.746	464.00225830078125	563.8423461914062	-364014.03	-364100.7	173.3125	0.0	0.0	True
38	IGHA2	0.21439949	32.55606	507.9794	22.470734	0.5436434	43.14259	226.2765	-7.420672416687012	100.77545928955078	-6812.036	-6863.7944	103.5166	0.0	0.0	True
16	MT-CO2	4.786723	76.14822	1186.6691	200.76312	4.8835926	73.42382	1100.102	202.6648712158203	206.22897338867188	-122020.734	-122052.5	63.53125	1.5543122344752192e-15	9.520162436160717e-15	True
28	RPS2	4.9099646	42.219368	204.71744	44.61723	2.5660932	49.1084	138.16663	46.57743835449219	30.772506713867188	-25893.943	-25915.488	43.089844	5.228295574255526e-11	2.569546242447984e-10	True
29	IGHG2	0.14233668	99.03811	20.577042	-0.14617486	0.15831237	91.52874	12.400588	-0.5247774124145508	3.1955347061157227	-11817.687	-11839.229	43.083984	5.243971923363233e-11	2.569546242447984e-10	True
35	XBP1	12.526658	42.07433	264.59323	45.83094	3.746289	41.579548	126.77618	45.9172477722168	38.37078094482422	-20301.16	-20322.291	42.26172	7.984013450368366e-11	3.5565150824368175e-10	True
25	HLA-B	25.270155	60.17142	603.84705	149.40645	29.576696	54.16208	538.9791	149.6881561279297	138.86900329589844	-96171.31	-96189.87	37.109375	1.11685471981815e-09	4.5358460321054395e-09	True
37	IGHV3-7	0.10560446	35.558296	272.0287	4.3001657	0.25660083	21.264704	48.50579	-2.2233986854553223	-0.490781307220459	-2004.0963	-2022.5782	36.963867	1.203387722803484e-09	4.5358460321054395e-09	True
21	MT-ATP6	4.5801067	50.491314	422.63397	91.77198	3.25575	26.942411	209.42624	87.44010162353516	105.64374542236328	-43693.52	-43710.94	34.84375	3.57254559268938e-09	1.250390957441283e-08	True
1	FTL	7.0127077	44.727386	104.94458	30.702679	4.095081	47.510387	74.82631	31.945236206054688	22.81151580810547	-14854.807	-14872.122	34.63086	3.985380137017103e-09	1.3018908447589202e-08	True
20	MTRNR2L12	2.509114	35.584785	396.74838	77.60807	2.293372	25.727594	318.30646	75.9261703491211	91.71915435791016	-27951.309	-27966.9	31.183594	2.3474162613723593e-08	7.18896230045285e-08	True
0	MT-CO3	4.7474	70.924866	991.66846	174.42935	4.928966	69.84738	924.19824	175.42221069335938	184.1876983642578	-101041.25	-101055.34	28.1875	1.1011341038980049e-07	3.1738571230001316e-07	True
43	RPS4X	56.795864	24.224287	216.96979	77.956055	117.80745	21.101965	185.72908	82.9487533569336	51.43366241455078	-45244.65	-45257.8	26.304688	2.9158012193608585e-07	7.937458874926781e-07	True
9	IGHA1	6.2976146	148.41316	76927.586	116.46931	5.6881967	148.41316	74454.51	25.794443130493164	730.3500366210938	-111486.78	-111499.16	24.75	6.526880098611798e-07	1.6832480254314638e-06	True
2	RPLP1	22.499546	30.14305	476.60803	135.64545	24.755348	27.671986	433.4402	142.4368133544922	95.83329772949219	-86131.66	-86143.88	24.453125	7.613991237498396e-07	1.8654278531871071e-06	True
24	IGKV2D-29	3.264105	148.41316	569473.1	4573.9756	3.4650714	148.41316	565752.5	4542.99267578125	4791.544921875	-5424101.5	-5424113.5	24.0	9.63357008609833e-07	2.247833020089611e-06	True
4	B2M	20.654615	49.256145	1039.3115	265.88092	22.841524	41.104744	888.1195	271.7967224121094	221.96400451660156	-181772.62	-181783.69	22.125	2.5546112407681676e-06	5.6898159453472825e-06	True
46	MT-CYB	4.555323	74.41937	627.82544	117.17274	3.670533	55.681774	396.63504	117.77898406982422	122.95128631591797	-57152.04	-57162.562	21.046875	4.481832176050915e-06	9.548251157673688e-06	True
48	IGHV3-13	0.07942417	49.80894	386.04166	-1.4364951	0.39697227	48.367252	106.585144	-9.515678405761719	-11.498907089233398	-317.98697	-326.48114	16.988342	3.761003509816785e-05	7.67871549920927e-05	True
31	IGHV3-48	0.5030338	4.097818	15.875771	-1.4013075	0.4405764	7.093473	16.421412	-1.523665189743042	3.4719009399414062	-1662.1116	-1670.3329	16.442627	5.0144830687659514e-05	9.828386814781265e-05	True
45	GAPDH	9.513616	50.688557	492.0779	53.565277	9.931897	48.138676	441.63052	57.241451263427734	24.834299087524414	-30520.564	-30528.611	16.09375	6.028265820567924e-05	0.00011360962507993394	True
30	H1FX	2.3832922	40.558395	68.418816	8.681593	0.9954875	46.488964	42.331432	10.416163444519043	4.465931415557861	-2684.146	-2690.9866	13.681152	0.00021661764110958437	0.0003931209042359124	True
47	IGKV2-4	0.024957258	47.743187	265.50742	-0.55719185	0.1170651	42.939896	64.29238	-5.3345255851745605	-37.19264221191406	-225.98239	-232.7828	13.60083	0.0002260855349992541	0.0003956496862486947	True
11	IGHV3-21	1.3073845	4.4987025	170.78163	-6.39954	1.0596995	3.1915977	142.09212	-14.989630699157715	-37.84276580810547	-10550.385	-10556.281	11.792969	0.0005945484723396399	0.0010045819015393916	True
41	RPL5	30.91478	38.657288	91.61614	24.853271	30.647114	36.115963	82.77008	26.05654525756836	16.790401458740234	-10096.011	-10101.44	10.859375	0.0009829686365321333	0.001605515439669151	True
7	IGHV3-64	0.36947095	4.4836793	54.27743	-10.898848	0.3986638	6.3593936	57.8461	-7.437263011932373	-45.760257720947266	-2344.3752	-2349.6958	10.641113	0.0011060107520153295	0.0017482105435081014	True
34	IGKV1-17	8.121945	12.806001	16.98825	-3.2912564	8.303679	15.161051	17.874044	-3.050973653793335	-4.441190242767334	104.29735	100.68954	7.215622	0.007227176760069232	0.011066614413856013	True
42	MZB1	28.160732	41.950466	302.25583	115.32573	27.712297	34.969532	250.10564	114.01752471923828	125.3912124633789	-62039.387	-62042.617	6.4609375	0.011027145100534042	0.016373639694732364	True
44	RPL10	66.08431	27.884285	272.61893	90.14252	1096.6332	25.793669	260.84332	94.154296875	67.1993179321289	-54264.594	-54267.4	5.609375	0.0178646337774786	0.025688870177004008	True
15	CD74	13.815295	50.98794	232.68437	52.80422	8.031234	42.87159	171.96205	54.13200759887695	49.25877380371094	-26276.492	-26279.273	5.5625	0.018349192983574292	0.025688870177004008	True
12	RPL41	26.332924	23.424252	263.64157	78.93444	31.828959	19.082733	208.02026	81.56609344482422	53.733036041259766	-46798.363	-46801.098	5.46875	0.019359467327368374	0.02635038608447362	True
3	IGHV3-33	11.497755	2.6941366	60.492252	10.026512	10.863841	2.6332722	58.532585	7.3841352462768555	35.348175048828125	-10484.35	-10486.6	4.5	0.03389485352468924	0.04488777899215602	True
17	RPSA	6.319781	25.730474	71.45788	19.299221	5.3445125	28.737112	66.432335	20.231521606445312	13.451537132263184	-7705.309	-7706.9736	3.3291016	0.0680640453496898	0.08776679531933684	False
27	RPL12	7.904332	21.326168	84.96417	29.86715	7.904332	21.326168	83.90889	31.056486129760742	24.108062744140625	-13087.829	-13088.828	1.9980469	0.1575020448006671	0.19788718449314585	False
23	IGKV1D-43	18.63476	1.9077595	288.6806	103.339455	18.65011	1.942289	286.48203	104.89745330810547	84.54315185546875	-29796.918	-29797.51	1.1835938	0.2766255920288808	0.338866350235379	False
39	IGHV3-41	0.067038715	41.272903	282.2453	1.9930277	0.072354294	39.70317	271.68573	-0.06762411445379257	7.662312030792236	-1509.8638	-1510.107	0.48657227	0.4854603356102898	0.5801843035342488	False
36	PTMA	2.8145754	37.895218	78.82333	29.67428	2.717299	44.205524	86.4414	30.056236267089844	26.730131149291992	-13769.456	-13769.525	0.13867188	0.7096049342531527	0.8278724232953449	False
5	IGHV3-30	3.6999173	148.41316	243637.75	2125.4407	4.035223	148.41316	239088.78	2119.532958984375	2175.62060546875	-2354053.0	-2353973.0	-160.0	1.0	1.0	False
13	HSP90B1	13.915887	110.92425	834.6462	150.07034	16.774174	39.95992	430.6111	146.83265686035156	161.21926879882812	-92016.95	-92015.31	-3.28125	1.0	1.0	False
18	IGKV2-29	0.95109534	148.41316	93779.21	714.84357	0.64943385	148.41316	91170.43	832.65625	-34.360595703125	-785436.1	-785420.6	-31.0	1.0	1.0	False
22	MT-CO1	4.463946	96.46626	1488.2097	247.91138	4.758435	60.911747	1140.561	246.73641967773438	285.2873229980469	-170476.0	-170470.38	-11.25	1.0	1.0	False
32	HSPA5	7.885428	14.816834	78.24859	35.994278	7.629412	16.156872	80.41638	35.63941192626953	37.13663101196289	-13312.661	-13311.361	-2.5996094	1.0	1.0	False
33	TXNDC5	36.67842	97.13078	699.59766	137.30843	45.994446	65.99132	547.5234	135.47947692871094	138.22467041015625	-87728.02	-87717.6	-20.84375	1.0	1.0	False
40	PPIB	32.177185	20.062866	164.23137	106.997185	32.712746	19.371914	159.07959	106.05508422851562	112.25880432128906	-64450.66	-64448.914	-3.4921875	1.0	1.0	False
