clone_id	n_tips	tree_len
Clonotype_1261	95	3.5767517082
Clonotype_133	83	3.0975859929
Clonotype_637	64	0.7606798605
Clonotype_995	42	4.6513391073
Clonotype_131	24	1.1754878446
Clonotype_1796	23	0.7345846403
Clonotype_371	22	1.4931284161
Clonotype_322	20	0.4547889183
Clonotype_2453	19	0.684583583
Clonotype_5024	19	1.7919449202
Clonotype_2188	15	0.4673653067
Clonotype_1149	14	0.5240260793
Clonotype_3839	14	0.1696746338
Clonotype_10937	12	0.3441278184
Clonotype_7511	12	1.7442613806
Clonotype_1036	11	0.1946460288
Clonotype_14815	11	0.1154343807
Clonotype_182	11	0.3253579289
Clonotype_4980	11	0.3203728385
Clonotype_6233	11	0.2000653295
Clonotype_755	11	0.8991802313
Clonotype_1584	10	0.1389246846
Clonotype_1587	10	0.2753542987
Clonotype_20167	10	0.2788109393
Clonotype_9708	10	0.1197470296
Clonotype_1050	9	0.1062076132
Clonotype_10632	9	1.1859557517
Clonotype_10760	9	0.1056869682
Clonotype_11695	9	0.3788892499
Clonotype_11979	9	0.1054948111
Clonotype_12043	9	0.1814326414
Clonotype_1957	9	0.316378287
Clonotype_2802	9	0.0083631334
Clonotype_28785	9	0.2604911236
Clonotype_2932	9	0.2377127929
Clonotype_4767	9	0.210214467
Clonotype_47980	9	0.2754465864
Clonotype_11636	8	0.302916639
Clonotype_11957	8	0.0653435137
Clonotype_13651	8	0.1022062252
Clonotype_1509	8	0.1541956793
Clonotype_15470	8	0.0339815959
Clonotype_19539	8	0.2165956501
Clonotype_2058	8	0.194309785
Clonotype_28639	8	0.4525978133
Clonotype_440	8	0.2400484599
Clonotype_6153	8	0.297543055
Clonotype_7066	8	0.3155032516
Clonotype_7538	8	0.0960237435
Clonotype_12895	7	0.2843018821
Clonotype_13660	7	0.2327230551
Clonotype_1457	7	0.1238575625
Clonotype_15941	7	0.129058449
Clonotype_1741	7	0.0167822706
Clonotype_186	7	0.2407620436
Clonotype_19899	7	0.1867301351
Clonotype_21868	7	0.9736990841
Clonotype_2284	7	0.0851530207
Clonotype_27373	7	0.7245861087
Clonotype_30400	7	0.8630064616
Clonotype_30652	7	0.1111121586
Clonotype_33621	7	0.1437801197
Clonotype_50956	7	0.0839896647
Clonotype_7328	7	0.050398159
Clonotype_9285	7	0.3695780745
Clonotype_1124	6	0.1792086369
Clonotype_11294	6	0.0407189313
Clonotype_12122	6	1.2415394221
Clonotype_1215	6	0.1520653783
Clonotype_1233	6	0.0662318325
Clonotype_13178	6	0.1971932487
Clonotype_1365	6	0.049047206
Clonotype_14378	6	0.1770415356
Clonotype_1570	6	0.162939409
Clonotype_15718	6	1.26688e-05
Clonotype_1614	6	0.1394415811
Clonotype_22529	6	0.0167129359
Clonotype_22766	6	0.0788759043
Clonotype_2294	6	0.0083903679
Clonotype_26687	6	0.2902991537
Clonotype_278	6	0.0497901588
Clonotype_33080	6	0.0882117122
Clonotype_36711	6	0.5688181262
Clonotype_3848	6	0.0964816007
Clonotype_39107	6	0.3079926741
Clonotype_40366	6	0.1003346547
Clonotype_4182	6	0.114526344
Clonotype_4246	6	0.1229378573
Clonotype_44113	6	0.0475149207
Clonotype_4508	6	0.5616037667
Clonotype_4584	6	0.3024441689
Clonotype_7180	6	0.0630398295
Clonotype_8494	6	0.1061093739
Clonotype_9022	6	0.0236602946
