set	dataset	group	leaves
unfiltered	E11_rep1	GLU	14
unfiltered	E11_rep1	Nb_BM	276
unfiltered	E11_rep1	Nb_FP	42
unfiltered	E11_rep1	Nb_GABA	292
unfiltered	E11_rep1	Nb_GLU	57
unfiltered	E11_rep1	NP	243
unfiltered	E11_rep1	Other	23
unfiltered	E11_rep1	Rgl	75
unfiltered	E11_rep2	Nb_BM	203
unfiltered	E11_rep2	Nb_FP	29
unfiltered	E11_rep2	Nb_GABA	206
unfiltered	E11_rep2	Nb_GLU	18
unfiltered	E11_rep2	NP	76
unfiltered	E11_rep2	Other	18
unfiltered	E11_rep2	Rgl	17
unfiltered	E11_rep3	GLU	2
unfiltered	E11_rep3	Nb_BM	235
unfiltered	E11_rep3	Nb_FP	97
unfiltered	E11_rep3	Nb_GABA	169
unfiltered	E11_rep3	Nb_GLU	29
unfiltered	E11_rep3	NP	41
unfiltered	E11_rep3	Other	12
unfiltered	E11_rep3	Rgl	64
unfiltered	E15_rep1	DA	82
unfiltered	E15_rep1	GABA	246
unfiltered	E15_rep1	GLU	363
unfiltered	E15_rep1	Nb_BM	34
unfiltered	E15_rep1	Nb_DA	87
unfiltered	E15_rep1	Nb_FP	14
unfiltered	E15_rep1	Nb_GABA	38
unfiltered	E15_rep1	Nb_GLU	36
unfiltered	E15_rep1	Rgl	20
unfiltered	E15_rep2	DA	15
unfiltered	E15_rep2	GABA	218
unfiltered	E15_rep2	GLU	509
unfiltered	E15_rep2	Nb_DA	12
unfiltered	E15_rep2	Nb_FP	21
unfiltered	E15_rep2	Nb_GABA	70
unfiltered	E15_rep2	Rgl	79
unfiltered	E15_rep3	DA	60
unfiltered	E15_rep3	GABA	264
unfiltered	E15_rep3	GLU	331
unfiltered	E15_rep3	Nb_BM	25
unfiltered	E15_rep3	Nb_DA	87
unfiltered	E15_rep3	Nb_FP	16
unfiltered	E15_rep3	Nb_GABA	74
unfiltered	E15_rep3	Nb_GLU	7
unfiltered	E15_rep3	Rgl	68
homogeneous	E11_rep1	GLU	12
homogeneous	E11_rep1	Nb_BM	119
homogeneous	E11_rep1	Nb_FP	21
homogeneous	E11_rep1	Nb_GABA	99
homogeneous	E11_rep1	Nb_GLU	27
homogeneous	E11_rep1	NP	121
homogeneous	E11_rep1	Other	15
homogeneous	E11_rep1	Rgl	62
homogeneous	E11_rep2	Nb_BM	82
homogeneous	E11_rep2	Nb_FP	16
homogeneous	E11_rep2	Nb_GABA	63
homogeneous	E11_rep2	Nb_GLU	13
homogeneous	E11_rep2	NP	48
homogeneous	E11_rep2	Other	13
homogeneous	E11_rep2	Rgl	13
homogeneous	E11_rep3	GLU	2
homogeneous	E11_rep3	Nb_BM	68
homogeneous	E11_rep3	Nb_FP	44
homogeneous	E11_rep3	Nb_GABA	45
homogeneous	E11_rep3	Nb_GLU	8
homogeneous	E11_rep3	NP	14
homogeneous	E11_rep3	Other	6
homogeneous	E11_rep3	Rgl	36
homogeneous	E15_rep1	DA	45
homogeneous	E15_rep1	GABA	59
homogeneous	E15_rep1	GLU	102
homogeneous	E15_rep1	Nb_BM	10
homogeneous	E15_rep1	Nb_DA	49
homogeneous	E15_rep1	Nb_FP	8
homogeneous	E15_rep1	Nb_GABA	14
homogeneous	E15_rep1	Nb_GLU	25
homogeneous	E15_rep1	Rgl	19
homogeneous	E15_rep2	DA	9
homogeneous	E15_rep2	GABA	72
homogeneous	E15_rep2	GLU	216
homogeneous	E15_rep2	Nb_DA	7
homogeneous	E15_rep2	Nb_FP	13
homogeneous	E15_rep2	Nb_GABA	36
homogeneous	E15_rep2	Rgl	43
homogeneous	E15_rep3	DA	26
homogeneous	E15_rep3	GABA	85
homogeneous	E15_rep3	GLU	120
homogeneous	E15_rep3	Nb_BM	10
homogeneous	E15_rep3	Nb_DA	35
homogeneous	E15_rep3	Nb_FP	6
homogeneous	E15_rep3	Nb_GABA	25
homogeneous	E15_rep3	Nb_GLU	5
homogeneous	E15_rep3	Rgl	49
