cell	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17
E15_rep1_clone00305	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	35	0	0	78	-1	71	67
E15_rep1_clone00364	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	11
E15_rep1_clone00399	24	6	-1	6	-1	7	-1	7	-1	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00416	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	0	0	0	0	0	0	0
E15_rep1_clone00419	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	-1	32	-1	35	-1	40
E15_rep1_clone00431	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	16
E15_rep1_clone00457	20	-1	18	-1	18	-1	14	-1	10	63	4	-1	17	-1	16	69	-1
E15_rep1_clone00465	20	-1	18	-1	18	-1	14	-1	10	0	2	-1	10	-1	8	55	-1
E15_rep1_clone00477	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	2	-1	4	19	57	53
E15_rep1_clone00486	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	41	-1	47	-1	29	-1
E15_rep1_clone00487	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	0	0	77	-1	70	-1	82
E15_rep1_clone00530	8	-1	6	-1	8	-1	4	1	4	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00538	20	-1	18	-1	18	-1	14	-1	10	1	-1	2	-1	4	42	85	57
E15_rep1_clone00544	20	-1	18	-1	18	-1	14	-1	10	33	0	4	-1	6	-1	3	71
E15_rep1_clone00547	20	-1	18	-1	18	-1	14	-1	10	48	-1	57	-1	66	-1	51	-1
E15_rep1_clone00549	20	-1	18	-1	18	-1	14	-1	10	56	0	0	77	-1	70	-1	82
E15_rep1_clone00552	20	-1	18	-1	18	-1	14	-1	10	66	-1	76	74	43	55	63	46
E15_rep1_clone00553	20	-1	18	-1	18	-1	14	-1	10	68	41	78	15	-1	13	-1	20
E15_rep1_clone00558	20	-1	18	-1	18	-1	14	-1	10	72	-1	82	0	71	0	55	-1
E15_rep1_clone00559	20	-1	18	-1	18	-1	14	-1	10	75	38	-1	12	-1	10	-1	17
E15_rep1_clone00566	20	-1	18	-1	18	-1	14	-1	10	0	5	-1	18	-1	21	-1	0
E15_rep1_clone00580	20	-1	18	-1	18	-1	14	-1	10	0	0	71	-1	0	0	57	72
E15_rep1_clone00591	20	-1	18	-1	18	-1	14	-1	10	0	0	0	0	0	0	0	13
E15_rep1_clone00602	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	7	0	61	-1
E15_rep1_clone00604	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	15	-1	17	17	82	-1
E15_rep1_clone00619	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	82	66	-1	66	-1	49
E15_rep1_clone00629	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	22	-1	34	-1	37	-1	44
E15_rep1_clone00630	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	28	58	19	-1	22	-1	26
E15_rep1_clone00633	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	35	26	-1	31	-1	15	-1
E15_rep1_clone00636	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	36	79	42	53	0	77	0
E15_rep1_clone00651	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	42	0	40	48
E15_rep1_clone00652	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	89	-1	88	-1
E15_rep1_clone00654	1	-1	1	-1	1	12	20	-1	20	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00655	1	-1	1	-1	1	16	18	-1	18	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00661	4	-1	2	-1	3	20	-1	22	-1	0	0	31	-1	36	-1	20	-1
E15_rep1_clone00664	5	4	-1	4	-1	5	-1	5	15	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00665	6	-1	3	-1	4	-1	16	-1	9	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00668	8	-1	6	-1	8	-1	4	2	15	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00669	8	-1	6	-1	8	-1	4	11	13	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00670	8	-1	6	-1	8	-1	4	21	24	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00673	10	-1	9	-1	10	-1	6	-1	1	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00674	10	-1	9	-1	10	-1	6	-1	2	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00676	11	-1	10	-1	11	-1	7	-1	12	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00677	11	-1	10	-1	11	-1	7	-1	13	-1	-1	-1	-1	-1	-1	-1	-1
E15_rep1_clone00678	12	-1	11	-1	12	-1	8	-1	2	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00687	14	-1	13	-1	14	-1	10	-1	13	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00691	18	7	-1	7	-1	8	-1	8	-1	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00692	19	10	-1	9	-1	11	-1	12	-1	35	-1	45	-1	52	-1	35	-1
E15_rep1_clone00693	20	-1	18	-1	18	-1	14	-1	10	1	-1	2	-1	4	19	57	53
E15_rep1_clone00694	20	-1	18	-1	18	-1	14	-1	10	1	-1	2	-1	4	38	55	-1
E15_rep1_clone00695	20	-1	18	-1	18	-1	14	-1	10	1	-1	2	-1	4	0	55	-1
E15_rep1_clone00696	20	-1	18	-1	18	-1	14	-1	10	2	39	70	3	2	-1	1	-1
E15_rep1_clone00698	20	-1	18	-1	18	-1	14	-1	10	6	-1	9	-1	11	0	0	52
E15_rep1_clone00700	20	-1	18	-1	18	-1	14	-1	10	10	14	-1	28	-1	31	-1	34
E15_rep1_clone00701	20	-1	18	-1	18	-1	14	-1	10	12	-1	14	-1	16	0	55	-1
E15_rep1_clone00703	20	-1	18	-1	18	-1	14	-1	10	13	-1	15	-1	17	17	82	-1
E15_rep1_clone00704	20	-1	18	-1	18	-1	14	-1	10	14	-1	16	-1	18	18	66	-1
E15_rep1_clone00705	20	-1	18	-1	18	-1	14	-1	10	17	-1	20	-1	24	-1	41	66
E15_rep1_clone00706	20	-1	18	-1	18	-1	14	-1	10	19	0	64	0	75	0	81	-1
E15_rep1_clone00708	20	-1	18	-1	18	-1	14	-1	10	23	-1	33	-1	38	-1	57	77
E15_rep1_clone00710	20	-1	18	-1	18	-1	14	-1	10	26	13	68	61	76	44	54	-1
E15_rep1_clone00711	20	-1	18	-1	18	-1	14	-1	10	27	-1	38	-1	44	-1	26	63
E15_rep1_clone00712	20	-1	18	-1	18	-1	14	-1	10	27	-1	38	-1	44	-1	26	66
E15_rep1_clone00713	20	-1	18	-1	18	-1	14	-1	10	27	-1	38	-1	44	-1	26	69
E15_rep1_clone00716	20	-1	18	-1	18	-1	14	-1	10	34	-1	44	-1	51	-1	34	56
E15_rep1_clone00717	20	-1	18	-1	18	-1	14	-1	10	41	35	19	-1	23	-1	10	-1
E15_rep1_clone00719	20	-1	18	-1	18	-1	14	-1	10	43	25	83	-1	77	-1	70	73
E15_rep1_clone00721	20	-1	18	-1	18	-1	14	-1	10	47	-1	56	-1	65	-1	50	-1
E15_rep1_clone00724	20	-1	18	-1	18	-1	14	-1	10	52	-1	32	-1	37	-1	21	-1
E15_rep1_clone00725	20	-1	18	-1	18	-1	14	-1	10	54	30	59	39	48	46	59	21
E15_rep1_clone00726	20	-1	18	-1	18	-1	14	-1	10	56	6	-1	21	-1	24	-1	57
E15_rep1_clone00731	20	-1	18	-1	18	-1	14	-1	10	60	47	-1	54	90	-1	89	-1
E15_rep1_clone00732	20	-1	18	-1	18	-1	14	-1	10	61	-1	30	-1	35	-1	19	-1
E15_rep1_clone00733	20	-1	18	-1	18	-1	14	-1	10	63	35	31	-1	36	-1	20	-1
E15_rep1_clone00734	20	-1	18	-1	18	-1	14	-1	10	63	37	62	-1	0	61	-1	84
E15_rep1_clone00735	20	-1	18	-1	18	-1	14	-1	10	66	-1	76	74	43	55	76	46
E15_rep1_clone00738	20	-1	18	-1	18	-1	14	-1	10	70	0	0	0	81	45	57	0
E15_rep1_clone00739	20	-1	18	-1	18	-1	14	-1	10	71	35	0	0	78	-1	71	67
E15_rep1_clone00743	20	-1	18	-1	18	-1	14	-1	10	73	-1	84	2	-1	2	-1	3
E15_rep1_clone00746	20	-1	18	-1	18	-1	14	-1	10	79	52	0	2	-1	2	-1	3
E15_rep1_clone00750	20	-1	18	-1	18	-1	14	-1	10	89	-1	97	-1	97	-1	94	-1
E15_rep1_clone00751	20	-1	18	-1	18	-1	14	-1	10	91	0	0	27	-1	29	-1	30
E15_rep1_clone00753	20	-1	18	-1	18	-1	14	-1	10	94	53	72	2	-1	2	-1	3
E15_rep1_clone00756	20	-1	18	-1	18	-1	14	-1	10	0	7	0	2	-1	2	-1	3
E15_rep1_clone00758	20	-1	18	-1	18	-1	14	-1	10	0	16	-1	30	-1	33	-1	36
E15_rep1_clone00759	20	-1	18	-1	18	-1	14	-1	10	0	22	-1	34	-1	37	-1	44
E15_rep1_clone00761	20	-1	18	-1	18	-1	14	-1	10	0	28	58	19	-1	22	-1	26
E15_rep1_clone00762	20	-1	18	-1	18	-1	14	-1	10	0	30	-1	2	-1	2	-1	3
E15_rep1_clone00763	20	-1	18	-1	18	-1	14	-1	10	0	31	-1	4	94	-1	92	0
E15_rep1_clone00765	20	-1	18	-1	18	-1	14	-1	10	0	35	31	-1	36	-1	20	-1
E15_rep1_clone00766	20	-1	18	-1	18	-1	14	-1	10	0	35	62	-1	95	-1	93	-1
E15_rep1_clone00768	20	-1	18	-1	18	-1	14	-1	10	0	36	79	42	53	0	77	0
E15_rep1_clone00772	20	-1	18	-1	18	-1	14	-1	10	0	49	65	0	80	-1	74	77
E15_rep1_clone00775	20	-1	18	-1	18	-1	14	-1	10	0	50	-1	58	57	60	-1	66
E15_rep1_clone00779	20	-1	18	-1	18	-1	14	-1	10	0	59	0	0	81	0	0	87
E15_rep1_clone00785	20	-1	18	-1	18	-1	14	-1	10	0	0	81	0	81	0	0	6
E15_rep1_clone00788	20	-1	18	-1	18	-1	14	-1	10	0	0	101	0	0	54	-1	76
E15_rep1_clone00794	20	-1	18	-1	18	-1	14	-1	10	0	0	0	78	-1	71	-1	89
E15_rep1_clone00799	21	-1	22	-1	22	14	-1	16	8	35	-1	45	-1	52	-1	35	-1
