# logfile for VINE (version 0.3.4), Tue May 19 17:21:48 2026
# Host: bam31 [Linux, release 4.18.0-553.120.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --mean \
#   data/vine_no_migration/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_vine_mean.nwk \
#   --nsamples 100 -j 16 \
#   data/laml/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_character_matrix.tsv \
#   --logfile \
#   data/vine_no_migration/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_vine.log 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	sigma.0	nu	lead_t	
1	-6273.915649	-6463.173694	78.312548	0.000000	0.000000	110.945497	-4.660584	0.415000	0.035000	
2	-5386.081845	-5573.002358	78.315305	0.000000	0.000000	108.605208	-4.624310	0.429982	0.020000	
3	-5297.766094	-5483.043204	78.355903	0.000000	0.000000	106.921206	-4.584389	0.444962	0.005001	
4	-5224.496956	-5407.984115	78.404064	0.000000	0.000000	105.083095	-4.542224	0.459919	0.000000	
5	-5171.161796	-5352.780451	78.459652	0.000000	0.000000	103.159004	-4.498203	0.474858	0.000000	
6	-5102.553204	-5282.239945	78.517574	0.000000	0.000000	101.169166	-4.453121	0.489751	0.000000	
7	-5040.180583	-5217.909758	78.577729	0.000000	0.000000	99.151447	-4.407239	0.504588	0.000000	
8	-4968.858637	-5144.616937	78.639528	0.000000	0.000000	97.118773	-4.360784	0.519344	0.000000	
9	-4910.196490	-5083.985952	78.707293	0.000000	0.000000	95.082168	-4.313906	0.534005	0.000000	
10	-4873.998928	-5045.823391	78.775526	0.000000	0.000000	93.048936	-4.266709	0.548562	0.000000	
11	-4851.307435	-5021.178247	78.846792	0.000000	0.000000	91.024019	-4.219230	0.563030	0.000000	
12	-4837.785407	-5005.715389	78.920487	0.000000	0.000000	89.009494	-4.171494	0.577421	0.000000	
13	-4841.061902	-5007.066223	78.997521	0.000000	0.000000	87.006800	-4.123455	0.591725	0.000000	
14	-4820.268243	-4984.356626	79.073994	0.000000	0.000000	85.014389	-4.075170	0.605966	0.000000	
15	-4807.343827	-4969.529390	79.150503	0.000000	0.000000	83.035060	-4.026696	0.620130	0.000000	
16	-4774.048665	-4934.355717	79.235651	0.000000	0.000000	81.071401	-3.978070	0.634206	0.000000	
17	-4779.261840	-4937.706879	79.319851	0.000000	0.000000	79.125188	-3.929310	0.648235	0.000000	
18	-4788.784509	-4945.389135	79.407236	0.000000	0.000000	77.197390	-3.880416	0.662231	0.000000	
19	-4758.856124	-4913.644287	79.500019	0.000000	0.000000	75.288144	-3.831409	0.676156	0.000000	
20	-4687.617921	-4840.613345	79.596931	0.000000	0.000000	73.398493	-3.782310	0.689888	0.000000	
21	-4670.735367	-4821.949222	79.684506	0.000000	0.000000	71.529348	-3.733128	0.703432	0.000000	
22	-4663.410154	-4812.860737	79.769361	0.000000	0.000000	69.681222	-3.683881	0.716783	0.000000	
23	-4621.369824	-4769.075112	79.850392	0.000000	0.000000	67.854896	-3.634574	0.729876	0.000000	
24	-4592.693945	-4738.670376	79.925806	0.000000	0.000000	66.050625	-3.585205	0.742659	0.000000	
25	-4578.966114	-4723.229378	79.994777	0.000000	0.000000	64.268487	-3.535782	0.755044	0.000000	
26	-4575.052602	-4717.620530	80.059144	0.000000	0.000000	62.508784	-3.486317	0.767137	0.000000	
27	-4561.681524	-4702.575153	80.121610	0.000000	0.000000	60.772019	-3.436794	0.778786	0.000000	
28	-4545.794642	-4685.034127	80.181720	0.000000	0.000000	59.057765	-3.387221	0.789930	0.000000	
29	-4536.622579	-4674.226316	80.237396	0.000000	0.000000	57.366340	-3.337605	0.800533	0.000000	
30	-4524.158477	-4660.146547	80.290020	0.000000	0.000000	55.698050	-3.287953	0.810576	0.000000	
31	-4500.979407	-4635.374061	80.341477	0.000000	0.000000	54.053178	-3.252827	0.820018	0.000000	
32	-4502.317811	-4635.610565	80.388330	0.000000	0.000000	52.904424	-3.217560	0.828857	0.000000	
33	-4549.154138	-4681.346518	80.428929	0.000000	0.000000	51.763450	-3.181043	0.837328	0.000000	
34	-4519.235158	-4650.291110	80.460764	0.000000	0.000000	50.595188	-3.143152	0.845374	0.000000	
35	-4517.962546	-4647.853598	80.494029	0.000000	0.000000	49.397024	-3.103959	0.852869	0.000000	
36	-4537.594796	-4666.300189	80.532600	0.000000	0.000000	48.172793	-3.063583	0.860038	0.000000	
37	-4547.217338	-4674.718118	80.573069	0.000000	0.000000	46.927712	-3.022152	0.866909	0.000000	
38	-4523.829474	-4650.096632	80.600156	0.000000	0.000000	45.667002	-2.979782	0.873487	0.000000	
39	-4559.667582	-4684.686839	80.623765	0.000000	0.000000	44.395492	-2.936580	0.879849	0.000000	
40	-4516.301156	-4640.066998	80.648331	0.000000	0.000000	43.117511	-2.892642	0.885820	0.000000	
41	-4493.899962	-4616.410917	80.674062	0.000000	0.000000	41.836893	-2.848053	0.891207	0.000000	
42	-4495.554475	-4616.809651	80.698161	0.000000	0.000000	40.557015	-2.802886	0.896167	0.000000	
43	-4460.315807	-4580.320444	80.723789	0.000000	0.000000	39.280847	-2.757209	0.900350	0.000000	
44	-4474.233404	-4592.995163	80.750763	0.000000	0.000000	38.010996	-2.711079	0.903940	0.000000	
45	-4449.388971	-4566.917103	80.778382	0.000000	0.000000	36.749750	-2.664550	0.906363	0.000000	
46	-4437.166509	-4553.470704	80.805073	0.000000	0.000000	35.499122	-2.617666	0.907574	0.000000	
47	-4457.347689	-4572.439984	80.831416	0.000000	0.000000	34.260879	-2.570470	0.908141	0.000000	
48	-4475.202015	-4589.092480	80.853889	0.000000	0.000000	33.036576	-2.522997	0.908329	0.000000	
49	-4443.093355	-4555.797649	80.876714	0.000000	0.000000	31.827581	-2.475282	0.907485	0.000000	
50	-4455.761210	-4567.293480	80.897174	0.000000	0.000000	30.635096	-2.427352	0.905989	0.000000	
# Average ELBO for last 50: -4865.947895
51	-4362.277553	-4472.659709	80.921975	40.441687	0.000000	29.460181	-2.379347	0.903544	0.000000	
52	-4384.294398	-4493.552419	80.951569	40.441687	0.000000	28.306452	-2.331276	0.900310	0.000000	
53	-4383.836239	-4491.997337	80.986863	40.441687	0.000000	27.174235	-2.283148	0.896336	0.000000	
54	-4389.087611	-4496.179559	81.028122	40.441687	0.000000	26.063827	-2.234972	0.891752	0.000000	
55	-4384.882987	-4490.930860	81.072375	40.441687	0.000000	24.975498	-2.186755	0.886538	0.000000	
56	-4379.835743	-4484.864339	81.119100	40.441687	0.000000	23.909495	-2.138506	0.880593	0.000000	
57	-4366.549006	-4470.583180	81.168132	40.441687	0.000000	22.866042	-2.090232	0.873938	0.000000	
58	-4362.233216	-4465.297700	81.219143	40.441687	0.000000	21.845342	-2.041939	0.866576	0.000000	
59	-4341.509347	-4443.623238	81.266312	40.441687	0.000000	20.847579	-1.993636	0.858502	0.000000	
60	-4345.327801	-4446.513935	81.313215	40.441687	0.000000	19.872920	-1.945329	0.849867	0.000000	
61	-4344.624673	-4444.898495	81.352306	40.441687	0.000000	18.921516	-1.897024	0.840725	0.000000	
62	-4325.670771	-4425.055907	81.391631	40.441687	0.000000	17.993504	-1.848730	0.831072	0.000000	
63	-4316.472531	-4414.990880	81.429344	40.441687	0.000000	17.089006	-1.800452	0.820956	0.000000	
64	-4292.435993	-4390.109787	81.465662	40.441687	0.000000	16.208132	-1.752197	0.810274	0.000000	
65	-4291.732326	-4388.589576	81.506270	40.441687	0.000000	15.350980	-1.703974	0.799128	0.000000	
66	-4327.221041	-4423.291300	81.552621	40.441687	0.000000	14.517638	-1.655789	0.788013	0.000000	
67	-4273.623118	-4368.933946	81.602644	40.441687	0.000000	13.708183	-1.607649	0.776529	0.000000	
68	-4262.933699	-4357.516755	81.660372	40.441687	0.000000	12.922684	-1.559564	0.764677	0.000000	
69	-4318.826858	-4412.713874	81.725818	40.441687	0.000000	12.161199	-1.511541	0.752858	0.000000	
70	-4235.640510	-4328.862872	81.798584	40.441687	0.000000	11.423778	-1.463589	0.740685	0.000000	
71	-4220.856417	-4313.446575	81.879694	40.441687	0.000000	10.710464	-1.415718	0.728202	0.000000	
72	-4207.211671	-4299.202399	81.969438	40.441687	0.000000	10.021291	-1.367939	0.715446	0.000000	
73	-4216.533515	-4307.956416	82.066617	40.441687	0.000000	9.356284	-1.320262	0.702487	0.000000	
74	-4271.588883	-4362.471498	82.167151	40.441687	0.000000	8.715464	-1.272701	0.690319	0.000000	
75	-4235.525387	-4325.894129	82.269902	40.441687	0.000000	8.098840	-1.225269	0.678316	0.000000	
76	-4227.661038	-4317.550192	82.382738	40.441687	0.000000	7.506415	-1.177980	0.666561	0.000000	
77	-4304.611113	-4394.053220	82.503924	40.441687	0.000000	6.938183	-1.130852	0.657639	0.000000	
78	-4266.672544	-4355.697366	82.630692	40.441687	0.000000	6.394130	-1.083903	0.650604	0.000000	
79	-4204.663833	-4293.299703	82.761638	40.441687	0.000000	5.874231	-1.037155	0.643807	0.000000	
80	-4227.129056	-4315.408030	82.900523	40.441687	0.000000	5.378451	-0.990630	0.637710	0.000000	
81	-4249.661995	-4337.617102	83.048363	9.490801	21.665620	4.906744	-0.944952	0.634853	0.000000	
82	-4303.242045	-4390.911369	83.204656	9.490801	21.665620	4.464668	-0.900150	0.633255	0.000000	
83	-4279.736595	-4367.158382	83.370439	9.490801	21.665620	4.051348	-0.856266	0.632029	0.000000	
84	-4279.527916	-4366.731559	83.537687	9.490801	21.665620	3.665957	-0.813352	0.630995	0.000000	
85	-4292.353198	-4379.366953	83.706046	9.490801	21.665620	3.307709	-0.771472	0.630673	0.000000	
