node_name,regime
internal_node0,pro
E15_rep1_clone00800,da
internal_node1,pro
internal_node2,pro
internal_node3,pro
E15_rep1_clone00816,pro
E15_rep1_clone00880,glu
internal_node4,da
E15_rep1_clone00866,da
E15_rep1_clone00871,da
internal_node5,pro
internal_node6,da
E15_rep1_clone00677,da
internal_node7,da
E15_rep1_clone00477,da
E15_rep1_clone00812,da
internal_node8,pro
internal_node9,glu
E15_rep1_clone00846,glu
E15_rep1_clone00847,glu
internal_node10,pro
internal_node11,da
E15_rep1_clone00661,da
internal_node12,da
E15_rep1_clone00835,da
internal_node13,da
E15_rep1_clone00855,da
E15_rep1_clone00870,da
internal_node14,pro
internal_node15,pro
internal_node16,pro
internal_node17,pro
E15_rep1_clone00807,da
internal_node18,pro
E15_rep1_clone00691,glu
internal_node19,da
E15_rep1_clone00399,da
E15_rep1_clone00811,da
internal_node20,pro
E15_rep1_clone00664,glu
E15_rep1_clone00692,da
internal_node21,pro
internal_node22,pro
E15_rep1_clone00802,da
internal_node23,pro
E15_rep1_clone00687,glu
E15_rep1_clone00799,da
internal_node24,pro
internal_node25,glu
E15_rep1_clone00654,glu
E15_rep1_clone00655,glu
internal_node26,pro
internal_node27,da
E15_rep1_clone00665,da
internal_node28,da
E15_rep1_clone00673,da
E15_rep1_clone00674,da
internal_node29,pro
internal_node30,pro
internal_node31,pro
E15_rep1_clone00668,da
E15_rep1_clone00669,glu
internal_node32,da
E15_rep1_clone00530,da
E15_rep1_clone00670,da
internal_node33,da
E15_rep1_clone00676,da
E15_rep1_clone00678,da
internal_node34,pro
internal_node35,pro
internal_node36,pro
E15_rep1_clone00836,glu
E15_rep1_clone00853,da
internal_node37,pro
E15_rep1_clone00851,pro
internal_node38,pro
E15_rep1_clone00854,pro
internal_node39,pro
E15_rep1_clone00734,glu
E15_rep1_clone00920,da
internal_node40,pro
internal_node41,pro
internal_node42,pro
E15_rep1_clone00457,pro
E15_rep1_clone00726,glu
internal_node43,pro
internal_node44,pro
internal_node45,pro
E15_rep1_clone00558,glu
E15_rep1_clone00701,da
internal_node46,pro
E15_rep1_clone00698,glu
internal_node47,pro
E15_rep1_clone00538,da
internal_node48,pro
E15_rep1_clone00693,da
internal_node49,pro
E15_rep1_clone00694,pro
E15_rep1_clone00695,glu
internal_node50,pro
internal_node51,pro
internal_node52,pro
E15_rep1_clone00559,glu
E15_rep1_clone00731,da
internal_node53,pro
internal_node54,pro
internal_node55,pro
E15_rep1_clone00704,da
internal_node56,pro
internal_node57,pro
E15_rep1_clone00721,da
internal_node58,pro
internal_node59,pro
E15_rep1_clone00547,da
E15_rep1_clone00732,pro
internal_node60,pro
E15_rep1_clone00724,glu
E15_rep1_clone00750,pro
internal_node61,pro
E15_rep1_clone00716,da
internal_node62,pro
E15_rep1_clone00708,glu
internal_node63,pro
E15_rep1_clone00705,da
internal_node64,pro
E15_rep1_clone00711,da
internal_node65,glu
E15_rep1_clone00712,glu
E15_rep1_clone00713,glu
internal_node66,pro
E15_rep1_clone00465,glu
E15_rep1_clone00703,da
internal_node67,pro
E15_rep1_clone00553,glu
internal_node68,pro
E15_rep1_clone00696,glu
internal_node69,pro
E15_rep1_clone00725,da
internal_node70,pro
E15_rep1_clone00552,glu
E15_rep1_clone00735,pro
internal_node71,pro
internal_node72,pro
E15_rep1_clone00753,glu
internal_node73,pro
internal_node74,da
E15_rep1_clone00746,da
E15_rep1_clone00756,da
internal_node75,glu
E15_rep1_clone00743,glu
E15_rep1_clone00762,glu
internal_node76,pro
E15_rep1_clone00700,pro
internal_node77,pro
internal_node78,pro
internal_node79,da
E15_rep1_clone00566,da
E15_rep1_clone00763,da
internal_node80,pro
E15_rep1_clone00759,da
internal_node81,pro
E15_rep1_clone00758,glu
E15_rep1_clone00775,da
internal_node82,pro
internal_node83,pro
E15_rep1_clone00766,da
internal_node84,pro
E15_rep1_clone00717,glu
internal_node85,pro
E15_rep1_clone00733,da
E15_rep1_clone00765,glu
internal_node86,pro
internal_node87,pro
E15_rep1_clone00544,da
internal_node88,pro
E15_rep1_clone00719,pro
E15_rep1_clone00772,da
internal_node89,pro
E15_rep1_clone00710,glu
internal_node90,pro
internal_node91,da
E15_rep1_clone00751,da
internal_node92,da
E15_rep1_clone00549,da
internal_node93,da
E15_rep1_clone00761,da
E15_rep1_clone00794,da
internal_node94,pro
E15_rep1_clone00706,da
internal_node95,pro
E15_rep1_clone00768,glu
internal_node96,pro
E15_rep1_clone00788,da
internal_node97,pro
E15_rep1_clone00580,da
internal_node98,pro
E15_rep1_clone00591,glu
internal_node99,pro
E15_rep1_clone00785,glu
internal_node100,pro
E15_rep1_clone00738,pro
E15_rep1_clone00779,da
internal_node101,pro
internal_node102,da
E15_rep1_clone00739,da
internal_node103,da
E15_rep1_clone00305,da
internal_node104,da
E15_rep1_clone00861,da
internal_node105,da
E15_rep1_clone00859,da
E15_rep1_clone00860,da
internal_node106,pro
internal_node107,pro
internal_node108,pro
internal_node109,pro
internal_node110,pro
internal_node111,pro
E15_rep1_clone00814,da
E15_rep1_clone00876,glu
internal_node112,da
E15_rep1_clone00602,da
E15_rep1_clone00817,da
internal_node113,pro
E15_rep1_clone00845,pro
E15_rep1_clone00911,glu
internal_node114,pro
internal_node115,pro
E15_rep1_clone00636,glu
E15_rep1_clone00888,da
internal_node116,pro
E15_rep1_clone00821,glu
internal_node117,da
E15_rep1_clone00896,da
internal_node118,da
E15_rep1_clone00887,da
internal_node119,da
E15_rep1_clone00902,da
internal_node120,da
E15_rep1_clone00416,da
E15_rep1_clone00844,da
internal_node121,pro
internal_node122,pro
E15_rep1_clone00822,pro
E15_rep1_clone00825,da
internal_node123,glu
E15_rep1_clone00619,glu
E15_rep1_clone00858,glu
internal_node124,pro
internal_node125,pro
internal_node126,pro
internal_node127,pro
E15_rep1_clone00878,da
E15_rep1_clone00890,pro
internal_node128,pro
internal_node129,da
E15_rep1_clone00881,da
E15_rep1_clone00893,da
internal_node130,pro
internal_node131,glu
E15_rep1_clone00652,glu
E15_rep1_clone00915,glu
internal_node132,pro
internal_node133,pro
E15_rep1_clone00651,da
internal_node134,pro
E15_rep1_clone00910,glu
internal_node135,pro
E15_rep1_clone00892,glu
internal_node136,pro
E15_rep1_clone00917,pro
internal_node137,da
E15_rep1_clone00364,da
E15_rep1_clone00431,da
internal_node138,pro
E15_rep1_clone00909,glu
internal_node139,da
E15_rep1_clone00914,da
E15_rep1_clone00916,da
internal_node140,pro
E15_rep1_clone00838,da
internal_node141,pro
internal_node142,pro
E15_rep1_clone00633,glu
internal_node143,da
E15_rep1_clone00837,da
E15_rep1_clone00906,da
internal_node144,pro
E15_rep1_clone00895,da
internal_node145,pro
E15_rep1_clone00487,da
E15_rep1_clone00834,glu
internal_node146,pro
internal_node147,pro
internal_node148,pro
E15_rep1_clone00901,glu
internal_node149,da
E15_rep1_clone00419,da
E15_rep1_clone00629,da
internal_node150,da
E15_rep1_clone00630,da
E15_rep1_clone00830,da
internal_node151,pro
E15_rep1_clone00824,glu
internal_node152,pro
internal_node153,pro
E15_rep1_clone00828,glu
internal_node154,pro
E15_rep1_clone00604,pro
E15_rep1_clone00818,da
internal_node155,pro
E15_rep1_clone00826,da
internal_node156,pro
internal_node157,da
E15_rep1_clone00486,da
E15_rep1_clone00832,da
internal_node158,pro
internal_node159,da
E15_rep1_clone00849,da
E15_rep1_clone00850,da
internal_node160,pro
E15_rep1_clone00831,pro
E15_rep1_clone00839,glu
