node_name,regime
internal_node0,pro
E15_rep1_clone00800,diff
internal_node1,pro
internal_node2,pro
internal_node3,pro
E15_rep1_clone00816,pro
E15_rep1_clone00880,diff
internal_node4,diff
E15_rep1_clone00866,diff
E15_rep1_clone00871,diff
internal_node5,pro
internal_node6,diff
E15_rep1_clone00677,diff
internal_node7,diff
E15_rep1_clone00477,diff
E15_rep1_clone00812,diff
internal_node8,pro
internal_node9,diff
E15_rep1_clone00846,diff
E15_rep1_clone00847,diff
internal_node10,pro
internal_node11,diff
E15_rep1_clone00661,diff
internal_node12,diff
E15_rep1_clone00835,diff
internal_node13,diff
E15_rep1_clone00855,diff
E15_rep1_clone00870,diff
internal_node14,pro
internal_node15,pro
internal_node16,pro
internal_node17,pro
E15_rep1_clone00807,diff
internal_node18,pro
E15_rep1_clone00691,diff
internal_node19,diff
E15_rep1_clone00399,diff
E15_rep1_clone00811,diff
internal_node20,pro
E15_rep1_clone00664,diff
E15_rep1_clone00692,diff
internal_node21,pro
internal_node22,pro
E15_rep1_clone00802,diff
internal_node23,pro
E15_rep1_clone00687,diff
E15_rep1_clone00799,diff
internal_node24,pro
internal_node25,diff
E15_rep1_clone00654,diff
E15_rep1_clone00655,diff
internal_node26,pro
internal_node27,diff
E15_rep1_clone00665,diff
internal_node28,diff
E15_rep1_clone00673,diff
E15_rep1_clone00674,diff
internal_node29,pro
internal_node30,pro
internal_node31,pro
E15_rep1_clone00668,diff
E15_rep1_clone00669,diff
internal_node32,diff
E15_rep1_clone00530,diff
E15_rep1_clone00670,diff
internal_node33,diff
E15_rep1_clone00676,diff
E15_rep1_clone00678,diff
internal_node34,pro
internal_node35,pro
internal_node36,pro
E15_rep1_clone00836,diff
E15_rep1_clone00853,diff
internal_node37,pro
E15_rep1_clone00851,pro
internal_node38,pro
E15_rep1_clone00854,pro
internal_node39,pro
E15_rep1_clone00734,diff
E15_rep1_clone00920,diff
internal_node40,pro
internal_node41,pro
internal_node42,pro
E15_rep1_clone00457,pro
E15_rep1_clone00726,diff
internal_node43,pro
internal_node44,pro
internal_node45,pro
E15_rep1_clone00558,diff
E15_rep1_clone00701,diff
internal_node46,pro
