parent	child	parent_regime	child_regime	transition	direction	steps	branch_length	child_is_leaf
internal_node0	E15_rep1_clone00800	FP_Rgl1	FP_NbDA	FP_Rgl1->FP_NbDA	forward	2	1.12328	True
internal_node0	internal_node1	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.229751	False
internal_node1	internal_node2	FP_Rgl1	FP_NbFP	FP_Rgl1->FP_NbFP	forward	1	0.591575	False
internal_node1	internal_node5	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.00583476	False
internal_node2	internal_node3	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.134453	False
internal_node2	internal_node4	FP_NbFP	FP_NbDA	FP_NbFP->FP_NbDA	forward	1	0.0257623	False
internal_node3	E15_rep1_clone00816	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.167497	True
internal_node3	E15_rep1_clone00880	FP_NbFP	FP_NbGLU	FP_NbFP->FP_NbGLU	forward	1	0.167497	True
internal_node4	E15_rep1_clone00866	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.276187	True
internal_node4	E15_rep1_clone00871	FP_NbDA	FP_DA	FP_NbDA->FP_DA	forward	1	0.276187	True
internal_node5	internal_node6	FP_Rgl1	FP_NbDA	FP_Rgl1->FP_NbDA	forward	2	0.099082	False
internal_node5	internal_node8	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.00627797	False
internal_node6	E15_rep1_clone00677	FP_NbDA	FP_DA	FP_NbDA->FP_DA	forward	1	0.788607	True
internal_node6	internal_node7	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.51897	False
internal_node7	E15_rep1_clone00477	FP_NbDA	FP_DA	FP_NbDA->FP_DA	forward	1	0.269638	True
internal_node7	E15_rep1_clone00812	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.269638	True
internal_node8	internal_node9	FP_Rgl1	FP_NbGLU	FP_Rgl1->FP_NbGLU	forward	2	0.653613	False
internal_node8	internal_node10	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.00362413	False
internal_node9	E15_rep1_clone00846	FP_NbGLU	FP_NbGLU	FP_NbGLU->FP_NbGLU	same	0	0.227798	True
internal_node9	E15_rep1_clone00847	FP_NbGLU	FP_NbGLU	FP_NbGLU->FP_NbGLU	same	0	0.227798	True
internal_node10	internal_node11	FP_Rgl1	FP_NbDA	FP_Rgl1->FP_NbDA	forward	2	0.124315	False
internal_node10	internal_node14	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.019085	False
internal_node11	E15_rep1_clone00661	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.753472	True
internal_node11	internal_node12	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.624564	False
internal_node12	E15_rep1_clone00835	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.128908	True
internal_node12	internal_node13	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.000413446	False
internal_node13	E15_rep1_clone00855	FP_NbDA	FP_DA	FP_NbDA->FP_DA	forward	1	0.128494	True
internal_node13	E15_rep1_clone00870	FP_NbDA	FP_NbDA	FP_NbDA->FP_NbDA	same	0	0.128494	True
internal_node14	internal_node15	FP_Rgl1	FP_NbFP	FP_Rgl1->FP_NbFP	forward	1	0.412295	False
internal_node14	internal_node34	FP_Rgl1	FP_Rgl1	FP_Rgl1->FP_Rgl1	same	0	0.0864562	False
internal_node15	internal_node16	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.0631763	False
internal_node15	internal_node21	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.0315874	False
internal_node16	internal_node17	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.0374796	False
internal_node16	internal_node20	FP_NbFP	FP_NbFP	FP_NbFP->FP_NbFP	same	0	0.0219875	False
internal_node17	E15_rep1_clone00807	FP_NbFP	FP_DA	FP_NbFP->FP_DA	forward	2	0.345751	True
