ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta_pro	h0_theta_diff	h1_r	h1_alpha	h1_sigma	h1_theta_pro	h1_theta_da	h1_theta_glu	h0	h1	lrt	p	q	signif
12	Tubb2a	29.585398	16.22649	77.65069	14.234689712524414	32.83900833129883	6.499436	16.41524	41.353497	13.627083778381348	27.784467697143555	41.96409225463867	-14313.643	-14342.365	57.445312	0.0004997501249375312	0.0020323171747459604	True
28	Ddc	271.8457	14.209618	26.415922	-6.77221155166626	0.7399462461471558	546.2649	14.232853	21.66658	-4.926877975463867	2.850116491317749	-3.870973825454712	-139.70828	-161.27487	43.13318	0.0004997501249375312	0.0020323171747459604	True
29	Rpl13	361.61502	7.870153	30.339277	37.77924346923828	36.46747970581055	95.215004	7.98097	21.309458	38.10225677490234	40.2900619506836	29.171838760375977	-16904.021	-16921.154	34.265625	0.0004997501249375312	0.0020323171747459604	True
31	Tubb4b	6.453736	6.960686	4.9660597	3.5782809257507324	2.894132137298584	8.950213	8.700778	5.269603	3.4304728507995605	2.270561695098877	4.246800899505615	-133.58345	-142.02582	16.884735	0.0004997501249375312	0.0020323171747459604	True
34	Prmt1	7.581721	15.155765	6.6355743	2.6329474449157715	6.321402072906494	10.644343	14.364187	7.357236	2.5793190002441406	5.587245464324951	7.689825534820557	-905.3503	-911.25323	11.805908	0.0004997501249375312	0.0020323171747459604	True
38	Wnt7b	16.264223	6.3949065	15.7217245	-0.7601323127746582	-2.9365017414093018	42.05474	8.045087	15.273107	-0.3419874906539917	-0.8336557745933533	-8.046516418457031	66.03183	51.84285	28.37796	0.0004997501249375312	0.0020323171747459604	True
39	Eno1	28.375692	8.148156	6.147654	1.4742941856384275	1.5362392663955688	59.86052	7.85903	5.091911	1.4257172346115112	0.7833234667778015	3.016988754272461	99.41908	87.65371	23.530746	0.0004997501249375312	0.0020323171747459604	True
41	Pcdh10	11.1664505	12.826153	14.497549	1.0125150680541992	2.437795400619507	1.6335539	9.071055	4.4682517	1.5867562294006348	3.8606557846069336	1.1585030555725098	-82.79018	-92.50104	19.421722	0.0004997501249375312	0.0020323171747459604	True
44	Mdh2	23.824919	13.162861	6.811047	3.504225969314575	4.931013107299805	134.8725	9.88079	5.968742	3.491597414016724	4.1761908531188965	6.490556240081787	-495.5068	-504.79156	18.569519	0.0004997501249375312	0.0020323171747459604	True
45	Ndfip1	99.54817	24.520355	18.842756	8.236743927001953	12.287455558776855	56.235336	17.734974	12.196633	8.16126823425293	11.156500816345217	14.61677360534668	-3087.1565	-3095.1592	16.005371	0.0004997501249375312	0.0020323171747459604	True
46	Rps24	630.9674	8.171465	27.618713	39.82099151611328	35.80848693847656	112.62411	7.6635594	20.042112	40.10344696044922	38.2890625	30.742862701416016	-16941.787	-16952.639	21.703125	0.0004997501249375312	0.0020323171747459604	True
47	Rpl7	187.34834	7.1061716	10.021844	16.498491287231445	13.549978256225586	77.34642	5.874916	5.8244376	16.83235740661621	14.689935684204102	10.402493476867676	-4152.047	-4161.368	18.642578	0.0004997501249375312	0.0020323171747459604	True
48	Snap47	16.12273	11.234371	6.6452675	3.3404860496521	5.640105247497559	194.07158	12.326614	6.9774837	3.2082414627075195	4.636650085449219	7.45192813873291	-654.67267	-668.03265	26.71997	0.0004997501249375312	0.0020323171747459604	True
50	Rps3a1	235.48529	7.377784	18.159983	23.15126037597656	23.64314079284668	55.243526	6.829547	10.092381	23.62502098083496	25.964948654174805	18.74903678894043	-8947.993	-8961.073	26.160156	0.0004997501249375312	0.0020323171747459604	True
59	Wnt5a	6.840414	14.597156	12.047744	2.3729734420776367	0.1342785805463791	3.327456	15.172589	7.9372225	2.469621419906616	1.393861174583435	-2.138091802597046	114.13072	91.07309	46.115265	0.0004997501249375312	0.0020323171747459604	True
11	Meg3	49.94159	5.526609	78.051636	16.144603729248047	61.16362380981445	87.4323	6.417196	74.01383	16.386274337768555	62.84097671508789	47.360137939453125	-23320.037	-23341.135	42.195312	0.0009995002498750624	0.0030484757621189406	True
23	Gapdh	27.268549	15.735592	20.178873	11.873394966125488	17.094970703125	21.360014	14.239556	15.87834	11.760416030883787	15.845438957214355	19.328805923461918	-5341.3184	-5347.879	13.121094	0.0009995002498750624	0.0030484757621189406	True
27	Rpl41	138.77165	11.466713	41.79076	52.0252685546875	39.714237213134766	112.951096	9.518055	34.616764	51.70082473754883	42.195430755615234	33.93762969970703	-20127.549	-20137.04	18.980469	0.0009995002498750624	0.0030484757621189406	True
40	Ywhaq	168.60838	12.894717	12.95236	8.125021934509277	13.429689407348633	1071.576	11.712775	11.723047	8.07935905456543	12.584104537963867	15.164761543273926	-3485.3113	-3491.0352	11.447754	0.0009995002498750624	0.0030484757621189406	True
52	Slc25a4	143.21484	12.277258	19.34522	16.997896194458008	19.85641860961914	848.05994	9.141217	16.739073	17.003801345825195	18.745040893554688	22.30815696716309	-6793.031	-6798.706	11.350586	0.0009995002498750624	0.0030484757621189406	True
