ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Malat1	h0	pro	9.854452	25.311195	531.7925	347.3099060058594
0	Malat1	h0	diff	9.854452	25.311195	531.7925	219.83433532714844
0	Malat1	h1	pro	11.172448	20.411068	443.10083	348.6783447265625
0	Malat1	h1	da	11.172448	20.411068	443.10083	233.78575134277344
0	Malat1	h1	glu	11.172448	20.411068	443.10083	196.39059448242188
1	Tubb5	h0	pro	27.765612	19.70928	117.69596	16.227313995361328
1	Tubb5	h0	diff	27.765612	19.70928	117.69596	55.36141586303711
1	Tubb5	h1	pro	11.95046	19.642141	87.93936	14.812039375305176
1	Tubb5	h1	da	11.95046	19.642141	87.93936	50.800479888916016
1	Tubb5	h1	glu	11.95046	19.642141	87.93936	64.69235229492188
2	Sox4	h0	pro	3.2730565	13.799009	13.260316	4.280771255493164
2	Sox4	h0	diff	3.2730565	13.799009	13.260316	12.843766212463379
2	Sox4	h1	pro	3.4674678	16.115915	15.542807	4.343374729156494
2	Sox4	h1	da	3.4674678	16.115915	15.542807	13.790911674499512
2	Sox4	h1	glu	3.4674678	16.115915	15.542807	11.365952491760254
3	Tuba1a	h0	pro	12.3916025	53.2592	1088.562	68.55431365966797
3	Tuba1a	h0	diff	12.3916025	53.2592	1088.562	170.7449188232422
3	Tuba1a	h1	pro	14.547925	5.745433	310.66077	76.6138687133789
3	Tuba1a	h1	da	14.547925	5.745433	310.66077	148.24652099609375
3	Tuba1a	h1	glu	14.547925	5.745433	310.66077	255.616455078125
4	Tubb2b	h0	pro	15.800216	17.25504	267.6739	56.69548416137695
4	Tubb2b	h0	diff	15.800216	17.25504	267.6739	105.44611358642578
4	Tubb2b	h1	pro	20.756498	15.551678	217.4705	53.873146057128906
4	Tubb2b	h1	da	20.756498	15.551678	217.4705	90.79322814941406
4	Tubb2b	h1	glu	20.756498	15.551678	217.4705	120.97991180419922
5	Ppia	h0	pro	182.08116	16.362919	74.83177	40.68095016479492
5	Ppia	h0	diff	182.08116	16.362919	74.83177	61.99504852294922
5	Ppia	h1	pro	1096.6332	13.317794	62.21679	40.681827545166016
5	Ppia	h1	da	1096.6332	13.317794	62.21679	57.33531188964844
5	Ppia	h1	glu	1096.6332	13.317794	62.21679	71.38502502441406
6	Ubb	h0	pro	40.6189	7.709137	84.08895	50.9702262878418
6	Ubb	h0	diff	40.6189	7.709137	84.08895	60.7618522644043
6	Ubb	h1	pro	146.78325	12.112521	104.09812	48.142330169677734
6	Ubb	h1	da	146.78325	12.112521	104.09812	54.864166259765625
6	Ubb	h1	glu	146.78325	12.112521	104.09812	69.9968032836914
7	C1ql1	h0	pro	0.5677265	8.356353	54.29062	-1.6064776182174683
7	C1ql1	h0	diff	0.5677265	8.356353	54.29062	2.401710033416748
7	C1ql1	h1	pro	0.8999424	5.723752	45.392845	-3.4275341033935547
7	C1ql1	h1	da	0.8999424	5.723752	45.392845	0.4531291425228119
7	C1ql1	h1	glu	0.8999424	5.723752	45.392845	2.4962210655212402
8	Actg1	h0	pro	179.47029	20.71298	117.564316	50.29829788208008
8	Actg1	h0	diff	179.47029	20.71298	117.564316	74.40165710449219
8	Actg1	h1	pro	183.01314	18.655693	103.084076	50.1642951965332
8	Actg1	h1	da	183.01314	18.655693	103.084076	70.56279754638672
8	Actg1	h1	glu	183.01314	18.655693	103.084076	80.86449432373047
9	Rtn1	h0	pro	56.308643	24.03533	105.77063	26.055809020996094
9	Rtn1	h0	diff	56.308643	24.03533	105.77063	66.431884765625
9	Rtn1	h1	pro	106.4556	20.660448	99.21111	26.61373519897461
9	Rtn1	h1	da	106.4556	20.660448	99.21111	62.95794677734375
9	Rtn1	h1	glu	106.4556	20.660448	99.21111	71.96977996826172
10	Calm1	h0	pro	21.577085	7.5779867	26.50751	35.292301177978516
10	Calm1	h0	diff	21.577085	7.5779867	26.50751	23.494295120239258
10	Calm1	h1	pro	10.442944	9.298704	11.783304	36.695919036865234
10	Calm1	h1	da	10.442944	9.298704	11.783304	21.217227935791016
10	Calm1	h1	glu	10.442944	9.298704	11.783304	28.293996810913086
11	Meg3	h0	pro	49.94159	5.526609	78.051636	16.144603729248047
11	Meg3	h0	diff	49.94159	5.526609	78.051636	61.16362380981445
11	Meg3	h1	pro	87.4323	6.417196	74.01383	16.386274337768555
11	Meg3	h1	da	87.4323	6.417196	74.01383	62.84097671508789
11	Meg3	h1	glu	87.4323	6.417196	74.01383	47.360137939453125
12	Tubb2a	h0	pro	29.585398	16.22649	77.65069	14.234689712524414
12	Tubb2a	h0	diff	29.585398	16.22649	77.65069	32.83900833129883
12	Tubb2a	h1	pro	6.499436	16.41524	41.353497	13.627083778381348
12	Tubb2a	h1	da	6.499436	16.41524	41.353497	27.784467697143555
12	Tubb2a	h1	glu	6.499436	16.41524	41.353497	41.96409225463867
13	Stmn1	h0	pro	22.176863	24.38234	319.9523	56.08810043334961
13	Stmn1	h0	diff	22.176863	24.38234	319.9523	169.6892547607422
13	Stmn1	h1	pro	25.855946	24.629652	299.75473	54.74853515625
13	Stmn1	h1	da	25.855946	24.629652	299.75473	166.05535888671875
13	Stmn1	h1	glu	25.855946	24.629652	299.75473	171.42135620117188
14	Actb	h0	pro	15.423753	15.76731	180.0268	70.34577178955078
14	Actb	h0	diff	15.423753	15.76731	180.0268	80.66761779785156
14	Actb	h1	pro	11.494813	5.7465124	79.117195	71.04010772705078
14	Actb	h1	da	11.494813	5.7465124	79.117195	65.09700775146484
14	Actb	h1	glu	11.494813	5.7465124	79.117195	104.78858184814453
15	Tmsb10	h0	pro	15.181919	20.715265	407.36716	82.09970092773438
15	Tmsb10	h0	diff	15.181919	20.715265	407.36716	191.522705078125
15	Tmsb10	h1	pro	20.778269	25.751625	364.4628	76.25343322753906
15	Tmsb10	h1	da	20.778269	25.751625	364.4628	196.2373046875
15	Tmsb10	h1	glu	20.778269	25.751625	364.4628	173.8511505126953
16	Nfia	h0	pro	3.1119242	32.502617	31.345083	9.869950294494629
16	Nfia	h0	diff	3.1119242	32.502617	31.345083	-3.1656484603881836
16	Nfia	h1	pro	3.18366	29.547493	28.274782	9.737480163574219
16	Nfia	h1	da	3.18366	29.547493	28.274782	-2.1775195598602295
16	Nfia	h1	glu	3.18366	29.547493	28.274782	-5.071887969970703
17	Nnat	h0	pro	17.111444	8.378238	214.45807	48.886962890625
17	Nnat	h0	diff	17.111444	8.378238	214.45807	108.79095458984375
17	Nnat	h1	pro	24.487675	8.416182	196.87779	47.69197082519531
17	Nnat	h1	da	24.487675	8.416182	196.87779	111.76171875
17	Nnat	h1	glu	24.487675	8.416182	196.87779	91.58431243896484
18	Stmn3	h0	pro	295.78543	21.132124	47.76896	9.654803276062012
18	Stmn3	h0	diff	295.78543	21.132124	47.76896	32.650299072265625
18	Stmn3	h1	pro	882.4734	20.354502	47.622284	9.688706398010254
18	Stmn3	h1	da	882.4734	20.354502	47.622284	32.245174407958984
18	Stmn3	h1	glu	882.4734	20.354502	47.622284	33.412254333496094
19	Atp5f1	h0	pro	136.53418	12.162469	10.554162	8.188760757446289
19	Atp5f1	h0	diff	136.53418	12.162469	10.554162	10.832279205322266
19	Atp5f1	h1	pro	156.01015	11.353581	10.024981	8.184581756591797
19	Atp5f1	h1	da	156.01015	11.353581	10.024981	10.597411155700684
19	Atp5f1	h1	glu	156.01015	11.353581	10.024981	11.31106948852539
20	Ftl1	h0	pro	88.12947	6.589148	33.974712	44.33768844604492
20	Ftl1	h0	diff	88.12947	6.589148	33.974712	48.20927810668945
20	Ftl1	h1	pro	48.543766	7.0720687	29.043615	44.343528747558594
20	Ftl1	h1	da	48.543766	7.0720687	29.043615	50.1391716003418
20	Ftl1	h1	glu	48.543766	7.0720687	29.043615	44.14554977416992
21	Tubb3	h0	pro	18.661484	18.952549	98.10523	10.369657516479492
21	Tubb3	h0	diff	18.661484	18.952549	98.10523	40.6786003112793
21	Tubb3	h1	pro	9.800488	17.150694	66.43882	9.717596054077148
21	Tubb3	h1	da	9.800488	17.150694	66.43882	34.80508804321289
21	Tubb3	h1	glu	9.800488	17.150694	66.43882	53.059600830078125
22	Eef1a1	h0	pro	129.23524	10.14754	74.56151	52.720035552978516
22	Eef1a1	h0	diff	129.23524	10.14754	74.56151	57.41628646850586
22	Eef1a1	h1	pro	188.25137	10.698376	75.24685	52.48091125488281
22	Eef1a1	h1	da	188.25137	10.698376	75.24685	60.1718864440918
22	Eef1a1	h1	glu	188.25137	10.698376	75.24685	51.91524887084961
23	Gapdh	h0	pro	27.268549	15.735592	20.178873	11.873394966125488
23	Gapdh	h0	diff	27.268549	15.735592	20.178873	17.094970703125
23	Gapdh	h1	pro	21.360014	14.239556	15.87834	11.760416030883789
23	Gapdh	h1	da	21.360014	14.239556	15.87834	15.845438957214355
23	Gapdh	h1	glu	21.360014	14.239556	15.87834	19.328805923461914
24	mt-Atp6	h0	pro	15.316121	8.021855	166.62708	109.50105285644531
24	mt-Atp6	h0	diff	15.316121	8.021855	166.62708	126.28788757324219
24	mt-Atp6	h1	pro	22.206879	8.611129	134.51108	101.82571411132812
24	mt-Atp6	h1	da	22.206879	8.611129	134.51108	124.94383239746094
24	mt-Atp6	h1	glu	22.206879	8.611129	134.51108	115.28465270996094
25	Tmsb4x	h0	pro	17.316511	11.597844	224.09747	228.12416076660156
25	Tmsb4x	h0	diff	17.316511	11.597844	224.09747	128.5252227783203
25	Tmsb4x	h1	pro	19.449936	12.910829	216.91447	231.06283569335938
25	Tmsb4x	h1	da	19.449936	12.910829	216.91447	131.91030883789062
25	Tmsb4x	h1	glu	19.449936	12.910829	216.91447	120.10748291015625
26	Ndufa4	h0	pro	100.38709	10.785938	16.127928	15.775096893310547
26	Ndufa4	h0	diff	100.38709	10.785938	16.127928	19.012596130371094
26	Ndufa4	h1	pro	264.07404	9.992839	16.1371	15.728328704833984
26	Ndufa4	h1	da	264.07404	9.992839	16.1371	18.093149185180664
26	Ndufa4	h1	glu	264.07404	9.992839	16.1371	20.888530731201172
27	Rpl41	h0	pro	138.77165	11.466713	41.79076	52.0252685546875
27	Rpl41	h0	diff	138.77165	11.466713	41.79076	39.714237213134766
27	Rpl41	h1	pro	112.951096	9.518055	34.616764	51.70082473754883
27	Rpl41	h1	da	112.951096	9.518055	34.616764	42.195430755615234
27	Rpl41	h1	glu	112.951096	9.518055	34.616764	33.93762969970703
28	Ddc	h0	pro	271.8457	14.209618	26.415922	-6.77221155166626
28	Ddc	h0	diff	271.8457	14.209618	26.415922	0.7399462461471558
28	Ddc	h1	pro	546.2649	14.232853	21.66658	-4.926877975463867
28	Ddc	h1	da	546.2649	14.232853	21.66658	2.850116491317749
28	Ddc	h1	glu	546.2649	14.232853	21.66658	-3.870973825454712
29	Rpl13	h0	pro	361.61502	7.870153	30.339277	37.77924346923828
29	Rpl13	h0	diff	361.61502	7.870153	30.339277	36.46747970581055
29	Rpl13	h1	pro	95.215004	7.98097	21.309458	38.102256774902344
29	Rpl13	h1	da	95.215004	7.98097	21.309458	40.290061950683594
