ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Malat1	h0	shared	9.536333	24.03289	578.0782	234.17819213867188
0	Malat1	h1	pro	11.0105095	20.150246	450.85248	332.4053039550781
0	Malat1	h1	diff	11.0105095	20.150246	450.85248	223.7471923828125
1	Tubb5	h0	shared	57.160828	7.9864354	95.545815	50.469608306884766
1	Tubb5	h1	pro	13.136346	21.643267	100.875046	15.280109405517578
1	Tubb5	h1	diff	13.136346	21.643267	100.875046	55.33407974243164
2	Sox4	h0	shared	42.955685	10.554691	30.21758	11.602165222167969
2	Sox4	h1	pro	3.1601276	13.028599	11.595545	4.254008769989014
2	Sox4	h1	diff	3.1601276	13.028599	11.595545	12.793789863586426
3	Tuba1a	h0	shared	12.215281	87.449814	1502.7788	160.3436279296875
3	Tuba1a	h1	pro	13.24626	5.205541	334.39566	80.54719543457031
3	Tuba1a	h1	diff	13.24626	5.205541	334.39566	187.39926147460938
4	Tubb2b	h0	shared	17.637152	9.156998	199.72668	97.3773422241211
4	Tubb2b	h1	pro	21.773544	14.437398	213.28389	55.21019744873047
4	Tubb2b	h1	diff	21.773544	14.437398	213.28389	99.611083984375
5	Ppia	h0	shared	183.06796	6.7162886	55.060905	59.10259246826172
5	Ppia	h1	pro	996.18274	15.404812	74.71949	40.87281036376953
5	Ppia	h1	diff	996.18274	15.404812	74.71949	61.84606170654297
6	Ubb	h0	shared	39.274208	5.3421383	70.189545	58.01539611816406
6	Ubb	h1	pro	49.349007	6.8554044	78.50835	50.962181091308594
6	Ubb	h1	diff	49.349007	6.8554044	78.50835	60.34396743774414
7	C1ql1	h0	shared	0.5600388	8.210635	54.144184	1.6350300312042236
7	C1ql1	h1	pro	0.91223866	5.8010783	45.50011	-3.3803470134735107
7	C1ql1	h1	diff	0.91223866	5.8010783	45.50011	1.086693286895752
8	Actg1	h0	shared	243.95271	12.883706	99.17341	71.22956848144531
8	Actg1	h1	pro	83.75089	19.18953	100.38911	50.41820526123047
8	Actg1	h1	diff	83.75089	19.18953	100.38911	74.00595092773438
9	Rtn1	h0	shared	137.33148	8.068729	83.39242	61.12300109863281
9	Rtn1	h1	pro	425.53738	22.906206	112.86351	27.42455291748047
9	Rtn1	h1	diff	425.53738	22.906206	112.86351	65.70964050292969
10	Calm1	h0	shared	12.75182	6.572674	22.551119	26.165987014770508
10	Calm1	h1	pro	9.921323	8.293492	15.440227	36.33052444458008
10	Calm1	h1	diff	9.921323	8.293492	15.440227	23.587066650390625
11	Meg3	h0	shared	40.017155	4.6121383	85.302444	49.336429595947266
11	Meg3	h1	pro	57.804382	5.644621	77.86404	16.18020248413086
11	Meg3	h1	diff	57.804382	5.644621	77.86404	60.54893112182617
12	Tubb2a	h0	shared	66.55598	8.422727	64.76832	30.342565536499023
12	Tubb2a	h1	pro	4.266278	16.899176	32.319374	13.833468437194824
12	Tubb2a	h1	diff	4.266278	16.899176	32.319374	33.317291259765625
13	Stmn1	h0	shared	16.4643	8.980896	271.54807	158.9219207763672
13	Stmn1	h1	pro	18.42876	22.783857	347.00906	65.13661193847656
13	Stmn1	h1	diff	18.42876	22.783857	347.00906	171.5412139892578
14	Actb	h0	shared	15.242127	13.73736	163.41895	78.93838500976562
14	Actb	h1	pro	10.406745	5.8609653	87.0052	73.1022720336914
14	Actb	h1	diff	10.406745	5.8609653	87.0052	77.32806396484375
15	Tmsb10	h0	shared	12.086092	10.450979	355.34125	178.34515380859375
15	Tmsb10	h1	pro	17.756577	22.542227	380.03366	80.05924224853516
15	Tmsb10	h1	diff	17.756577	22.542227	380.03366	191.30271911621094
16	Nfia	h0	shared	1.4368508	13.550829	32.211414	-2.649550199508667
16	Nfia	h1	pro	3.0661175	32.10052	30.838297	9.855002403259277
16	Nfia	h1	diff	3.0661175	32.10052	30.838297	-3.128445625305176
17	Nnat	h0	shared	17.873085	9.303578	239.776	96.73284149169922
17	Nnat	h1	pro	24.162348	8.238792	200.559	48.04741668701172
17	Nnat	h1	diff	24.162348	8.238792	200.559	105.36567687988281
18	Stmn3	h0	shared	519.8667	10.041736	47.66936	29.76774024963379
18	Stmn3	h1	pro	790.7593	21.153173	48.426376	9.700154304504395
18	Stmn3	h1	diff	790.7593	21.153173	48.426376	32.63444900512695
19	Atp5f1	h0	shared	149.83316	7.707684	9.050271	10.411117553710938
19	Atp5f1	h1	pro	265.83905	11.398531	10.479572	8.216011047363281
19	Atp5f1	h1	diff	265.83905	11.398531	10.479572	10.83469295501709
20	Ftl1	h0	shared	82.907906	6.039252	32.495136	47.26599884033203
20	Ftl1	h1	pro	50.200356	6.5091944	29.647226	44.23808670043945
20	Ftl1	h1	diff	50.200356	6.5091944	29.647226	48.20978546142578
21	Tubb3	h0	shared	36.98414	10.072152	88.0958	36.87928009033203
21	Tubb3	h1	pro	7.267951	19.59269	74.30453	9.740241050720215
21	Tubb3	h1	diff	7.267951	19.59269	74.30453	41.07814407348633
22	Eef1a1	h0	shared	145.5192	9.542222	72.922325	56.53550720214844
22	Eef1a1	h1	pro	184.8243	10.604522	76.629776	52.2440071105957
22	Eef1a1	h1	diff	184.8243	10.604522	76.629776	57.381656646728516
23	Gapdh	h0	shared	19.702942	6.880288	13.239268	16.33960723876953
23	Gapdh	h1	pro	14.947214	16.170694	14.060334	11.655816078186035
23	Gapdh	h1	diff	14.947214	16.170694	14.060334	17.020864486694336
24	mt-Atp6	h0	shared	22.501053	7.932163	132.51613	116.6493911743164
24	mt-Atp6	h1	pro	26.94559	9.307956	129.49187	97.2349624633789
24	mt-Atp6	h1	diff	26.94559	9.307956	129.49187	118.08668518066406
25	Tmsb4x	h0	shared	12.137085	7.1835732	231.45662	144.9022674560547
25	Tmsb4x	h1	pro	16.54121	11.391971	220.10406	221.55203247070312
25	Tmsb4x	h1	diff	16.54121	11.391971	220.10406	130.53143310546875
26	Ndufa4	h0	shared	96.7809	7.6862626	13.984975	18.474998474121094
26	Ndufa4	h1	pro	85.91972	10.319258	15.454806	15.813281059265137
