	Malat1	Tubb5	Sox4	Tuba1a	Tubb2b	Ppia	Ubb	C1ql1	Actg1	Rtn1	Calm1	Meg3	Tubb2a	Stmn1	Actb	Tmsb10	Nfia	Nnat	Stmn3	Atp5f1	Ftl1	Tubb3	Eef1a1	Gapdh	mt-Atp6	Tmsb4x	Ndufa4	Rpl41	Ddc	Rpl13	Mab21l2	Tubb4b	Hist3h2ba	Atxn10	Prmt1	Prdx2	Eif4a1	Ly6h	Wnt7b	Eno1	Ywhaq	Pcdh10	Rpsa	Basp1	Mdh2	Ndfip1	Rps24	Rpl7	Snap47	Atp5h	Rps3a1	Atpif1	Slc25a4	Rps29	Ywhae	Jpt1	Cox6c	Calm2	Hsp90aa1	Wnt5a	Rps2
E15_rep1_clone00305	338	119	9	178	120	100	57	0	129	109	29	50	39	299	165	393	0	265	87	16	106	53	106	33	153	311	37	132	7	101	0	5	12	7	12	41	10	44	2	9	29	5	106	116	5	20	98	33	6	18	64	53	52	46	40	67	38	36	19	2	100
E15_rep1_clone00364	268	137	35	370	259	122	146	4	225	151	50	87	60	325	214	400	0	235	57	27	115	97	169	51	225	371	35	91	3	82	0	6	17	8	16	36	11	43	3	4	32	2	107	120	17	28	96	48	5	25	58	49	56	59	31	69	35	40	22	2	89
E15_rep1_clone00399	158	30	13	63	45	67	34	10	58	53	24	56	27	123	60	164	3	81	39	8	39	21	37	16	142	96	27	43	0	24	0	0	8	7	5	12	5	29	0	1	12	7	32	53	1	4	40	19	6	12	17	16	20	25	15	21	21	30	3	0	28
E15_rep1_clone00416	156	86	19	139	108	76	71	1	113	92	16	29	37	266	159	272	0	183	51	19	71	50	63	18	127	130	23	68	1	30	0	5	16	9	9	36	12	26	2	0	10	10	50	79	2	17	51	8	5	15	28	21	23	32	32	44	29	17	17	2	40
E15_rep1_clone00419	216	56	8	155	57	72	78	0	110	123	35	78	23	173	99	212	0	184	57	17	69	32	38	34	152	138	15	46	7	51	0	2	14	2	12	30	9	28	0	1	16	2	65	83	8	23	52	16	11	17	34	34	25	33	21	52	22	23	20	2	54
E15_rep1_clone00431	118	50	27	162	88	47	37	0	87	51	21	21	30	157	133	171	0	52	31	11	55	36	77	16	162	163	17	34	0	34	0	1	15	4	2	20	9	19	2	0	10	2	45	49	5	9	35	19	4	9	18	21	12	34	13	33	17	26	7	3	35
E15_rep1_clone00457	467	1	2	42	35	33	46	0	62	4	58	3	11	6	60	33	3	6	0	6	34	1	30	8	48	263	6	40	0	31	0	8	6	8	0	14	2	7	6	6	4	0	22	7	2	5	27	10	1	1	18	5	9	17	16	2	16	4	11	4	25
E15_rep1_clone00465	189	163	11	592	277	160	197	3	152	139	75	53	143	461	138	312	0	232	94	33	72	142	98	47	214	175	34	73	2	58	0	15	19	10	20	54	20	45	0	7	40	5	54	115	21	33	64	22	22	21	26	40	43	52	57	54	41	62	47	0	67
E15_rep1_clone00477	212	27	12	104	49	55	37	0	88	46	20	73	19	120	43	134	0	74	31	12	63	27	56	18	108	119	12	61	7	62	0	1	3	4	3	19	8	42	0	1	21	0	60	64	4	13	41	14	4	8	28	22	27	30	17	32	12	9	20	1	45
E15_rep1_clone00486	272	48	30	166	80	46	61	0	59	93	11	59	26	133	27	148	0	88	30	11	60	38	44	19	65	65	15	47	11	45	0	2	12	7	10	15	3	31	0	0	17	2	33	68	1	20	33	17	6	14	22	22	14	19	22	34	11	13	21	0	40
E15_rep1_clone00487	228	62	34	188	98	55	62	0	103	85	25	64	35	212	60	293	0	149	46	15	53	56	54	23	109	101	27	43	5	51	0	2	11	5	6	26	6	35	1	5	16	5	68	81	5	12	45	16	2	18	33	31	31	34	23	44	19	15	12	1	47
E15_rep1_clone00530	183	48	13	130	119	93	76	16	60	48	39	37	37	139	84	169	2	101	28	10	29	37	48	13	99	81	12	19	0	25	0	6	8	7	6	24	10	29	0	4	12	3	23	32	5	21	29	13	4	10	19	20	19	18	19	34	11	22	16	0	33
E15_rep1_clone00538	236	88	8	242	166	77	115	0	141	85	29	44	45	188	115	184	0	80	44	18	78	40	85	28	101	128	14	44	9	62	0	5	11	16	15	32	6	25	1	4	15	2	52	58	4	14	50	14	5	17	28	28	27	38	34	50	25	30	18	4	47
E15_rep1_clone00544	171	43	4	120	74	49	48	0	74	35	19	28	21	168	41	154	0	35	24	5	36	31	51	14	114	118	8	29	2	43	0	1	10	2	4	14	12	21	3	1	10	4	42	49	3	7	44	11	1	14	31	15	10	30	20	23	10	11	11	0	26
E15_rep1_clone00547	411	68	37	138	121	109	82	14	96	79	31	93	35	302	54	372	1	314	48	15	69	45	127	23	172	178	42	79	2	78	2	3	10	5	4	25	2	48	0	1	18	1	94	89	10	12	72	28	12	16	43	34	16	52	32	42	39	34	8	2	75
E15_rep1_clone00549	260	177	9	536	268	146	167	0	240	137	42	110	106	377	201	373	0	128	71	36	92	116	117	51	86	250	34	83	17	82	0	10	11	14	20	69	22	36	0	5	35	7	109	103	11	21	81	26	12	18	46	65	56	50	47	55	29	12	26	2	58
E15_rep1_clone00552	171	28	15	65	39	37	50	2	50	46	18	32	22	109	36	115	0	23	21	7	48	22	40	11	90	111	21	49	1	26	0	0	10	2	6	14	4	22	0	1	4	4	24	43	7	13	30	9	6	7	21	16	20	23	12	29	4	9	8	0	21
E15_rep1_clone00553	221	86	6	362	194	81	99	10	107	88	32	35	61	173	159	182	0	81	31	20	36	75	43	37	149	112	18	31	4	19	0	4	20	7	6	24	9	27	1	4	23	1	46	56	10	18	37	9	13	10	28	21	23	35	29	36	13	14	22	0	27
E15_rep1_clone00558	227	37	13	118	71	86	26	0	65	37	13	46	30	158	60	214	0	38	45	6	55	31	40	18	144	169	33	47	1	40	0	3	9	5	4	18	6	24	0	1	11	2	55	55	5	9	40	19	6	13	19	25	16	35	19	48	31	23	9	0	52
E15_rep1_clone00559	155	86	9	298	144	77	102	0	83	95	21	27	73	228	79	158	0	126	39	17	45	68	63	16	52	85	19	43	0	29	0	2	9	11	23	32	18	33	0	4	16	0	36	73	5	18	51	18	9	13	18	19	29	32	26	35	19	48	16	0	54
E15_rep1_clone00566	239	76	12	206	162	79	52	0	111	54	13	37	36	123	54	227	0	85	33	15	73	46	88	20	80	132	10	59	10	50	0	2	8	7	7	23	12	21	4	1	11	8	54	57	3	15	62	23	4	8	29	19	22	39	24	43	22	12	11	3	54
E15_rep1_clone00580	204	106	21	394	179	123	134	0	156	124	37	59	84	271	158	330	0	192	79	24	68	92	64	44	162	145	35	45	11	50	0	8	12	8	10	37	27	39	5	2	29	8	45	80	10	20	42	17	15	33	28	35	39	38	34	51	27	30	30	0	52
E15_rep1_clone00591	166	144	9	389	169	111	154	0	159	101	77	31	115	276	148	230	0	204	65	17	67	86	59	27	113	167	30	42	0	41	0	16	19	17	19	51	13	49	0	7	23	0	63	133	11	24	48	13	19	28	31	27	41	33	49	52	27	42	30	0	49
E15_rep1_clone00602	192	36	13	120	70	71	72	0	83	68	26	55	40	176	66	183	0	181	52	6	76	33	46	25	266	186	37	69	4	42	0	2	23	4	4	26	11	24	8	1	16	13	47	58	6	16	35	20	5	16	32	29	28	41	18	53	27	22	11	0	46
E15_rep1_clone00604	321	1	0	13	17	22	28	0	30	4	63	0	5	2	86	18	11	0	0	5	26	2	29	16	38	193	5	36	0	26	0	4	0	6	1	8	6	7	2	2	3	3	16	8	2	7	35	8	1	11	14	4	13	13	19	3	13	4	15	3	21
E15_rep1_clone00619	207	17	7	63	33	18	4	6	32	30	14	47	5	90	107	137	0	44	10	3	24	9	27	10	142	99	12	36	0	29	0	3	7	0	2	7	4	7	0	1	3	3	22	29	0	4	17	6	2	2	13	10	6	17	4	14	11	11	5	0	15
E15_rep1_clone00629	250	34	8	56	49	43	24	27	48	41	9	44	16	104	36	138	3	73	21	12	40	20	70	7	87	131	18	42	0	38	0	2	14	3	5	9	3	36	0	2	6	7	25	45	4	13	38	13	2	11	29	22	6	29	12	25	15	16	3	0	48
E15_rep1_clone00630	248	35	28	89	44	25	31	0	50	39	14	55	29	110	38	179	0	80	23	6	46	21	43	4	155	133	12	49	6	23	0	0	6	1	4	13	3	23	0	0	8	0	24	48	3	7	39	19	5	6	15	18	8	21	14	26	8	6	4	5	23
E15_rep1_clone00633	112	81	25	245	159	98	50	2	92	76	30	25	46	170	98	178	2	34	38	11	61	46	68	22	102	135	25	58	1	48	0	5	7	3	10	22	5	24	0	2	15	3	49	52	8	15	37	19	5	11	28	24	19	37	23	36	23	13	13	1	52
E15_rep1_clone00636	209	126	11	461	254	128	123	0	135	120	30	41	88	252	111	231	0	154	56	14	75	108	85	38	119	131	13	45	0	50	0	8	18	14	12	45	11	34	0	8	32	0	68	112	11	21	39	19	9	13	22	30	28	34	27	60	16	51	29	0	46
E15_rep1_clone00651	227	98	26	214	175	69	63	0	125	100	19	56	27	228	124	228	0	171	40	22	57	40	88	19	139	127	15	70	7	57	0	2	5	9	11	25	6	33	0	2	16	0	61	71	10	13	46	22	3	11	35	23	22	40	12	43	13	19	24	2	57
E15_rep1_clone00652	168	74	1	253	151	59	71	0	76	67	33	55	46	155	161	125	0	132	37	10	33	51	61	18	148	61	11	31	0	32	0	3	8	7	12	25	9	17	0	5	14	1	26	71	4	10	22	8	3	10	16	20	23	16	21	25	17	25	21	0	31
E15_rep1_clone00654	187	103	7	285	140	80	69	0	81	90	31	41	53	164	189	151	0	104	50	22	42	97	37	21	112	162	18	33	0	28	0	5	9	13	10	34	15	26	0	5	17	2	22	64	3	26	23	8	8	12	16	14	24	16	35	31	7	25	17	0	22
E15_rep1_clone00655	245	45	11	90	51	65	38	0	67	61	25	47	29	130	33	152	0	34	21	10	43	35	43	8	100	146	12	51	1	33	2	0	5	5	1	19	6	32	0	0	13	2	33	63	4	10	29	8	4	9	16	19	15	29	12	39	12	19	6	0	37
E15_rep1_clone00661	228	33	19	77	46	55	33	0	43	39	22	47	12	138	35	189	0	79	34	6	42	14	55	8	135	178	14	39	3	28	0	1	10	8	3	13	3	20	9	1	12	10	41	48	0	8	32	9	5	7	30	16	12	23	6	31	10	19	12	4	26
E15_rep1_clone00664	167	63	19	116	87	66	130	23	84	98	47	30	44	185	128	160	0	16	47	10	43	35	28	15	94	55	34	20	5	21	0	2	15	4	5	28	3	24	0	4	11	0	33	69	6	22	24	12	10	15	15	25	35	24	27	37	8	40	12	0	24
E15_rep1_clone00665	276	16	0	36	36	23	31	23	33	38	6	64	23	79	36	52	1	35	12	4	11	16	17	3	50	28	8	23	0	12	0	2	12	7	3	13	3	30	0	0	6	1	15	25	3	4	11	4	1	5	10	17	8	10	10	12	4	6	4	0	7
E15_rep1_clone00668	0	37	8	41	53	60	58	0	59	79	23	1	16	140	72	180	0	68	25	6	40	14	43	21	109	164	22	26	0	30	0	0	1	1	2	25	0	11	3	0	12	1	44	41	3	9	24	13	3	10	20	16	8	36	14	16	15	25	12	0	26
E15_rep1_clone00669	211	29	11	76	56	76	114	15	52	122	26	65	32	215	89	145	0	47	40	19	53	29	55	18	141	85	26	42	3	34	0	2	8	3	7	22	4	22	0	4	13	0	40	69	2	21	50	16	6	13	29	25	23	28	32	37	15	62	31	0	37
E15_rep1_clone00670	181	12	11	42	37	35	32	0	44	27	8	29	11	97	48	160	0	8	15	8	41	13	65	10	115	199	13	33	2	43	0	0	8	4	3	10	3	11	8	1	2	2	36	41	1	5	52	22	1	12	34	14	15	43	18	42	14	20	6	7	29
E15_rep1_clone00673	272	78	2	176	101	85	63	0	99	84	40	137	36	254	70	286	0	81	53	12	57	51	48	22	163	234	24	64	10	48	0	3	5	3	3	22	10	29	0	2	20	1	49	85	5	14	54	13	3	14	26	34	32	33	23	44	18	21	18	6	37
E15_rep1_clone00674	217	76	7	76	65	89	34	0	92	100	40	63	20	194	106	250	0	140	40	18	85	33	108	18	102	234	32	105	7	70	0	5	4	14	10	23	5	48	0	2	19	7	71	90	5	18	73	24	5	18	56	29	29	56	19	34	35	28	10	1	70
E15_rep1_clone00676	184	25	1	60	53	59	34	26	41	44	10	41	31	70	66	88	0	31	21	8	26	22	60	9	67	63	12	24	0	26	0	4	5	4	3	12	3	31	0	0	5	2	37	36	5	4	25	18	4	8	18	10	5	23	12	19	11	18	12	0	26
E15_rep1_clone00677	437	39	13	108	48	45	40	0	62	104	19	89	19	179	35	146	0	205	28	10	63	17	46	8	123	104	27	55	7	41	2	1	3	5	6	18	5	47	0	2	16	1	39	68	1	17	37	10	7	8	36	23	13	28	9	28	27	18	13	2	34
E15_rep1_clone00678	246	47	10	64	51	45	34	0	55	47	5	37	17	194	42	195	0	140	32	7	71	20	68	6	123	49	15	33	5	49	0	2	25	3	5	8	3	23	2	3	5	0	41	50	1	7	42	18	2	9	27	12	18	30	17	31	14	9	3	4	36
E15_rep1_clone00687	283	89	11	274	170	82	89	1	117	64	27	62	69	164	91	120	1	41	30	11	30	75	47	24	94	101	22	26	0	23	3	9	11	8	7	23	15	26	0	5	21	0	27	44	10	7	24	12	8	11	15	11	34	17	22	25	6	25	21	0	27
E15_rep1_clone00691	181	21	8	121	67	30	52	11	46	42	23	17	21	106	38	74	0	58	20	8	23	31	50	10	36	89	16	13	0	24	0	3	5	3	5	16	2	11	0	4	10	1	19	31	7	11	21	9	5	6	21	7	11	10	9	38	8	23	20	1	21
E15_rep1_clone00692	217	25	32	61	24	19	30	0	37	43	6	45	16	72	37	111	0	23	17	12	53	9	34	7	111	118	8	29	2	33	0	0	11	3	1	15	4	19	3	3	6	14	19	58	0	2	24	14	1	5	17	9	10	23	11	24	9	7	7	3	21
E15_rep1_clone00693	221	101	14	243	155	48	97	1	97	79	10	73	45	190	148	133	0	98	29	15	44	69	38	19	54	83	11	39	9	25	0	6	6	9	14	27	9	31	0	5	19	0	22	59	6	15	31	14	12	7	9	16	15	15	19	25	12	14	14	1	20
E15_rep1_clone00694	194	1	0	26	17	23	43	0	22	5	36	2	5	2	40	10	6	5	0	4	22	0	16	6	41	184	10	36	0	24	0	2	1	3	0	9	2	9	0	6	2	0	15	8	3	6	11	9	1	7	9	8	9	16	17	1	19	1	11	2	17
E15_rep1_clone00695	152	33	17	55	70	39	16	11	62	31	19	33	8	141	43	219	0	119	25	5	56	21	66	13	153	142	11	53	1	33	0	1	13	2	2	10	1	20	0	0	7	1	50	53	2	4	43	14	1	9	24	22	8	26	11	32	18	21	10	0	35
E15_rep1_clone00696	188	118	5	416	238	105	118	0	111	89	29	26	68	215	113	209	0	155	39	17	56	113	75	37	134	142	35	43	0	43	0	12	20	10	16	44	23	32	0	4	26	3	45	73	9	19	56	14	10	16	43	33	45	37	34	63	27	33	22	0	40
E15_rep1_clone00698	205	121	44	300	185	82	131	9	140	120	51	72	70	247	175	222	0	137	46	13	66	90	98	18	196	211	36	49	0	40	0	4	14	8	14	34	13	17	0	6	20	1	57	84	9	21	43	13	12	20	27	37	26	38	29	58	17	55	34	2	29
E15_rep1_clone00700	352	5	2	16	19	14	40	0	21	5	33	1	3	4	54	19	7	3	0	6	19	1	28	4	85	245	12	40	0	28	0	7	0	5	1	18	0	9	2	0	4	2	15	18	2	2	23	7	1	6	9	5	8	19	13	1	16	3	13	2	37
E15_rep1_clone00701	221	22	6	68	37	33	50	2	39	27	12	28	19	95	32	69	0	37	20	7	19	21	23	12	39	45	12	17	6	14	0	3	4	2	0	16	4	7	0	0	9	1	18	21	4	7	10	11	4	3	13	11	15	3	7	17	9	12	7	1	7
E15_rep1_clone00703	172	94	8	332	159	78	116	0	148	105	40	62	54	215	109	215	0	158	64	23	72	95	62	28	124	197	17	66	13	61	0	9	7	9	17	34	23	45	2	2	16	5	56	77	9	18	42	15	5	19	27	40	32	26	31	50	24	31	14	1	41
