gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
0	Xkr4	0.1601302837528797	0.0494600571828884	-0.11067022656999129			False	
1	Gm1992						False	
2	Gm19938	0.07672328030642718	0.06263946534872622	-0.01408381495770096			False	
3	Gm37381						False	
4	Rp1	-0.11366724256352946	-0.1034830953758759	0.010184147187653564			False	
5	Sox17						False	
6	Gm37587						False	
7	Gm37323						False	
8	Mrpl15	0.19319432776046794	0.08479491408231034	-0.1083994136781576			False	
9	Lypla1	-0.1325050535162943	-0.0773376005049379	0.05516745301135639			False	
10	Tcea1	-0.06690606592826402	-0.03620774625584091	0.030698319672423112			False	
11	Rgs20	-0.3517584095825795	0.010862877762626589	0.36262128734520604			False	
12	Gm16041						False	
13	Atp6v1h	0.36802396499969264	0.28732231102123695	-0.08070165397845569			False	
14	Oprk1	0.08176305883294942	0.3046025944114309	0.22283953557848146			False	
15	Npbwr1	0.02515705211219898	0.06961127495282542	0.04445422284062644			False	
16	Rb1cc1	-0.00019004782029755806	0.006409425681533074	0.0065994735018306315			False	
17	4732440D04Rik	0.0029968572633724206	-0.010543749664098379	-0.013540606927470798			False	
18	Alkal1						False	
19	St18	-0.2512182342069471	-0.27434023014111675	-0.023121995934169637			False	
20	Pcmtd1	-0.0626645697864042	-0.11339570540875883	-0.05073113562235464			False	
21	Gm26901	0.08536875875746613	0.034641158362920976	-0.05072760039454516			False	
22	Gm30414						False	
23	Sntg1	0.12135480615920041	0.05806129015407722	-0.0632935160051232			False	
24	Rrs1	0.1363350100767467	0.05207538594001473	-0.08425962413673196			False	
25	Adhfe1	-0.434035781925677	-0.383390497062156	0.05064528486352099			False	
26	2610203C22Rik	0.0060816540812728605	-0.003469492605624032	-0.009551146686896893			False	
27	Vxn	-0.06629331735211921	0.00661593540012418	0.07290925275224339			False	
28	Gm29520						False	
29	Mybl1	-0.10618257861968687	0.010167379946661113	0.11634995856634799			False	
30	Vcpip1	-0.0610056073112127	-0.03505474818989261	0.025950859121320086			False	
31	1700034P13Rik		-0.025447434997653458				False	
32	Sgk3	-0.032604638072522105	-0.07047664870368327	-0.03787201063116116			False	
33	Mcmdc2	-0.04286243286578223	-0.026388348929147192	0.016474083936635037			False	
34	Snhg6	0.19013448711488226	0.1327106934983959	-0.05742379361648636			False	
35	Tcf24						False	
36	Ppp1r42	-0.09991421653654896	-0.06640693559262519	0.03350728094392377			False	
37	Gm15818						False	
38	Cops5	-0.09205748158628954	-0.027657276638579507	0.06440020494771004			False	
39	Cspp1	-0.2622391422383615	-0.22278479454044867	0.03945434769791281			False	
40	Arfgef1	-0.011237459270661922	0.0036605760642247445	0.014898035334886666			False	
41	Cpa6	0.01962240353057729					False	
42	Prex2	0.012967532592062733	0.01372240268392889	0.0007548700918661583			False	
43	A830018L16Rik	0.11116303504959311	-0.012018570502902655	-0.12318160555249577			False	
44	Gm17644						False	
45	Gm29663						False	
46	Sulf1	-0.6436362723939197	-0.5664988851437928	0.07713738725012698			False	
47	Slco5a1	0.10122560905574993	0.0964054753721401	-0.004820133683609826			False	
48	Gm29283						False	
49	Prdm14						False	
