ID	gene	h0_theta	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
1	2	5.147998	5.216176986694336	4.258720874786377	-9109.502	-9357.888	248.38574	0.0	0.0	True
3	4	3.2500248	3.9710824489593506	0.4659361243247986	-4530.925	-4744.5967	213.67188	0.0	0.0	True
8	9	2.6980042	3.0642898082733154	0.4755811095237732	-5484.367	-5918.6235	434.25635	0.0	0.0	True
9	10	3.6455057	3.386810302734375	8.417597770690918	-5097.768	-5248.585	150.8169	0.0	0.0	True
14	15	3.4008865	3.8109631538391113	0.4614354968070984	-4219.638	-4303.728	84.08984	0.0	0.0	True
17	18	7.473447	7.324321746826172	10.181502342224121	-5961.2837	-6300.5044	339.2207	0.0	0.0	True
23	24	5.662018	5.801026821136475	3.7398579120635986	-7134.8965	-7592.9927	458.0962	0.0	0.0	True
26	27	5.051844	5.598512172698975	0.4809473156929016	-5850.431	-9613.411	3762.98	0.0	0.0	True
32	33	5.8359084	5.714039325714111	7.66015625	-6489.488	-6603.3438	113.85596	0.0	0.0	True
36	37	4.2073145	4.046801567077637	7.046693325042725	-5157.4463	-5265.61	108.163574	0.0	0.0	True
37	38	1.7374965	1.4293079376220703	8.106042861938477	-4598.1567	-4862.917	264.76025	0.0	0.0	True
41	42	4.9237237	4.666867256164551	9.44625186920166	-5473.541	-5804.4854	330.94434	0.0	0.0	True
42	43	0.7484075	0.5898310542106628	4.344705104827881	-6713.9224	-7345.2954	631.37305	0.0	0.0	True
44	45	3.8896143	3.6810052394866943	7.5801496505737305	-4871.701	-4947.515	75.813965	0.0	0.0	True
57	58	3.3477356	3.114870071411133	7.227685451507568	-5551.548	-5793.2607	241.71289	0.0	0.0	True
58	59	3.5562303	3.350876569747925	6.7747955322265625	-6789.0566	-7545.1147	756.0581	0.0	0.0	True
60	61	4.7036123	5.097284317016602	0.4877818822860718	-6789.46	-8020.024	1230.564	0.0	0.0	True
63	64	6.0678434	6.159597873687744	4.54689884185791	-5970.7197	-6044.515	73.79541	0.0	0.0	True
64	65	5.6450477	5.826175689697266	2.8432860374450684	-6953.3135	-7765.7075	812.39404	0.0	0.0	True
65	66	2.8105922	2.908625841140747	1.3086670637130737	-5308.3784	-5381.624	73.245605	0.0	0.0	True
67	68	3.0892444	3.4468278884887695	0.46454811096191406	-4575.7573	-4737.9883	162.23096	0.0	0.0	True
72	73	8.810124	8.730033874511719	9.865741729736328	-8949.564	-9134.589	185.02441	0.0	0.0	True
75	76	2.119315	2.5191781520843506	0.47159361839294434	-5091.443	-5377.021	285.57812	0.0	0.0	True
77	78	3.8105628	4.231606483459473	0.4753342866897583	-5906.1187	-6617.777	711.6582	0.0	0.0	True
78	79	5.9663477	5.743645191192627	12.486873626708984	-5154.3193	-5251.255	96.93555	0.0	0.0	True
79	80	4.880887	4.728473663330078	7.737396240234375	-5763.5693	-6040.1436	276.57422	0.0	0.0	True
81	82	2.4576073	2.659005641937256	0.4928199052810669	-5956.16	-6144.8335	188.67334	0.0	0.0	True
82	83	2.3800814	2.5843727588653564	0.474505752325058	-4582.0483	-4674.4253	92.37695	0.0	0.0	True
87	88	5.7292557	5.4254984855651855	9.969736099243164	-6040.2715	-6553.3794	513.1079	0.0	0.0	True
88	89	7.2619905	7.416075706481934	4.9093523025512695	-6266.448	-6409.1587	142.71045	0.0	0.0	True
90	91	6.7487144	6.60255765914917	8.639330863952637	-7947.165	-8128.956	181.79102	0.0	0.0	True
91	92	7.4938874	7.314917087554932	10.652612686157227	-6320.212	-6460.731	140.51904	0.0	0.0	True
92	93	1.3823475	1.472955584526062	0.5240748524665833	-7081.0947	-7201.2485	120.15381	0.0	0.0	True
98	99	2.245046	2.670097827911377	0.4764029383659363	-6225.2515	-6996.1367	770.88525	0.0	0.0	True
49	50	1.7228504	1.8918845653533936	0.4780542552471161	-4985.6294	-5051.305	65.67578	5.551115123125783e-16	1.5860328923216523e-15	True
21	22	1.6916739	1.5142626762390137	5.7035980224609375	-4549.194	-4613.3223	64.12842	1.1102230246251565e-15	3.0839528461809905e-15	True
89	90	5.2488313	5.170932292938232	6.528250694274902	-6260.9917	-6322.597	61.60547	4.218847493575595e-15	1.1402290523177284e-14	True
20	21	0.87895644	0.7106221914291382	7.813013076782227	-4161.4126	-4222.0044	60.591797	6.994405055138486e-15	1.84063290924697e-14	True
56	57	6.6254115	6.72138786315918	4.957698345184326	-6376.3135	-6431.504	55.19043	1.0935696792557792e-13	2.804024818604562e-13	True
27	28	5.4289536	5.220644474029541	9.969398498535156	-5028.631	-5082.1763	53.54541	2.5268676040468563e-13	6.317169010117141e-13	True
71	72	2.1674368	2.3944804668426514	0.4697585701942444	-4325.5938	-4378.6646	53.0708	3.2174263253637037e-13	7.847381281374888e-13	True
25	26	5.840794	5.709929466247559	8.094776153564453	-5703.412	-5752.5044	49.092285	2.441935542663032e-12	5.81413224443579e-12	True
