ID	gene	h0_theta	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
0	1	3.1876364	2.8221585750579834	9.81942367553711	-4638.571	-4872.2485	233.67773	0.0	0.0	True
1	2	0.48936224	0.47858232259750366	8.618566513061523	-4071.979	-4175.096	103.11719	0.0	0.0	True
2	3	4.2132483	3.8864212036132812	10.721555709838867	-5524.7734	-6858.2246	1333.4512	0.0	0.0	True
3	4	6.256606	5.97446870803833	10.62983512878418	-5709.3726	-5920.9775	211.60498	0.0	0.0	True
8	9	1.1152905	0.9067104458808899	9.014140129089355	-4241.83	-4349.774	107.94385	0.0	0.0	True
9	10	1.0756224	0.720855712890625	12.217941284179688	-4325.4844	-4609.43	283.9458	0.0	0.0	True
10	11	7.4270477	7.248295307159424	10.562421798706055	-6154.552	-6272.9077	118.35596	0.0	0.0	True
12	13	4.607162	4.305017948150635	9.262954711914062	-5646.4106	-6020.4155	374.00488	0.0	0.0	True
13	14	4.327468	4.100949764251709	9.40754508972168	-5004.8076	-5103.7993	98.9917	0.0	0.0	True
16	17	3.078569	2.547391653060913	11.262948989868164	-5253.735	-6278.2173	1024.4824	0.0	0.0	True
19	20	1.6594614	1.262700080871582	11.054191589355469	-4368.149	-4610.954	242.80518	0.0	0.0	True
20	21	7.208914	7.056801795959473	8.983782768249512	-21528.697	-69955.23	48426.53	0.0	0.0	True
21	22	0.8385298	0.5743011832237244	9.140251159667969	-4840.3086	-5323.5117	483.20312	0.0	0.0	True
22	23	6.548819	6.322988986968994	10.211465835571289	-7055.659	-7871.779	816.1196	0.0	0.0	True
24	25	5.5683417	5.3009352684021	9.783206939697266	-6347.9365	-6756.328	408.3916	0.0	0.0	True
25	26	2.7013986	2.313875436782837	9.17605209350586	-5104.6914	-5426.458	321.7666	0.0	0.0	True
26	27	5.206968	5.047976970672607	7.6054205894470215	-6425.645	-6585.0522	159.40723	0.0	0.0	True
28	29	0.6131137	0.49499648809432983	11.211383819580078	-3932.3765	-4052.0645	119.68799	0.0	0.0	True
31	32	4.7468815	4.467009544372559	10.585909843444824	-5157.77	-5336.1675	178.39746	0.0	0.0	True
33	34	5.9817667	5.855820655822754	7.677775859832764	-8891.397	-9121.802	230.4043	0.0	0.0	True
35	36	3.2272742	3.036212682723999	6.570427894592285	-5257.5166	-5393.8765	136.35986	0.0	0.0	True
37	38	2.161911	1.8573098182678223	9.213570594787598	-4483.7554	-4576.0444	92.28906	0.0	0.0	True
39	40	0.4719358	0.46897199749946594	11.510406494140625	-3888.3755	-3976.332	87.95654	0.0	0.0	True
41	42	2.1278875	1.8180162906646729	11.731527328491211	-4140.1406	-4213.306	73.16553	0.0	0.0	True
43	44	5.766152	5.545454025268555	9.855388641357422	-5244.8364	-5454.337	209.50049	0.0	0.0	True
46	47	5.8703976	5.577507019042969	9.856989860534668	-7738.0073	-9387.788	1649.7808	0.0	0.0	True
49	50	1.4256037	1.1391777992248535	11.14184284210205	-3996.7642	-4082.8564	86.092285	0.0	0.0	True
51	52	5.38165	5.17203950881958	8.791205406188965	-5830.5293	-6046.9663	216.43701	0.0	0.0	True
52	53	6.0515122	5.7873125076293945	10.147117614746094	-5998.1406	-6325.916	327.7754	0.0	0.0	True
53	54	4.0484395	3.589243173599243	10.241787910461426	-5691.748	-7302.842	1611.0938	0.0	0.0	True
55	56	4.9842987	4.716422080993652	8.851527214050293	-5350.5327	-5765.721	415.18848	0.0	0.0	True
56	57	5.086161	4.808794021606445	9.006046295166016	-6954.371	-7486.089	531.7178	0.0	0.0	True
57	58	1.3522754	1.0172443389892578	9.294512748718262	-4626.0815	-5087.3623	461.28076	0.0	0.0	True
58	59	6.621301	6.461146354675293	8.437260627746582	-23197.83	-24256.11	1058.2793	0.0	0.0	True
60	61	5.4536953	5.250851631164551	8.976905822753906	-5778.4585	-5966.7383	188.27979	0.0	0.0	True
62	63	4.8381343	4.560173034667969	9.934733390808105	-4974.868	-5066.769	91.90088	0.0	0.0	True
63	64	4.998088	4.807624816894531	8.400609016418457	-5651.138	-5830.863	179.72461	0.0	0.0	True
64	65	4.6561985	4.385333061218262	10.99016284942627	-4724.7554	-4801.1855	76.430176	0.0	0.0	True
65	66	0.9694241	0.6889334321022034	8.782675743103027	-4335.0664	-4603.4897	268.42334	0.0	0.0	True
67	68	0.97740674	0.8319531083106995	8.923001289367676	-3916.8135	-3987.0908	70.27734	0.0	0.0	True
68	69	0.8582628	0.5661243200302124	11.2743558883667	-4164.4165	-4355.4224	191.00586	0.0	0.0	True
72	73	0.5597098	0.5054826736450195	8.234570503234863	-4016.1052	-4170.538	154.43286	0.0	0.0	True
73	74	4.399568	4.128883361816406	8.562936782836914	-6586.23	-6962.084	375.854	0.0	0.0	True
75	76	1.7818425	1.451837420463562	9.461725234985352	-4583.1426	-4935.559	352.4165	0.0	0.0	True
