	1	2
4898	1	9
4902	6	6
4906	10	2
4909	13	3
4910	9	8
4911	5	6
4917	4	6
4920	2	6
4921	10	4
4922	6	1
4923	7	5
4929	11	3
4936	10	3
4940	8	4
4944	12	4
4946	6	8
4947	4	2
4956	8	8
4958	4	10
4961	2	3
4965	4	3
4969	7	8
4971	4	12
4974	1	2
4976	3	1
4978	5	4
4983	8	1
4984	10	5
4985	6	10
4989	3	6
4990	9	8
4991	1	3
4996	2	4
4997	0	5
5002	4	4
5004	6	7
5008	0	8
5009	7	6
5012	3	7
5017	6	0
5024	6	2
5026	0	7
5028	4	5
5040	6	6
5041	8	5
5043	7	8
5051	6	5
5053	14	1
5055	0	6
5058	2	7
5063	11	7
5066	6	2
5072	6	1
5078	11	4
5080	5	2
5083	3	0
5084	0	4
5103	6	6
5104	3	8
5106	6	4
5109	4	2
5118	9	0
5122	1	7
5124	1	5
5127	4	2
5128	10	7
5130	5	6
5131	13	1
5132	10	1
5140	4	9
5141	1	5
5142	1	11
5144	9	4
5148	1	5
5151	8	5
5153	2	5
5154	2	16
5157	3	12
5162	9	5
5164	5	3
5168	4	9
5169	10	2
5171	5	9
5174	7	4
5176	2	11
5181	6	2
5182	14	8
5183	5	9
5184	5	9
5189	7	4
5192	6	12
5195	10	9
5197	3	5
5206	2	4
5207	5	1
5208	9	1
5214	4	7
5215	4	10
5220	3	5
5222	2	9
5230	4	6
5232	6	7
5233	10	1
5234	11	2
5238	7	1
5242	6	8
5246	4	7
5247	1	3
5249	8	16
5250	2	4
5251	9	6
5255	3	6
5256	3	4
5259	1	5
5260	1	11
5264	2	8
5267	2	3
5269	2	10
5274	7	0
5281	7	1
5285	8	4
5296	12	1
5299	8	2
5300	9	4
5303	0	0
5308	10	2
5311	14	3
5313	14	3
5314	13	8
5316	5	9
5317	0	5
5318	0	7
5321	7	2
5325	11	3
5327	3	2
5330	7	5
5333	9	5
5337	11	1
5343	7	9
5346	5	3
5353	3	5
5357	9	1
5358	3	7
5365	9	3
5371	0	11
5376	3	13
5383	5	2
5384	3	0
5385	7	14
5391	3	10
5392	0	1
5396	4	9
5397	8	8
5399	4	0
5401	11	6
5406	2	5
5408	11	8
5419	1	4
5422	3	14
5425	0	9
5429	2	7
5430	0	3
5431	0	8
5434	0	9
5436	0	11
5438	6	7
5442	0	4
5443	0	7
5461	3	5
5462	1	7
5463	3	7
5464	4	5
5472	0	15
5478	4	9
5479	1	15
5482	0	3
5483	6	3
5484	8	4
5485	2	3
5494	0	8
5495	5	5
5496	4	12
5503	0	5
5505	4	6
5515	0	4
5524	6	10
5526	0	2
5528	0	7
5529	3	9
5532	11	4
5533	3	5
5534	2	3
5536	1	16
5542	2	4
