	1	2
4898	3	0
4902	0	6
4906	1	0
4909	3	1
4910	5	1
4911	0	0
4917	3	0
4920	6	3
4921	15	10
4922	11	9
4923	7	11
4929	3	1
4936	15	9
4940	4	1
4944	2	1
4946	4	4
4947	2	0
4956	9	0
4958	1	1
4961	2	3
4965	11	4
4969	7	2
4971	3	5
4974	3	0
4976	5	0
4978	8	2
4983	13	4
4984	10	5
4985	5	8
4989	9	1
4990	7	2
4991	4	2
4996	8	3
4997	6	5
5002	8	6
5004	3	5
5008	8	17
5009	5	6
5012	8	2
5017	4	7
5024	8	3
5026	3	1
5028	1	4
5040	0	2
5041	5	4
5043	3	4
5051	12	10
5053	1	1
5055	5	2
5058	6	5
5063	5	0
5066	5	0
5072	5	0
5078	6	1
5080	6	3
5083	6	9
5084	3	8
5103	9	11
5104	6	13
5106	4	0
5109	3	0
5118	0	3
5122	4	5
5124	5	0
5127	3	8
5128	5	7
5130	6	1
5131	3	2
5132	4	0
5140	4	0
5141	9	0
5142	7	0
5144	6	2
5148	0	1
5151	10	10
5153	4	7
5154	9	9
5157	6	4
5162	5	1
5164	10	2
5168	2	0
5169	0	0
5171	8	5
5174	7	3
5176	4	0
5181	0	0
5182	1	0
5183	10	5
5184	9	2
5189	2	0
5192	5	3
5195	4	1
5197	5	0
5206	2	1
5207	7	14
5208	7	6
5214	8	3
5215	5	1
5220	1	0
5222	1	0
5230	9	0
5232	0	4
5233	3	1
5234	1	5
5238	4	1
5242	12	1
5246	4	0
5247	3	0
5249	2	6
5250	1	7
5251	4	0
5255	6	4
5256	3	1
5259	4	3
5260	5	0
5264	4	4
5267	1	2
5269	6	3
5274	4	1
5281	2	0
5285	12	5
5296	4	1
5299	7	8
5300	8	7
5303	6	2
5308	0	4
5311	5	2
5313	1	0
5314	4	1
5316	4	1
5317	5	4
5318	8	2
5321	12	11
5325	3	4
5327	2	7
5330	10	6
5333	7	7
5337	3	0
5343	7	3
5346	13	7
5353	1	0
5357	4	6
5358	4	6
5365	8	3
5371	7	6
5376	2	2
5383	0	8
5384	0	8
5385	6	2
5391	10	0
5392	3	0
5396	0	0
5397	9	2
5399	5	3
5401	0	1
5406	8	0
5408	4	0
5419	6	3
5422	6	7
5425	9	0
5429	1	0
5430	2	0
5431	1	0
5434	2	0
5436	2	2
5438	5	0
5442	0	6
5443	2	4
5461	2	1
5462	2	7
5463	7	1
5464	6	1
5472	0	0
5478	3	0
5479	0	0
5482	2	1
5483	2	0
5484	5	0
5485	4	0
5494	1	0
5495	5	5
5496	4	5
5503	4	3
5505	5	0
5515	1	1
5524	1	2
5526	0	3
5528	5	0
5529	2	0
5532	0	3
5533	4	2
5534	0	2
5536	5	2
5542	3	1
