node,node2,regime
c5058,,0
c5083,,0
c5040,,0
c5232,,0
c5148,,0
c5285,,0
c5184,,0
c4990,,0
c5242,,0
c5222,,0
c4997,,0
c5168,,0
c5208,,0
c5124,,0
c5406,,0
c4984,,0
c5009,,0
c4940,,0
c5220,,0
c4956,,0
c5026,,0
c4974,,0
c4965,,0
c4991,,0
c4983,,0
c4909,,0
c4989,,0
c5300,,0
c4971,,0
c5072,,0
c5333,,0
c5063,,0
c5358,,0
c5192,,0
c4996,,0
c5308,,0
c5346,,0
c5259,,0
c5274,,0
c5238,,0
c5392,,0
c5132,,0
c4906,,0
c4936,,0
c5365,,0
c5051,,0
c4978,,0
c5383,,0
c5017,,0
c5234,,0
c5141,,0
c4969,,0
c5043,,0
c5215,,0
c5296,,0
c5206,,0
c5396,,0
c5327,,0
c5140,,0
c5028,,0
c5012,,0
c5316,,0
c5118,,0
c5154,,0
c5401,,0
c5267,,0
c5024,,0
c5130,,0
c5164,,0
c5247,,0
c5041,,0
c5103,,0
c5144,,0
c5384,,0
c5251,,0
c4902,,0
c5343,,0
c5250,,0
c5399,,0
c5214,,0
c5131,,0
c5142,,0
c4944,,0
c5269,,0
c5230,,0
c4923,,0
c5391,,0
c5299,,0
c5122,,0
c5174,,0
c4910,,0
c5004,,0
c5181,,0
c5325,,0
c5008,,0
c5106,,0
c4961,,0
c5260,,0
c5189,,0
c5264,,0
c5080,,0
c5078,,0
c4947,,0
c4922,,0
c5321,,0
c5197,,0
c4911,,0
c5311,,0
c5246,,0
c5066,,0
c5371,,0
c5127,,0
c5128,,0
c5104,,0
c5162,,0
c5408,,0
c5109,,0
c5353,,0
c5337,,0
c5153,,0
c4920,,0
c5256,,0
c5233,,0
c5314,,0
c4976,,0
c5182,,0
c4958,,0
c4898,,0
c4985,,0
c5183,,0
c5169,,0
c4921,,0
c5397,,0
c5249,,0
c5376,,0
c5207,,0
c5281,,0
c5157,,0
c5151,,0
c5002,,0
c5357,,0
c5176,,0
c4946,,0
c5171,,0
c4917,,0
c5053,,0
c5255,,0
c5330,,0
c5303,,0
c5318,,0
c5055,,0
c5385,,0
c5084,,0
c5313,,0
c4929,,0
c5195,,0
c5317,,0
c5425,,1
c5462,,1
c5542,,1
c5434,,1
c5528,,1
c5496,,1
c5483,,1
c5484,,1
c5532,,1
c5524,,1
c5515,,1
c5431,,1
c5478,,1
c5463,,1
c5534,,1
c5495,,1
c5429,,1
c5529,,1
c5472,,1
c5430,,1
c5442,,1
c5505,,1
c5438,,1
c5422,,1
c5494,,1
c5526,,1
c5479,,1
c5533,,1
c5464,,1
c5482,,1
c5419,,1
c5436,,1
c5485,,1
c5461,,1
c5536,,1
c5443,,1
c5503,,1
c5058,c5083,0
c5058,c5184,0
c5058,c4990,0
c5058,c5242,0
c5058,c5124,0
c5058,c5215,0
c5058,c5214,0
c5058,c4920,0
c5058,c5425,0
c5083,c5040,0
c5083,c5232,0
c5083,c5148,0
c5083,c5285,0
c5083,c5017,0
c5083,c4969,0
c5083,c5084,0
c5040,c5189,0
c5040,c4911,0
c5232,c4940,0
c5232,c5026,0
c5232,c5396,0
c5232,c5316,0
c5148,c5222,0
c5148,c5168,0
c5148,c5358,0
c5148,c5132,0
c5148,c4906,0
c5148,c5251,0
c5148,c4902,0
c5148,c5399,0
c5148,c5269,0
c5148,c5197,0
c5148,c5281,0
c5285,c5208,0
c5285,c4936,0
c5184,c5183,0
c4990,c4997,0
c4990,c4965,0
c4990,c4989,0
c4990,c5259,0
c4990,c5122,0
c4990,c5246,0
c5242,c4971,0
c5242,c5192,0
c5242,c4996,0
c5242,c5012,0
c5222,c5406,0
c5222,c5220,0
c5222,c4991,0
c5222,c5247,0
c4997,c5392,0
c5168,c5206,0
c5168,c4944,0
c5168,c4917,0
c5208,c4984,0
c5208,c5300,0
c5208,c5346,0
c5208,c5103,0
c5208,c4922,0
c5208,c5207,0
c5124,c5063,0
c5124,c5043,0
c5124,c5130,0
c4984,c5009,0
c4984,c4983,0
c4984,c5321,0
c4940,c4956,0
c4940,c4909,0
c4940,c5072,0
c4940,c5308,0
c4940,c5078,0
c4940,c5311,0
c5220,c4974,0
c5220,c5353,0
c4956,c5174,0
c5026,c5376,0
c4965,c5333,0
c4965,c4978,0
c4991,c5267,0
c4991,c4976,0
c4909,c4910,0
c4909,c5181,0
c4909,c5066,0
c4909,c4929,0
c4909,c5195,0
c5300,c5299,0
c5300,c5330,0
c4971,c5028,0
c4971,c5154,0
c4971,c5250,0
c5072,c5274,0
c5072,c5234,0
c5072,c5401,0
c5333,c5024,0
c5063,c5140,0
c5063,c5408,0
c5358,c5238,0
c5358,c5383,0
c5358,c5325,0
c5358,c5127,0
c5358,c5357,0
c5358,c5055,0
c5192,c5164,0
c5308,c5041,0
c5346,c5051,0
c5346,c5343,0
c5259,c5260,0
c5238,c5365,0
c5238,c4923,0
c5392,c5141,0
c5392,c5391,0
c5132,c5144,0
c5132,c5131,0
c5383,c5384,0
c5383,c5303,0
c5017,c5296,0
c5234,c5118,0
c5234,c5233,0
c5141,c5142,0
c4969,c5327,0
c4969,c5002,0
c5215,c5004,0
c5215,c5171,0
c5296,c5080,0
c5396,c5314,0
c5140,c4958,0
c5012,c5371,0
c5012,c5318,0
c5154,c5008,0
c5154,c5153,0
c5401,c5169,0
c5401,c5053,0
c5267,c4947,0
c5024,c5385,0
c5130,c5230,0
c5130,c5106,0
c5103,c5104,0
c5251,c5176,0
c5250,c5249,0
c5399,c4961,0
c4944,c5109,0
c5269,c4946,0
c4923,c5264,0
c4923,c5151,0
c5181,c5162,0
c5181,c5182,0
