ID	gene	h0_r	h0_mu	h0_lambda	h0_sigma	h1_r	h1_mu	h1_lambda	h1_sigma	h0	h1	lr	p	signif	q
8	H	3.4531263e+21	-1.0504528	0.0	6.557301	4.4339357e+21	-1.004026	0.42556182	8.652869	-1.7473967e+19	-2.096876e+19	6.9895866e+18	0.0	True	0.0
3	C	2.6110978	-0.5514933	0.0	9.804144	0.34025893	0.8047502	0.0006185386	1.216112	76.76483	75.0894	3.3508606	0.067169905	False	0.3358495235443115
2	B	0.4034957	0.41895863	0.0	4.6485033	0.31767535	0.63936377	0.0016090279	2.9103723	41.67441	41.94291	-0.53699493	1.0	False	1.0
1	A	0.34610248	0.87243557	0.0	1.5211035	0.34432068	0.87322295	0.00063221855	1.4463196	62.84131	62.892326	-0.10203552	1.0	False	1.0
4	D	0.42030993	0.577043	0.0	4.0839744	0.39592293	0.6232393	0.00059097423	3.7097123	30.78896	30.601776	0.37436676	0.5406336	False	1.0
5	E	0.50540805	0.5248001	0.0	3.162597	0.5027544	0.5215404	0.0006088632	3.130047	90.80894	90.8031	0.011672974	0.9139627	False	1.0
6	F	0.8177224	-0.1390157	0.0	3.6782815	0.81123096	-0.13828813	0.00036990512	3.6708717	131.91957	131.95406	-0.06896973	1.0	False	1.0
7	G	25.162954	-1.1631666	0.0	6.8411617	11.928252	-1.1236517	0.00010003557	6.690147	149.27586	149.33234	-0.11294556	1.0	False	1.0
9	I	1.3496094	-0.08965977	0.0	4.523534	0.652039	0.23371771	0.0007935953	1.9016382	150.17648	150.08154	0.18988037	0.6630162	False	1.0
10	J	8.440502	-0.85047585	0.0	7.8761344	8.301046	-0.8468389	0.0012117848	7.8545275	142.14417	142.1321	0.024139404	0.87653077	False	1.0
