gene	log2FC	p_value	q_value	signif
119	2.0907552	4.278220403695608e-06	2.6408767924046965e-05	True
251	1.6133193	4.734275128947095e-06	2.886753127406765e-05	True
326	1.8743206	2.3411109349707112e-05	0.00011944443545768935	True
74	1.0517367	0.0004845915750572187	0.0015425342383132222	True
137	1.4155918	0.0013234401269713713	0.003696760131204948	True
370	1.2052538	0.0016291637860404852	0.004427075505544797	True
66	1.3194436	0.0042453589053856105	0.010304269187829153	True
37	1.2005285	0.0042453589053856105	0.010304269187829153	True
350	1.169305	0.004355541622272182	0.010520631937855513	True
142	0.9346315	0.006133999340421845	0.014265114745167081	True
218	1.6516463	0.006256597127926655	0.014416122414577548	True
187	1.1240878	0.00994339349363575	0.022096429985857223	True
161	0.73800796	0.011073791704294194	0.024178584507192562	True
499	0.8347134	0.01203663391632782	0.025609859396442173	True
380	1.2257783	0.012316937059861983	0.02598509928240925	True
275	0.8799584	0.012719072612365	0.026498067942427084	True
237	0.85750073	0.01301338425975249	0.026887157561472086	True
97	0.6572116	0.01504366360680195	0.030576552046345427	True
249	0.69151616	0.015592912596009235	0.031437323782276684	True
24	0.70317394	0.015592912596009235	0.031437323782276684	True
151	0.7356311	0.01580338543716036	0.031733705697109156	True
488	1.1283237	0.018208621183095696	0.03528802554863507	True
416	0.7605063	0.01918999053269413	0.03662211933720253	True
407	0.9155107	0.020748688681903257	0.03900129451485575	True
210	0.80226177	0.023995887868040355	0.04378811654751889	True
150	0.87811136	0.024097718981954765	0.043814034512645025	True
340	0.7578108	0.02790574330275276	0.05037137780280281	False
342	0.5809929	0.028255061506216077	0.05081845594643179	False
450	0.79375213	0.03550139078833424	0.061421091329297996	False
293	0.8324852	0.0424216404226455	0.07214564697728827	False
225	0.61962	0.04258755019295439	0.07218228846263457	False
480	0.70103025	0.05045016686032648	0.08380426388758552	False
383	0.6330156	0.054203496666249726	0.08915048793791074	False
437	0.809413	0.055022667897363785	0.08990632009373167	False
104	0.640007	0.055643797613485375	0.09062507754639312	False
21	0.6066329	0.06333161199469495	0.10052636824554753	False
266	0.77722615	0.06810546870936832	0.10641479485838799	False
214	0.5430291	0.0706011447346387	0.10895238384975107	False
305	0.5701472	0.07162019596680584	0.11018491687200899	False
279	0.6738096	0.07635609495766778	0.11639648621595697	False
338	0.9942998	0.07799036146659308	0.11852638520758826	False
438	0.5237623	0.08689331738437071	0.13125878758968385	False
215	0.49306443	0.10434616233955922	0.15527702729101073	False
282	0.48550555	0.10609389043278972	0.1560204271070437	False
483	0.47741103	0.11783509889971551	0.17177128119492055	False
82	0.55276066	0.1232822676289351	0.1781535659377675	False
162	0.4268575	0.13518936093992734	0.18987269794933617	False
496	0.33779952	0.1360422094138034	0.1905353073022457	False
288	0.5011842	0.16164554118936714	0.22143224820461252	False
390	0.42006153	0.17782504905877916	0.242268459208146	False
59	0.5075419	0.19461990552984765	0.2622909778030292	False
216	0.5542378	0.1991371834931256	0.26693992425351953	False
122	0.43313158	0.2025750868166638	0.27010011575555176	False
