gene	log2FC	p_value	q_value	signif
3	0.63494176	0.17834941303339436	0.18124940348922192	False
294	-0.08307314	0.7870468910932885	0.7870468910932885	False
105	-0.17146197	0.628857230675737	0.6301174656069508	False
231	-0.16067493	0.5991326823950354	0.6015388377460195	False
340	-0.14062999	0.5546920172470203	0.5580402587998192	False
55	-0.33823726	0.26495127043570965	0.267087974229546	False
172	-0.3863707	0.2479063869768462	0.2504104918958042	False
92	-0.3568169	0.19518041818488907	0.19755103055150716	False
457	-0.3967155	0.1831205614224889	0.1857206505299076	False
476	-0.40769356	0.16262302868138934	0.16560389886088528	False
474	-0.3957895	0.16018763669712344	0.16345677213992188	False
404	-0.51739776	0.15257956806413348	0.15601182828643506	False
270	-0.37398347	0.12892408972090985	0.1320943542222437	False
262	-0.44899783	0.11257859680952498	0.11558377495844453	False
299	-0.46003	0.09758281347602282	0.10039384102471484	False
94	-0.4962622	0.08335426596814868	0.08593223295685432	False
366	-0.6789176	0.07501563738675103	0.07749549316813123	False
87	-0.5203923	0.07343251957729531	0.07601710101169287	False
39	-0.54119	0.0520030996004109	0.053945124066816286	False
167	-0.6597588	0.021384018048010565	0.022228708989615972	True
230	-0.5192451	0.01995605905806148	0.020787561518814043	True
132	-0.76769966	0.018208621183095696	0.019006911464609286	True
222	-0.6805186	0.016159729158135135	0.016903482382986543	True
144	-0.6961578	0.01573295184534077	0.016491563779183198	True
286	-0.6267174	0.013435536430536691	0.014112958435437702	True
432	-0.6554678	0.013192848435385273	0.01388720887935292	True
124	-0.6817702	0.01226041820950357	0.012932930600742163	True
261	-0.7067055	0.011334136078061904	0.011981116361587637	True
266	-0.82419515	0.009850133416844235	0.010434463365301096	True
378	-0.6574447	0.009131676196160862	0.009693923775117689	True
369	-0.81120753	0.00874843833030306	0.009306849287556448	True
355	-0.7569811	0.007536010607715639	0.008034126447458038	True
370	-0.8042644	0.007319552842556707	0.007820035088201609	True
473	-0.8619067	0.006349988300444993	0.0067987026771359664	True
346	-0.67443043	0.006043475385832198	0.006484415650034547	True
150	-0.90499157	0.005895273568018824	0.006339003836579381	True
360	-0.72618324	0.0053615174791492885	0.005777497283566043	True
305	-0.84217656	0.004011804199155161	0.004332401942932139	True
438	-0.83398104	0.003991161313009667	0.0043194386504433625	True
36	-0.77016056	0.003950164603342587	0.0042843433875733045	True
339	-0.9226538	0.0028090617708411013	0.003053328011783806	True
