ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
81	81	148.41316	0.0	3.1458356	0.538952	148.41316	0.6927875	2.8075173	2.5798898	-157.98717	-179.39682	42.819305	0.0	True	0.0
457	457	148.41316	0.0	1.5737484	1.1152413	148.41316	0.62421787	1.0911219	2.1968029	99.22355	83.00098	32.445145	0.0	True	0.0
363	363	17.385775	0.0	2.4944215	0.4506144	16.982916	0.6382854	2.4711332	2.7222028	-53.671234	-73.24753	39.152588	0.0	True	0.0
464	464	148.41316	0.0	2.4941769	2.6382196	148.41316	0.7141224	2.9060764	3.2766213	-124.13219	-141.226	34.187622	0.0	True	0.0
19	19	13.458959	0.0	2.454714	2.769749	14.041224	0.6557746	2.7507524	3.03063	-145.07611	-168.2659	46.379578	0.0	True	0.0
370	370	65.423096	0.0	2.1228757	2.269417	67.76348	0.6489824	2.101373	2.7082968	-32.646706	-52.395477	39.497543	0.0	True	0.0
283	283	148.41316	0.0	2.810482	2.3918855	148.41316	0.6680449	2.3888636	2.568521	-136.47571	-157.73828	42.525146	0.0	True	0.0
348	348	148.41316	0.0	2.736357	2.6694038	148.41316	0.6155089	2.6765478	2.89214	-171.57054	-195.15974	47.178406	0.0	True	0.0
128	128	11.500849	0.0	3.2052307	0.8447241	11.461791	0.62296957	3.1849833	2.7559233	-208.5836	-226.44292	35.718628	0.0	True	0.0
326	326	13.074153	0.0	3.3755903	1.0389587	16.860958	0.67275435	3.345649	2.88556	-241.08714	-258.4937	34.81314	0.0	True	0.0
116	116	133.89923	0.0	2.6091676	2.191518	80.22895	0.59843105	2.6618707	2.472857	-94.16137	-110.160194	31.99765	0.0	True	0.0
113	113	46.30532	0.0	2.6198287	0.9222774	45.938812	0.661311	2.2632663	2.4785156	-69.20277	-89.6915	40.977463	0.0	True	0.0
107	107	18.86958	0.0	2.4332383	2.782269	21.708952	0.4979769	2.464674	2.6845827	-120.60475	-141.46567	41.721832	0.0	True	0.0
103	103	48.004555	0.0	2.824654	2.274401	43.583107	0.68485177	2.5784683	2.7397141	-136.70804	-155.81187	38.207672	0.0	True	0.0
89	89	18.45578	0.0	3.1471972	0.49385518	18.408306	0.6786348	2.692593	2.7410433	-173.60217	-195.17453	43.144714	0.0	True	0.0
88	88	148.41316	0.0	2.6550205	3.1798785	148.41316	0.69598633	2.5475776	3.4635196	-195.34218	-222.29897	53.913574	0.0	True	0.0
281	281	148.41316	0.0	2.5215683	2.635138	148.41316	0.68932974	2.6034951	2.9147143	-124.68415	-152.4674	55.566513	0.0	True	0.0
392	392	108.348335	0.0	3.3271062	0.78242195	100.72373	0.6932922	3.3182547	2.5716352	-197.97739	-219.00015	42.045532	0.0	True	0.0
426	426	148.41316	0.0	1.3485358	2.6107996	148.41316	0.722935	1.7036086	3.1206596	44.732536	28.96202	31.54103	0.0	True	0.0
394	394	79.54738	0.0	2.7576609	0.5428002	68.065956	0.6407559	2.6250083	2.547997	-77.77952	-94.207794	32.856552	0.0	True	0.0
148	148	53.077362	0.0	3.9172018	0.43635866	53.78835	0.7161985	3.57775	3.2474778	-374.9169	-398.07184	46.309875	0.0	True	0.0
431	431	42.790524	0.0	3.1465032	2.3139734	42.93518	0.6377579	3.1632752	2.8092635	-215.40039	-232.21385	33.626923	0.0	True	0.0
220	220	20.682932	0.0	3.585278	0.58364713	21.637241	0.69043916	3.1679945	3.012357	-292.65295	-311.80896	38.31201	0.0	True	0.0
379	379	148.41316	0.0	4.464935	3.039827	148.41316	0.678207	4.328221	3.3881178	-564.7279	-582.6562	35.856567	0.0	True	0.0
420	420	21.37411	0.0	2.467438	0.6278632	21.894156	0.6020741	1.8310232	2.4580054	-35.22351	-50.609978	30.772934	0.0	True	0.0
267	267	16.852917	0.0	2.8487177	1.0750489	16.609688	0.75722975	2.848396	2.8113234	-129.08073	-145.65619	33.15091	0.0	True	0.0
265	265	148.41316	0.0	2.4573624	2.1867795	148.41316	0.59937567	2.0968242	2.3108115	-56.736588	-80.244095	47.015015	0.0	True	0.0
371	371	35.266666	0.0	2.3710485	0.5232176	36.049835	0.7505628	2.1087961	3.0885248	-36.412354	-55.47136	38.11801	0.0	True	0.0
138	138	148.41316	0.0	2.3567119	2.0744803	148.41316	0.6095667	2.4085894	2.4651818	-41.092957	-56.591156	30.996399	0.0	True	0.0
133	133	148.41316	0.0	1.4015572	2.1735785	148.41316	0.46304396	1.6040112	2.2800875	68.80759	51.50438	34.606415	0.0	True	0.0
146	146	71.491325	0.0	3.3650858	2.6372955	69.0609	0.551448	3.4313526	2.835038	-290.9874	-310.82617	39.67755	0.0	True	0.0
299	299	148.41316	0.0	1.9650027	2.5094056	148.41316	0.5944848	2.0303092	2.7952635	-42.877113	-68.30037	50.84651	0.0	True	0.0
383	383	20.019022	0.0	2.3195682	0.4885201	19.916248	0.6079238	1.9591805	2.3107839	-14.657211	-44.339954	59.365486	0.0	True	0.0
242	242	43.211056	0.0	2.057394	2.567711	41.700466	0.6102139	2.206491	2.953944	-57.001266	-74.22494	34.447342	0.0	True	0.0
221	221	33.34373	0.0	3.0898664	0.863512	33.35061	0.80245185	2.8878217	2.8628714	-150.35764	-167.21593	33.716583	0.0	True	0.0
163	163	148.41316	0.0	4.2687864	0.79136235	133.9124	0.7587133	3.8372476	3.338729	-463.90253	-482.99176	38.178467	0.0	True	0.0
65	65	148.41316	0.0	1.5108727	2.0247214	148.41316	0.628804	1.7102634	2.4164217	68.97157	50.04382	37.855507	0.0	True	0.0
210	210	12.504522	0.0	2.8547971	0.8754807	12.600247	0.6570059	2.8787904	2.534328	-145.18384	-176.52261	62.67755	0.0	True	0.0
198	198	112.253365	0.0	2.8592548	2.3244023	99.98637	0.58649415	2.727972	2.4237752	-148.58528	-172.72165	48.272736	0.0	True	0.0
177	177	148.41316	0.0	3.0812793	2.8883274	148.41316	0.68134105	3.1517193	3.2286644	-242.83455	-265.6672	45.665314	0.0	True	0.0
467	467	14.360339	0.0	2.916567	0.54040545	14.738433	0.68186647	2.2725267	2.7868507	-146.22693	-170.92308	49.392303	0.0	True	0.0
479	479	148.41316	0.0	2.101005	2.1357887	148.41316	0.64210624	1.9262782	2.3946204	3.8756104	-12.60202	32.95526	0.0	True	0.0
494	494	148.41316	0.0	2.1396449	3.0434155	148.41316	0.64977586	2.2826335	2.9057865	-101.604614	-138.68251	74.15579	0.0	True	0.0
67	67	15.255721	0.0	2.6146653	0.8643643	14.928186	0.55561876	2.2507503	2.6069944	-91.44562	-115.948784	49.006332	0.0	True	0.0
355	355	148.41316	0.0	2.824525	2.3665109	148.41316	0.5869073	2.6771846	2.706186	-135.90155	-150.79385	29.784607	5.9604645e-08	True	5.32184328351702e-07
365	365	5.364735	0.0	2.3647678	0.91594803	5.605754	0.5788777	2.0734372	2.3145022	-52.293358	-67.42563	30.264542	5.9604645e-08	True	5.32184328351702e-07
452	452	16.171858	0.0	2.1926877	2.728575	15.022265	0.5887134	2.516286	2.8963177	-78.438416	-92.76932	28.661804	5.9604645e-08	True	5.32184328351702e-07
455	455	12.12286	0.0	2.9499397	0.8867669	12.380319	0.6006315	2.486693	2.7013226	-144.31999	-159.67984	30.719696	5.9604645e-08	True	5.32184328351702e-07
292	292	21.93251	0.0	2.7923262	0.6361981	21.360842	0.5867678	2.8904934	2.5944273	-94.55963	-109.42621	29.733154	5.9604645e-08	True	5.32184328351702e-07
270	270	148.41316	0.0	1.7188126	1.9286667	148.41316	0.64692545	1.9661181	2.3709378	54.30859	39.552948	29.511284	5.9604645e-08	True	5.32184328351702e-07
390	390	18.60156	0.0	3.0193384	2.5508442	19.94239	0.5537676	2.6388469	2.7544303	-208.91885	-223.61037	29.383026	5.9604645e-08	True	5.32184328351702e-07
164	164	148.41316	0.0	2.3006299	2.2034886	148.41316	0.5556335	2.595546	2.4497592	-42.822617	-57.951485	30.257736	5.9604645e-08	True	5.32184328351702e-07
145	145	148.41316	0.0	2.9905703	2.3616343	148.41316	0.6651249	3.0920732	2.7801564	-166.22363	-180.80795	29.16864	5.9604645e-08	True	5.32184328351702e-07
295	295	5.5797486	0.0	3.2813985	1.1292831	5.7842946	0.56775045	2.7678826	2.3835797	-260.82297	-275.80585	29.96576	5.9604645e-08	True	5.32184328351702e-07
214	214	25.43637	0.0	3.1694298	0.7484222	25.283913	0.73785836	3.4029198	3.0581954	-194.32593	-209.47972	30.307587	5.9604645e-08	True	5.32184328351702e-07
491	491	16.341177	0.0	2.6052263	0.74400276	16.353481	0.67854613	1.9963264	2.7344851	-66.87015	-81.65448	29.568665	5.9604645e-08	True	5.32184328351702e-07
228	228	35.756622	0.0	2.8080738	0.4591745	44.87789	0.6056834	2.376241	2.678195	-99.28937	-113.47165	28.364563	1.1920929e-07	True	9.169945350060095e-07
75	75	32.616386	0.0	3.1727386	2.524128	33.542923	0.503718	3.0748603	2.7144852	-231.79747	-245.97684	28.358734	1.1920929e-07	True	9.169945350060095e-07
86	86	9.2527275	0.0	4.004566	0.88202846	9.33021	0.5791541	3.4687915	2.7195897	-412.96762	-426.79636	27.65747	1.1920929e-07	True	9.169945350060095e-07
30	30	43.376556	0.0	3.5521612	0.7164812	43.334084	0.50778484	3.2570891	2.3290632	-250.65843	-264.6713	28.025726	1.1920929e-07	True	9.169945350060095e-07
54	54	5.8279366	0.0	4.2333803	1.1650592	6.1495137	0.52417463	3.8760896	2.3382535	-491.16486	-504.99048	27.651245	1.1920929e-07	True	9.169945350060095e-07
