ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
19	19	15.125142	0.0	2.0812452	0.6444083	15.065417	0.73054403	1.0630226	3.4571807	-38.358826	-61.161896	45.60614	0.0	True	0.0
20	20	28.417921	0.0	0.8559877	2.9896286	27.259682	0.73414654	0.95793515	3.7788036	22.89106	4.797905	36.18631	0.0	True	0.0
22	22	148.41316	0.0	1.8207254	3.5981529	148.41316	0.7099727	1.8690777	3.8496566	-124.662384	-153.29181	57.25885	0.0	True	0.0
23	23	148.41316	0.0	1.0591745	3.4667296	148.41316	0.6651397	0.98964304	3.7514722	-30.042862	-54.061142	48.03656	0.0	True	0.0
24	24	20.709375	0.0	1.0176343	2.9228709	21.615788	0.57676387	0.99056214	3.0767014	30.405441	10.290802	40.22928	0.0	True	0.0
28	28	148.41316	0.0	0.3690787	3.11485	148.41316	0.8403124	0.052800957	4.0542517	56.6857	31.569382	50.232635	0.0	True	0.0
29	29	28.620968	0.0	1.9512308	3.7435403	30.639181	0.8184008	1.9226184	4.3909397	-168.36496	-199.13132	61.532715	0.0	True	0.0
30	30	17.424479	0.0	0.66602004	3.4413245	14.9545	0.6834026	0.25041932	3.7413502	-2.4219208	-29.860199	54.876556	0.0	True	0.0
454	454	148.41316	0.0	1.0110533	3.2278547	148.41316	0.7332569	0.99952304	3.6657367	1.2849731	-24.180382	50.93071	0.0	True	0.0
455	455	132.01845	0.0	3.6189218	3.498726	136.2362	0.49308246	3.8646653	3.5004852	-427.7469	-447.56213	39.630493	0.0	True	0.0
457	457	12.106982	0.0	1.0119395	0.7544227	13.853239	0.756074	-0.18855096	3.5261436	66.41316	42.343002	48.14032	0.0	True	0.0
458	458	77.77854	0.0	0.52296144	3.0716498	76.929054	0.7302281	0.54433125	3.8172047	37.97783	17.207588	41.54048	0.0	True	0.0
460	460	148.41316	0.0	-1.4914329	3.1686058	148.41316	0.750037	-1.3889898	3.8191488	112.1861	86.12198	52.128235	0.0	True	0.0
16	16	148.41316	0.0	0.9470825	3.2170353	148.41316	0.74439263	0.86215824	3.7804687	3.4779053	-19.329865	45.61554	0.0	True	0.0
17	17	17.49315	0.0	3.701567	3.8062704	17.204233	0.78835005	2.9629114	4.336485	-524.26904	-555.0043	61.47046	0.0	True	0.0
18	18	14.347407	0.0	2.055151	4.6610136	14.730947	0.81271267	1.7542659	5.2262483	-331.78888	-365.1411	66.70447	0.0	True	0.0
51	51	16.655401	0.0	1.1028463	3.8276124	15.42635	0.73540455	1.2718549	4.3407483	-108.59659	-138.47041	59.74765	0.0	True	0.0
55	55	148.41316	0.0	-0.25040743	3.1936412	148.41316	0.6744129	-0.19839828	3.5682983	77.14899	50.833725	52.630524	0.0	True	0.0
492	492	148.41316	0.0	0.19421619	3.2561734	148.41316	0.7777693	0.14332384	4.33328	45.17517	29.622536	31.10527	0.0	True	0.0
59	59	148.41316	0.0	0.43947303	2.6135902	148.41316	0.8066072	0.5426727	3.1080015	108.50217	77.858475	61.287384	0.0	True	0.0
60	60	70.647575	0.0	0.38351884	2.5206814	72.92216	0.57227945	0.4976929	2.8343759	108.968185	91.433945	35.06848	0.0	True	0.0
64	64	148.41316	0.0	-0.16805844	3.4106574	148.41316	0.8027791	-0.1615112	4.4037147	63.13553	43.690674	38.88971	0.0	True	0.0
491	491	148.41316	0.0	0.81684417	3.0468197	148.41316	0.6651062	1.1632153	3.4271042	42.00894	25.144287	33.72931	0.0	True	0.0
450	450	57.779606	0.0	0.8275561	3.4522486	59.87619	0.8064612	0.75547796	4.16201	-10.611031	-36.935074	52.648087	0.0	True	0.0
259	259	31.791136	0.0	0.92793417	3.102399	31.766285	0.69259775	0.53708625	3.5912209	15.375198	-1.8043747	34.359146	0.0	True	0.0
260	260	14.052625	0.0	-0.39283276	2.5407808	14.746541	0.63086677	-0.34807584	3.0708225	121.68735	105.762474	31.849747	0.0	True	0.0
262	262	34.262775	0.0	1.1921654	2.8341584	33.960876	0.72493553	0.98976487	3.6403182	14.078117	-1.4599304	31.076096	0.0	True	0.0
263	263	16.831554	0.0	2.2616136	3.3235955	17.07369	0.75900704	1.783315	4.0947003	-221.64	-246.23978	49.199554	0.0	True	0.0
265	265	148.41316	0.0	0.94535327	3.6949422	148.41316	0.72103757	0.7624956	4.055619	-43.478302	-68.96962	50.982635	0.0	True	0.0
267	267	148.41316	0.0	0.87380874	2.9483788	148.41316	0.80432403	0.9886145	4.0577445	14.30732	-9.580292	47.775223	0.0	True	0.0
46	46	28.20313	0.0	1.3641241	2.6927898	27.580101	0.77241606	1.120728	3.387526	21.446327	-0.17214966	43.236954	0.0	True	0.0
50	50	40.446274	0.0	0.58640665	2.6457334	41.1448	0.61176735	0.1275139	3.0774612	79.58673	61.847305	35.47885	0.0	True	0.0
71	71	5.307658	0.0	3.3057582	0.8146365	5.3638954	0.73150194	2.628105	3.8312378	-332.9272	-351.15204	36.449707	0.0	True	0.0
72	72	76.2849	0.0	0.9918906	3.666895	67.68578	0.8093154	0.78140885	4.562018	-44.225723	-68.28592	48.12039	0.0	True	0.0
73	73	148.41316	0.0	0.46842453	3.2168694	148.41316	0.7491793	-0.12245087	3.8462808	41.579872	20.675858	41.80803	0.0	True	0.0
74	74	148.41316	0.0	1.6791952	3.4598885	148.41316	0.7742475	0.8218998	4.304415	-89.01035	-111.272156	44.523605	0.0	True	0.0
75	75	12.720599	0.0	-0.10336366	2.606824	12.451673	0.5950213	-0.39050472	3.1665137	103.58817	85.07141	37.033524	0.0	True	0.0
76	76	148.41316	0.0	0.059690963	2.8501964	148.41316	0.75765634	0.30204326	3.3453727	106.32329	83.78655	45.07347	0.0	True	0.0
429	429	35.14736	0.0	1.970397	3.0752778	36.249046	0.7464866	1.6587677	3.8777347	-106.79692	-125.803116	38.01239	0.0	True	0.0
433	433	148.41316	0.0	2.7103598	3.2844024	148.41316	0.78394455	2.5871284	3.622204	-215.69331	-250.07236	68.75809	0.0	True	0.0
470	470	148.41316	0.0	1.0704576	3.320107	148.41316	0.6649165	0.5758884	3.7648172	-5.8038025	-23.164932	34.72226	0.0	True	0.0
494	494	22.940115	0.0	2.189082	3.8624547	25.36335	0.76189727	1.8928396	4.1727796	-222.1519	-256.7138	69.12381	0.0	True	0.0
476	476	148.41316	0.0	2.0349376	3.4318504	148.41316	0.80301815	1.4028035	4.168268	-137.12492	-162.28787	50.325897	0.0	True	0.0
477	477	9.360621	0.0	0.008794868	3.506759	9.852589	0.72572243	-0.41530722	4.119973	-10.9943695	-45.823242	69.657745	0.0	True	0.0
478	478	148.41316	0.0	0.042995393	3.5871143	148.41316	0.68820477	-0.3383523	3.9856505	43.920303	22.69844	42.443726	0.0	True	0.0
480	480	31.400341	0.0	2.2964993	3.4728394	32.534306	0.66025734	1.9135907	3.9963129	-199.46054	-215.48413	32.04718	0.0	True	0.0
66	66	5.620187	0.0	2.6374047	3.60785	5.468976	0.64985543	1.996161	3.8765235	-331.3821	-354.91266	47.061096	0.0	True	0.0
67	67	24.747606	0.0	2.3126292	3.623099	24.150377	0.8196601	1.9510016	4.2552433	-272.47018	-315.98413	87.02789	0.0	True	0.0
481	481	10.527948	0.0	1.0537413	3.8937309	10.632146	0.8159858	1.1223202	4.8751035	-134.11333	-161.45628	54.685913	0.0	True	0.0
42	42	26.243326	0.0	2.5108674	3.1187842	24.929445	0.7298367	2.5243592	3.7540364	-177.80952	-195.44528	35.271515	0.0	True	0.0
43	43	148.41316	0.0	0.2212639	2.8339033	148.41316	0.6716921	0.017596202	3.3962603	102.02026	85.51724	33.006042	0.0	True	0.0
44	44	148.41316	0.0	1.3708383	3.358254	148.41316	0.81000143	0.91217405	4.557192	-114.37445	-145.25485	61.760803	0.0	True	0.0
462	462	148.41316	0.0	1.7919738	3.0226126	148.41316	0.81789345	1.0553861	3.9433482	-63.494644	-89.02412	51.058945	0.0	True	0.0
463	463	135.49892	0.0	0.53483343	3.5549319	112.90505	0.75027615	0.7164832	4.2983747	1.643753	-15.585083	34.457672	0.0	True	0.0
468	468	28.90498	0.0	1.1902167	3.9224432	33.399387	0.6202767	0.52037364	3.8447187	-97.89142	-128.42728	61.071716	0.0	True	0.0
469	469	14.994342	0.0	0.71762675	3.5343542	13.632977	0.74540263	0.2099979	4.350058	-36.261124	-55.875946	39.229645	0.0	True	0.0
31	31	24.265179	0.0	1.7612692	3.7045376	21.79915	0.5297426	1.4939679	3.8245423	-165.47565	-183.0842	35.217102	0.0	True	0.0
34	34	16.899828	0.0	2.5506582	0.4434115	16.684486	0.72872317	1.6186186	3.5768285	-134.70721	-165.89839	62.382355	0.0	True	0.0
487	487	96.536255	0.0	1.273907	3.7663069	148.41316	0.77749974	1.3749325	4.365523	-93.34186	-123.03681	59.389908	0.0	True	0.0
36	36	148.41316	0.0	0.88084805	3.2428808	148.41316	0.8492522	0.619532	4.2395754	13.968605	-11.3383255	50.61386	0.0	True	0.0
37	37	7.4158344	0.0	1.5929023	3.5701478	7.7445655	0.67777944	1.186272	3.756586	-135.87247	-161.94344	52.141937	0.0	True	0.0
38	38	13.041073	0.0	0.20826942	3.180532	13.29197	0.7412482	-0.080769666	3.9693062	27.771942	-2.1158142	59.775513	0.0	True	0.0
486	486	148.41316	0.0	0.29145747	3.4578488	148.41316	0.7624084	0.15354566	4.0223966	35.040718	9.042519	51.9964	0.0	True	0.0
