ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
284	284	12.884586	0.0	3.6664402	4.483118	11.515535	0.6183161	3.6266992	3.313012	-574.52893	-629.4137	109.76953	0.0	True	0.0
278	278	107.28583	0.0	-1.0202788	2.5813398	26.296797	0.57543576	-1.1432287	3.3504791	112.50934	95.199394	34.61989	0.0	True	0.0
276	276	148.41316	0.0	-0.8270471	1.9783394	148.41316	0.6049497	-1.0350047	2.250523	159.70685	144.09355	31.226593	0.0	True	0.0
275	275	148.41316	0.0	-0.9374737	1.9208281	148.41316	0.44095436	-0.95531726	2.0001624	156.34859	140.00356	32.690063	0.0	True	0.0
274	274	33.480812	0.0	1.8955867	0.4740837	31.897726	0.7506941	0.83227634	2.9974866	38.91741	18.450317	40.93419	0.0	True	0.0
273	273	145.40413	0.0	1.8585268	3.0712495	148.41316	0.80822426	1.6840127	3.7472732	-68.70534	-96.007	54.603333	0.0	True	0.0
272	272	21.066212	0.0	-0.27531663	3.7151282	20.954239	0.73074937	0.08166315	3.5085394	14.248795	-38.03721	104.57201	0.0	True	0.0
267	267	148.41316	0.0	1.3524907	3.003382	148.41316	0.7296735	1.8014164	3.458488	-6.5955887	-25.948418	38.705658	0.0	True	0.0
287	287	148.41316	0.0	-0.37599403	2.9756541	148.41316	0.6268817	-0.85523236	3.314183	111.77762	92.76107	38.033096	0.0	True	0.0
286	286	15.472946	0.0	0.55852675	2.6583483	15.846638	0.6720657	0.04002708	3.1548922	56.09658	29.088661	54.01584	0.0	True	0.0
285	285	148.41316	0.0	0.34212232	3.234682	148.41316	0.7906725	0.86112756	3.124299	52.2229	5.1964874	94.052826	0.0	True	0.0
254	254	148.41316	0.0	0.6458681	2.9738495	148.41316	0.7116545	0.44108394	3.2138896	60.83259	33.099884	55.46541	0.0	True	0.0
283	283	148.41316	0.0	2.0402954	3.5210772	148.41316	0.74166805	1.9376487	3.266234	-153.38063	-201.50441	96.24756	0.0	True	0.0
281	281	21.010735	0.0	1.7581595	2.8004074	21.432732	0.7975024	1.245782	3.4029274	-76.005356	-114.08563	76.16055	0.0	True	0.0
279	279	148.41316	0.0	1.1547344	3.2413867	148.41316	0.68057954	0.9932793	3.4043252	-12.40715	-40.878555	56.94281	0.0	True	0.0
238	238	10.102831	0.0	1.6354266	0.7661858	10.465007	0.71214426	0.5425897	2.5087447	56.224895	16.87761	78.69457	0.0	True	0.0
237	237	39.06815	0.0	1.181673	4.0047398	35.50535	0.78852487	0.5656418	4.21055	-103.636566	-149.33968	91.40622	0.0	True	0.0
235	235	11.749327	0.0	2.215139	0.5330774	11.715126	0.6392194	1.4227486	3.2147224	-47.50508	-68.65139	42.292618	0.0	True	0.0
234	234	148.41316	0.0	0.1446903	3.0188708	148.41316	0.77500427	-0.044327997	3.5528693	89.79204	59.51558	60.552917	0.0	True	0.0
233	233	148.41316	0.0	1.551913	2.6273818	148.41316	0.7470005	1.0314102	3.0294046	22.008774	0.39593506	43.225677	0.0	True	0.0
231	231	15.567232	0.0	1.9931109	3.658631	14.199119	0.61528134	1.904527	3.2839882	-170.47243	-213.13562	85.326385	0.0	True	0.0
249	249	148.41316	0.0	0.68418115	3.0209112	148.41316	0.6198396	0.64448756	3.2877223	54.67714	38.990234	31.37381	0.0	True	0.0
357	357	15.326677	0.0	2.5961936	0.7160978	14.999265	0.7133216	1.6967564	3.1936896	-99.264465	-121.74405	44.959167	0.0	True	0.0
355	355	12.706757	0.0	1.7751588	0.5298649	12.486912	0.72646713	0.85021746	3.1933851	-13.6157	-54.865814	82.50023	0.0	True	0.0
354	354	148.41316	0.0	0.96724427	2.6377814	148.41316	0.7498696	1.1308887	3.1805723	58.980095	31.714874	54.53044	0.0	True	0.0
353	353	148.41316	0.0	1.2138814	2.4631276	148.41316	0.77347267	0.6163988	2.9535518	73.76394	49.343113	48.841652	0.0	True	0.0
351	351	19.544785	0.0	1.1015866	0.34787455	19.12438	0.7374817	-1.2939494	3.9752722	-12.557175	-56.309433	87.50452	0.0	True	0.0
350	350	148.41316	0.0	0.18207164	3.9809382	148.41316	0.71253437	-0.4126009	3.654993	-7.020813	-57.28994	100.53825	0.0	True	0.0
349	349	148.41316	0.0	1.6000909	2.6152468	148.41316	0.58646303	1.5358127	2.6676924	15.441223	-9.772354	50.427155	0.0	True	0.0
348	348	148.41316	0.0	3.5723135	2.6564667	148.41316	0.5589788	3.65211	2.9208832	-324.64807	-341.61096	33.92578	0.0	True	0.0
251	251	148.41316	0.0	-2.37672	2.5465703	148.41316	0.53786373	-3.338569	3.3933673	95.71896	80.30118	30.835571	0.0	True	0.0
250	250	148.41316	0.0	0.40967563	2.3213947	148.41316	0.8194895	0.17353824	3.3572047	129.17981	113.76033	30.838959	0.0	True	0.0
229	229	148.41316	0.0	-0.22029413	1.2845185	148.41316	0.71158653	-0.48719585	2.731664	123.42151	104.68516	37.472702	0.0	True	0.0
248	248	148.41316	0.0	2.1958404	2.7783153	148.41316	0.82659197	2.0138397	3.5949867	-101.20113	-128.47745	54.552628	0.0	True	0.0
245	245	15.052453	0.0	1.7020274	0.5953166	15.079748	0.6541693	1.166029	2.7685432	54.805126	39.261078	31.088097	0.0	True	0.0
244	244	10.612511	0.0	-1.353906	3.0779126	10.931759	0.6113718	-1.9367326	3.5340486	101.07419	81.04866	40.051056	0.0	True	0.0
266	266	9.150165	0.0	2.420538	0.94259936	9.412619	0.6791019	1.8647704	2.678466	-73.5231	-94.74072	42.43524	0.0	True	0.0
265	265	148.41316	0.0	-0.57185286	2.3116262	148.41316	0.59177405	-0.6395129	2.619052	133.72061	105.99857	55.444077	0.0	True	0.0
263	263	22.700977	0.0	1.483264	3.2902508	23.32095	0.84031326	1.167185	4.3341107	-70.75313	-95.4274	49.34854	0.0	True	0.0
262	262	148.41316	0.0	0.6659118	2.6875494	148.41316	0.72645736	0.10757	2.8068445	88.86896	52.860542	72.01683	0.0	True	0.0
261	261	21.608257	0.0	1.1089683	3.1316266	21.243425	0.6600373	1.1518941	3.3326044	-26.346893	-55.934853	59.17592	0.0	True	0.0
260	260	148.41316	0.0	1.51493	2.697844	148.41316	0.62789196	1.408065	3.039569	14.63974	-1.802269	32.884018	0.0	True	0.0
203	203	148.41316	0.0	0.3426322	3.2346594	148.41316	0.7267278	-0.18787399	3.5007281	57.00524	27.757736	58.49501	0.0	True	0.0
392	392	148.41316	0.0	1.9349271	2.5385919	148.41316	0.67457867	1.6311778	2.8205547	-8.129326	-30.228104	44.197556	0.0	True	0.0
195	195	148.41316	0.0	0.48991713	3.16915	148.41316	0.71593267	0.4038293	3.567947	49.133087	26.343353	45.579468	0.0	True	0.0
194	194	10.689814	0.0	2.2460394	0.48926005	9.183989	0.66344166	1.157852	3.3202174	-84.55966	-111.487946	53.856567	0.0	True	0.0
193	193	10.572244	0.0	1.6435015	0.97193956	10.6684065	0.728476	0.94964147	3.2679913	27.712532	8.827545	37.769974	0.0	True	0.0
192	192	148.41316	0.0	1.2660553	2.950973	148.41316	0.7182583	1.2106583	3.3300464	7.0415344	-15.059059	44.201187	0.0	True	0.0
191	191	148.41316	0.0	-0.7735109	2.2008212	148.41316	0.6986393	-0.6849421	2.7198539	156.06348	137.03413	38.058685	0.0	True	0.0
188	188	15.572733	0.0	2.2751331	3.0476475	16.550804	0.74516666	2.3473613	3.3447053	-150.9222	-183.10033	64.35626	0.0	True	0.0
187	187	148.41316	0.0	0.09443053	3.6209595	148.41316	0.7803815	-0.5012887	3.9143565	18.95343	-27.464935	92.83673	0.0	True	0.0
208	208	148.41316	0.0	1.8498809	2.8182411	148.41316	0.7093481	2.0518994	3.123384	-49.665718	-76.32254	53.313644	0.0	True	0.0
495	495	148.41316	0.0	-0.26525378	3.0558572	148.41316	0.81836694	-0.42330104	3.4009514	106.1001	68.70486	74.79048	0.0	True	0.0
393	393	53.665123	0.0	1.5952793	0.71827984	76.406166	0.6821193	0.883347	2.360061	91.67289	74.1228	35.100174	0.0	True	0.0
199	199	148.41316	0.0	-0.76166403	2.2650769	148.41316	0.66594064	-0.64037746	2.5309813	150.8616	123.11733	55.48854	0.0	True	0.0
198	198	12.285421	0.0	3.1425064	0.86709	12.958038	0.732246	3.161903	3.2529554	-217.15268	-241.4734	48.64145	0.0	True	0.0
196	196	148.41316	0.0	1.9305819	3.3396752	148.41316	0.7316169	1.2973169	3.7854736	-123.43403	-151.2389	55.609756	0.0	True	0.0
218	218	148.41316	0.0	0.31168038	2.2830358	148.41316	0.6939726	-0.14233805	2.7100284	124.11914	98.2479	51.742477	0.0	True	0.0
217	217	148.41316	0.0	0.6563756	0.5642568	148.41316	0.7240412	-0.60519785	3.0275514	119.70634	95.46852	48.47563	0.0	True	0.0
213	213	148.41316	0.0	-0.53503156	2.903221	148.41316	0.6857713	-0.6273676	3.0932949	117.43108	90.41797	54.02623	0.0	True	0.0
211	211	13.404093	0.0	0.65784806	3.4278255	14.082253	0.72160655	0.29598907	3.437997	-4.0406113	-43.85253	79.62384	0.0	True	0.0
210	210	148.41316	0.0	0.20377646	3.3695579	148.41316	0.6792248	0.23008263	3.3669808	35.92131	-1.9754944	75.79361	0.0	True	0.0
209	209	148.41316	0.0	0.13847004	2.8132322	148.41316	0.70504016	-0.057225026	3.1957653	96.93361	76.76088	40.34546	0.0	True	0.0
385	385	148.41316	0.0	1.7087808	3.1313248	148.41316	0.5659133	1.5542444	3.0239003	-53.29303	-79.04091	51.495758	0.0	True	0.0
378	378	148.41316	0.0	-0.9810426	3.0100193	148.41316	0.73632157	-1.5879835	3.2016456	127.70645	93.403015	68.60687	0.0	True	0.0
377	377	56.34716	0.0	0.96580476	2.6283662	59.43335	0.6912145	0.9778309	3.1506312	55.12673	30.925835	48.401794	0.0	True	0.0
375	375	10.968606	0.0	2.886262	0.7677038	10.710777	0.64942527	1.823974	2.9420981	-147.7463	-164.97061	34.44861	0.0	True	0.0
374	374	21.353205	0.0	0.27521956	2.1778247	22.156294	0.73105633	0.018322077	3.2325242	116.01518	99.53663	32.957108	0.0	True	0.0
373	373	148.41316	0.0	0.8915644	2.6828077	148.41316	0.64386064	1.1483856	2.6453066	59.74459	25.741776	68.00563	0.0	True	0.0
372	372	18.842703	0.0	2.081043	3.1872568	19.366543	0.5509821	1.6642345	3.3017762	-114.733925	-133.95511	38.442368	0.0	True	0.0
369	369	148.41316	0.0	1.101864	3.1485057	148.41316	0.69550896	0.34504706	3.3525825	4.4623566	-25.367783	59.66028	0.0	True	0.0
391	391	41.59863	0.0	0.8536182	2.8219476	43.597282	0.6158093	0.81765145	2.8593752	52.687576	27.631516	50.11212	0.0	True	0.0
389	389	73.34397	0.0	1.6175562	2.814951	71.38341	0.7688715	0.9576768	3.560914	-47.03882	-77.42356	60.769485	0.0	True	0.0
387	387	13.878469	0.0	1.9089953	0.56228006	14.073979	0.707351	0.6072477	3.308821	-23.150566	-54.85411	63.40709	0.0	True	0.0
339	339	10.643471	0.0	2.627766	0.4870821	10.531144	0.7298256	1.4681816	3.0230062	-109.1528	-140.08066	61.855713	0.0	True	0.0
384	384	148.41316	0.0	-0.27863976	3.0805404	148.41316	0.6897083	-0.073750064	3.1896813	90.236885	58.993027	62.487717	0.0	True	0.0
383	383	148.41316	0.0	-0.359113	3.0561273	94.52973	0.7072276	-0.72714186	3.6428735	65.72711	26.47512	78.50398	0.0	True	0.0
381	381	148.41316	0.0	0.9669571	2.604283	148.41316	0.68201476	0.9041516	2.5990674	75.77428	42.714436	66.11968	0.0	True	0.0
380	380	8.243795	0.0	4.2215543	0.5474603	8.323728	0.67685467	3.563377	3.5463214	-534.3487	-562.02313	55.348877	0.0	True	0.0
243	243	98.96518	0.0	1.8897809	0.39786765	63.725536	0.67060524	1.5385576	2.971191	14.304031	-12.622421	53.852905	0.0	True	0.0
241	241	148.41316	0.0	0.5748606	3.0965633	148.41316	0.688589	0.64813036	3.4298568	61.71982	35.752068	51.9355	0.0	True	0.0
399	399	148.41316	0.0	-0.04019276	3.1375284	148.41316	0.70565075	-0.05053219	3.5796695	85.3583	63.66044	43.39572	0.0	True	0.0
398	398	148.41316	0.0	-1.1245493	3.4075713	148.41316	0.61772627	-1.4016747	3.5557687	101.78006	79.77273	44.014664	0.0	True	0.0
394	394	148.41316	0.0	1.6660261	2.7354853	148.41316	0.787154	1.5629876	3.1294556	-3.5263824	-34.87117	62.689575	0.0	True	0.0
478	478	26.368813	0.0	1.634118	0.87691593	26.635393	0.74312997	1.2094288	2.8268535	62.261047	44.794342	34.93341	0.0	True	0.0
35	35	41.000763	0.0	0.3116383	0.8891951	29.508522	0.6849614	-0.44303292	2.9225225	126.45036	104.257095	44.386536	0.0	True	0.0
470	470	148.41316	0.0	0.7162823	2.400108	148.41316	0.74857193	0.52908474	3.232319	88.721436	66.47659	44.489685	0.0	True	0.0
469	469	26.17532	0.0	2.2656903	0.66136974	26.10518	0.7020762	1.8322675	2.8392766	-7.6808014	-25.235916	35.11023	0.0	True	0.0
468	468	7.737988	0.0	1.1221037	0.6526002	8.72508	0.7608377	-0.9297396	3.8997493	25.901295	-2.0290985	55.860786	0.0	True	0.0
467	467	148.41316	0.0	1.5090948	2.8708105	148.41316	0.71573067	1.3118674	3.1498868	-10.258339	-41.675507	62.834335	0.0	True	0.0
466	466	148.41316	0.0	-0.7263703	2.2385938	148.41316	0.70683825	-0.8815831	2.6916797	156.51678	131.82664	49.38028	0.0	True	0.0
465	465	148.41316	0.0	-0.77799636	3.2717445	148.41316	0.7000167	-0.5389449	3.0146825	107.54407	65.679115	83.729904	0.0	True	0.0
48	48	8.18799	0.0	1.0752771	1.0544997	8.222513	0.69743747	0.22004448	2.8841805	74.874214	52.59761	44.553207	0.0	True	0.0
46	46	8.01431	0.0	1.0643994	1.1383684	7.6287413	0.6702864	0.122692026	3.1257706	17.7148	-4.4227524	44.275105	0.0	True	0.0
479	479	148.41316	0.0	1.287057	3.841127	148.41316	0.6785926	1.5432839	3.8050196	-95.06491	-131.84738	73.56494	0.0	True	0.0
38	38	11.146692	0.0	1.7644463	0.4711918	11.265042	0.56076115	0.6374682	2.637431	41.17981	21.141525	40.07657	0.0	True	0.0
477	477	14.4713125	0.0	1.7450581	3.494094	15.636678	0.6572099	1.7109132	3.5032854	-120.534676	-148.33447	55.599594	0.0	True	0.0
476	476	13.64211	0.0	0.40841258	0.88669014	13.497909	0.66246766	-0.5762577	3.441327	95.26611	78.69753	33.13716	0.0	True	0.0
472	472	18.070866	0.0	1.978689	2.9873805	17.66935	0.7026073	2.3195226	3.0182357	-84.12526	-117.8329	67.41528	0.0	True	0.0
75	75	148.41316	0.0	0.6695783	0.7293536	148.41316	0.7262858	-0.34391755	3.063567	119.56749	102.396194	34.34259	0.0	True	0.0
368	368	148.41316	0.0	-0.6658593	2.4222982	148.41316	0.64130235	-0.8226555	3.130424	122.955376	105.784454	34.341843	0.0	True	0.0
367	367	65.61761	0.0	-0.1378	1.128498	31.86396	0.53646886	-0.45091012	2.191776	151.68631	136.1343	31.104034	0.0	True	0.0
366	366	7.686668	0.0	1.612518	3.1115115	6.883883	0.6772285	1.5602819	3.4003034	-89.293625	-119.08836	59.589478	0.0	True	0.0
362	362	148.41316	0.0	0.43204206	1.1904767	117.90187	0.7917046	0.1790794	3.5071037	105.10885	88.23612	33.745453	0.0	True	0.0
360	360	12.58932	0.0	1.4699605	0.6696014	12.904775	0.7089631	0.59850246	2.7038858	64.75192	35.115013	59.27382	0.0	True	0.0
29	29	148.41316	0.0	1.0352867	3.281835	148.41316	0.7757244	0.7930727	3.5010087	-0.20384979	-39.825546	79.24339	0.0	True	0.0
494	494	13.1441765	0.0	0.9929729	0.39440173	13.152365	0.62060404	-0.4855742	3.2830625	70.893036	48.850235	44.0856	0.0	True	0.0
490	490	30.039425	0.0	2.8937194	3.131556	32.717834	0.68812525	3.0791533	3.2187595	-242.70056	-273.55142	61.70172	0.0	True	0.0
488	488	148.41316	0.0	1.6114478	2.881426	148.41316	0.7046943	1.6132576	3.3809505	-21.922241	-41.031975	38.219467	0.0	True	0.0
486	486	20.885302	0.0	3.6735318	0.7712317	21.552557	0.7821948	2.620943	3.605354	-349.67657	-378.8656	58.37805	0.0	True	0.0
485	485	50.456127	0.0	2.5505788	2.6401908	50.399536	0.5591267	2.2967014	2.8139563	-125.96295	-146.18594	40.445984	0.0	True	0.0
482	482	15.514632	0.0	3.5250986	0.7327369	15.2951975	0.73019946	2.8971832	3.3035805	-313.7953	-343.64954	59.708496	0.0	True	0.0
481	481	148.41316	0.0	1.0587281	2.696289	148.41316	0.7632371	0.48111802	3.0628386	54.92064	24.826614	60.18805	0.0	True	0.0
480	480	66.25112	0.0	0.101933695	2.4492106	30.019398	0.7067014	-0.62264824	2.9054813	105.920845	75.382706	61.07628	0.0	True	0.0
