ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
237	237	13.703741	0.0	2.730162	1.0114986	16.280989	0.67536646	2.2345607	2.6329038	-94.84676	-113.90671	38.11989	0.0	True	0.0
211	211	42.88654	0.0	1.6899251	2.3754387	41.916313	0.5969444	1.8691088	2.5198147	21.38134	-0.26153564	43.28575	0.0	True	0.0
209	209	148.41316	0.0	-0.15752392	2.8984811	148.41316	0.71829396	-0.12544419	3.1433172	109.73662	82.51955	54.434143	0.0	True	0.0
208	208	74.694496	0.0	2.5058646	2.8126066	82.84874	0.6759107	2.7492027	3.2711635	-139.0214	-157.0892	36.13562	0.0	True	0.0
207	207	77.35014	0.0	1.2041011	2.3865426	83.93028	0.7549006	0.46754253	3.0116994	60.108154	37.397293	45.421722	0.0	True	0.0
223	223	66.649254	0.0	2.8375452	0.5757686	95.51973	0.66473746	2.4511118	2.8926907	-113.72952	-129.80655	32.154053	0.0	True	0.0
218	218	148.41316	0.0	-0.38475877	1.8952205	148.41316	0.73112106	-0.81922555	2.7730665	149.41754	131.94589	34.9433	0.0	True	0.0
217	217	148.41316	0.0	0.53251654	2.8245726	148.41316	0.7093062	0.5708723	3.2845008	83.06236	65.33476	35.4552	0.0	True	0.0
216	216	148.41316	0.0	0.7998723	2.3857932	148.41316	0.7566899	0.6086379	2.8938155	110.63836	88.22807	44.82057	0.0	True	0.0
212	212	43.45615	0.0	0.9812029	2.4804914	43.855473	0.70198303	0.91937697	3.1300128	60.414368	40.255157	40.31842	0.0	True	0.0
236	236	7.7693806	0.0	2.4056265	3.8709958	7.5828576	0.7281541	2.1625223	3.4498966	-273.43158	-323.44794	100.032715	0.0	True	0.0
232	232	148.41316	0.0	0.9362052	2.4802613	148.41316	0.6650557	0.79749894	2.9802113	85.18271	68.54869	33.268036	0.0	True	0.0
228	228	125.52839	0.0	1.5373698	0.93265367	93.41448	0.79053855	0.86578393	2.872281	58.690098	37.14377	43.09266	0.0	True	0.0
249	249	32.526882	0.0	0.20526394	2.4411547	44.032608	0.6296755	0.059132792	2.8950088	111.90415	96.04466	31.718979	0.0	True	0.0
247	247	148.41316	0.0	1.7731726	3.1188135	148.41316	0.67979914	1.3202833	3.329249	-60.66552	-86.306	51.28096	0.0	True	0.0
244	244	148.41316	0.0	0.9234903	3.121689	148.41316	0.79917765	0.8497307	3.6389277	13.256264	-20.957405	68.42734	0.0	True	0.0
243	243	148.41316	0.0	0.79596484	2.9424267	148.41316	0.58123976	0.9296423	3.1497726	57.441208	40.475334	33.931747	0.0	True	0.0
242	242	34.728527	0.0	3.0809057	2.679336	33.352184	0.51755756	3.1628156	2.787285	-229.27428	-245.92334	33.298126	0.0	True	0.0
271	271	148.41316	0.0	0.9191103	0.5725661	148.41316	0.7370891	-0.19671993	2.889203	113.02861	83.71585	58.62552	0.0	True	0.0
265	265	148.41316	0.0	1.0416851	3.1412966	148.41316	0.7143915	0.2932062	3.3213332	12.534119	-20.88153	66.8313	0.0	True	0.0
263	263	148.41316	0.0	-0.039956987	2.6344256	148.41316	0.482927	0.21219708	2.5453334	122.03581	98.57631	46.919006	0.0	True	0.0
262	262	148.41316	0.0	0.9382135	2.2609441	148.41316	0.5681544	0.9124894	2.5091383	102.36441	86.24345	32.24193	0.0	True	0.0
261	261	148.41316	0.0	0.08264769	2.4224184	148.41316	0.6760982	-0.57240087	2.727922	137.77252	119.909515	35.726013	0.0	True	0.0
281	281	148.41316	0.0	2.4846091	0.41948578	148.41316	0.66919476	1.6208532	3.1403558	-65.75586	-86.896324	42.28093	0.0	True	0.0
280	280	148.41316	0.0	1.6496987	2.52386	148.41316	0.57277405	1.4503454	2.6657636	21.894363	4.836853	34.11502	0.0	True	0.0
278	278	36.534492	0.0	0.47606817	0.8755161	26.176332	0.6744792	-0.7673197	2.9747741	110.6924	85.50392	50.376953	0.0	True	0.0
277	277	148.41316	0.0	1.1222912	2.4517927	148.41316	0.7461867	0.8284162	2.8828213	70.19263	43.809174	52.766907	0.0	True	0.0
239	239	22.070993	0.0	2.6555452	0.66736376	22.128222	0.7733258	2.8057647	3.1765935	-107.136185	-131.43564	48.598907	0.0	True	0.0
290	290	148.41316	0.0	1.4581151	3.0147476	148.41316	0.74560475	1.1434237	3.5414212	-7.8921585	-25.39383	35.00334	0.0	True	0.0
287	287	148.41316	0.0	-0.17804848	1.015613	82.30822	0.75861096	-1.6696956	3.3111851	130.07675	113.72864	32.696228	0.0	True	0.0
286	286	148.41316	0.0	0.87687224	2.536258	148.41316	0.6880886	0.8099785	2.7991645	91.77648	66.726555	50.099854	0.0	True	0.0
