	1
c5171	2
c5004	1
c5215	1
c5183	0
c5184	1
c5058	1
c4920	2
c5214	1
c5141	3
c5142	0
c5391	3
c5392	0
c4997	4
c5259	0
c5260	7
c4989	3
c4990	4
c5255	3
c5256	3
c5246	3
c5122	5
c5024	0
c5385	0
c5333	0
c4965	1
c4978	1
c5397	0
c5106	0
c5230	1
c5130	0
c5063	0
c5408	2
c5140	0
c4958	0
c5124	2
c5043	0
c5524	4
c5532	3
c5483	9
c5484	5
c5434	2
c5472	2
c5436	6
c5515	1
c5529	1
c5419	2
c5533	2
c5534	1
c5485	2
c5461	0
c5462	3
c5542	3
c5482	4
c5431	5
c5429	2
c5430	1
c5479	0
c5478	1
c5442	4
c5494	3
c5443	0
c5526	2
c5495	2
c5496	6
c5422	7
c5503	10
c5425	0
c5528	1
c5536	4
c5463	12
c5464	6
c5438	4
c5505	9
c5242	6
c4996	1
c5164	4
c5192	1
c5317	4
c5318	17
c5012	2
c5371	3
c4971	5
c5249	2
c5250	3
c5028	7
c5153	5
c5154	2
c5008	5
c5337	3
c5066	2
c4929	3
c5162	3
c5181	3
c5182	3
c5195	1
c4909	1
c4910	0
c4940	2
c5311	1
c5041	3
c5308	4
c4956	11
c5174	12
c5078	3
c5072	19
c5274	1
c5118	5
c5233	4
c5234	4
c5401	0
c5169	1
c5053	1
c5026	0
c5376	5
c5232	1
c5316	2
c5396	5
c5313	2
c5314	1
c4911	7
c5040	3
c5189	1
c5009	8
c5321	2
c4983	1
c4984	3
c5207	4
c5208	4
c4921	4
c4922	8
c5103	5
c5104	2
c5299	9
c5300	4
c5330	6
c5343	5
c5346	1
c5051	8
c4936	8
c5285	2
c5017	3
c5296	2
c5080	3
c4969	8
c5002	3
c5327	3
c5083	8
c5084	2
c5131	5
c5132	1
c5144	0
c5357	15
c5358	6
c5127	5
c5128	13
c4985	1
c5325	23
c5055	2
c5303	2
c5383	6
c5384	11
c5151	5
c4923	2
c5264	5
c5157	5
c5365	10
c5238	9
c4917	4
c5206	2
c5168	1
c5109	2
c4944	3
c5281	10
c4902	8
c5176	9
c5251	7
c5148	6
c5197	5
c4898	5
c4906	3
c5269	6
c4946	7
c5399	2
c4961	9
c4974	3
c5220	10
c5353	6
c4991	10
c4976	14
c5267	6
c4947	3
c5406	8
c5222	5
c5247	27
