cell_name	q_mean	q_std	read_count
c4898	0.345717877976515	1.2832463355290993	1
c4902	1.7541785315112712	1.9000050015841687	0
c4906	1.3777953718163924	1.7115873521048464	0
c4909	3.51314327760101	1.1039284063784032	5
c4910	2.6367846186743016	1.2049099612823284	2
c4911	0.0378407325076265	1.3406023365172823	1
c4917	2.076263793499811	1.8718751997979728	0
c4920	0.4775002260009517	1.31686639554109	1
c4921	0.937278955864613	1.1555450426660898	1
c4922	0.9340114495390576	1.144522927407832	1
c4923	3.6866557714279895	1.3181016325302717	4
c4929	3.2450849489074347	1.3146968707841813	4
c4936	2.6696564706517427	1.305030051810686	3
c4940	3.404506944848147	1.360915298871888	4
c4944	2.2688014242983394	1.8448324408753645	0
c4946	2.063803568278032	1.6670389258751186	0
c4947	0.4598502390217018	1.3219543547125108	1
c4956	1.2405918880146682	1.6716366740057054	0
c4958	1.028313543088974	1.3210308656349443	1
c4961	0.3280328500890317	1.472119952341811	1
c4965	2.339831600455464	1.6645334529063631	0
c4969	1.301482216615842	1.84424602683168	0
c4971	1.6859907188424357	1.336892345550395	2
c4974	0.3044210972313248	1.4583339225085252	1
c4976	2.190394096586098	1.6018740615645857	0
c4978	2.3402993191935364	1.6534546110379718	0
c4983	2.734635184602608	1.191443521278846	2
c4984	3.345058359026305	1.1234051891258676	4
c4985	1.398053704424494	1.8307418616534208	0
c4989	1.784937796462168	1.3493764898953111	0
c4990	1.7676820147082044	1.3624828468151942	0
c4991	2.17992067591903	1.6124166845791938	0
c4996	1.0796636224036544	1.4093611062313818	1
c4997	0.5796395732811276	1.4652771022493765	1
c5002	0.541126227160153	1.4794410078308038	1
c5004	0.6998952512307575	1.3269323678133589	1
c5008	0.5726326190299041	1.3046337576008824	1
c5009	5.398090123015692	1.2962359269851502	9
c5012	1.6735458005777282	1.1384191534586086	3
c5017	1.7089942645276657	1.3744716615455543	2
c5024	2.407557867570989	1.6359663387399683	0
c5026	2.015328436623149	1.2245924443561582	3
c5028	1.2068416015849162	1.8373653409925752	0
c5040	1.177130164228049	1.5610367387731772	0
c5041	3.920962560650202	1.3045666535862095	5
c5043	0.184574145959255	1.6075625176891837	0
c5051	1.425783478073161	1.567906586751986	0
c5053	0.9689789238710722	1.4810886645040182	1
c5055	0.5657935970557341	1.4771036868697314	1
c5058	0.5947721830623643	1.496803854431357	0
c5063	2.9465907260823374	1.1868015095700273	4
c5066	1.2765140860487256	1.582966139910712	0
c5072	2.1148211082514656	1.409025316486231	1
c5078	0.8591768634506283	1.4937281282259476	1
c5080	1.6808902951454203	1.3452887247129106	2
c5083	0.017589152064496	1.1535042396113049	1
c5084	0.7601991214267981	1.3123520279730307	0
c5103	2.526161116239988	1.2184841034955582	2
c5104	3.173848388027293	1.1214595342165226	4
c5106	2.1364888081277047	1.341041760724512	2
c5109	2.271449649693993	1.833092550746623	0
c5118	3.184689716128457	1.311611147305899	3
c5122	0.551707655857103	1.499638252307454	1
c5124	2.8889138055560624	1.2498099076837963	4
c5127	0.7712297348193898	1.2615980205618045	0
c5128	0.5881544884492864	1.0242822758171202	2
c5130	0.7676810320021373	1.697286612363021	0
c5131	0.7457398878550907	1.0786592368530898	2
c5132	0.5665943538207319	1.2740389087874684	0
c5140	1.0253221789468696	1.311236550813157	1
c5141	0.038628260722698	1.2512789015840498	0
c5142	1.6289294219692632	1.0138497535730824	3
c5144	0.9921227370867346	1.5213060199353068	0
c5148	0.3139603240298652	1.3427651438296584	1
c5151	4.38629563980124	1.2792173478772686	6
c5153	1.016383054495093	1.0082421377607442	2
c5154	0.2057091278231646	1.2515622449018338	0
c5157	3.4745016665653297	1.1625485264081696	5
c5162	2.80438088512359	1.2537284272084734	3
c5164	1.1625043104152633	1.849160523377439	0
c5168	2.384829423323948	1.6692805803989663	0
c5169	1.231723890364723	1.371394644677027	1
c5171	1.6719331275867095	1.3157136874287585	2
c5174	1.2099980239886532	1.7058152722819184	0
c5176	0.3308325809316496	1.4379541240438096	1
c5181	2.403690971860635	1.1676784653761578	2
c5182	2.747499742176998	1.0859513170733577	3
c5183	1.6127140730970482	1.10751595776378	2
c5184	1.5890137419534065	1.1044371521098428	2
c5189	1.4491589836442915	1.798831966010768	0
c5192	2.3977182903459964	1.3039662007115569	3
c5195	2.355697070278516	1.269112125008026	2
c5197	0.3515823049069173	1.2704056406776714	1
c5206	2.383658608520812	1.6643947445038725	0
c5207	0.9388842021877746	1.1368727851836025	1
c5208	0.9426302017036836	1.1408495163268264	1
c5214	0.6414450516376713	1.4140618395844915	1
c5215	0.6957246073723334	1.3261934022593471	1
c5220	1.5685852469405863	1.846702897142672	0
c5222	2.4013482958632477	1.6486024234031578	0
c5230	0.6932708847275791	1.4470452621547574	1
c5232	1.4351069723153416	1.8419851560888665	0
c5233	4.094721511717369	1.1112793972689343	6
c5234	3.0328129990777097	1.205700766606223	2
c5238	6.222088902776208	1.333929265566559	11
c5242	2.954289637330997	1.2665963000972154	4
c5246	0.9654040399408576	1.1717471717136174	2
c5247	2.414801450382872	1.6468786396988486	0
c5249	0.489539210370997	1.28216541311365	0
c5250	2.309332859993068	1.025504250984416	4
c5251	0.3394353089146447	1.4341180954372006	1
c5255	1.188523295420724	1.282747488603712	0
