	1
c5171	3
c5004	7
c5215	0
c5183	0
c5184	0
c5058	0
c4920	2
c5214	1
c5141	0
c5142	2
c5391	0
c5392	0
c4997	2
c5259	2
c5260	0
c4989	0
c4990	0
c5255	1
c5256	0
c5246	0
c5122	0
c5024	0
c5385	0
c5333	1
c4965	0
c4978	2
c5397	0
c5106	0
c5230	1
c5130	0
c5063	0
c5408	0
c5140	0
c4958	0
c5124	0
c5043	0
c5524	0
c5532	6
c5483	1
c5484	1
c5434	8
c5472	5
c5436	5
c5515	1
c5529	4
c5419	7
c5533	3
c5534	1
c5485	2
c5461	4
c5462	6
c5542	2
c5482	3
c5431	2
c5429	2
c5430	0
c5479	0
c5478	1
c5442	3
c5494	3
c5443	1
c5526	3
c5495	0
c5496	0
c5422	0
c5503	0
c5425	2
c5528	0
c5536	0
c5463	0
c5464	1
c5438	0
c5505	0
c5242	1
c4996	2
c5164	0
c5192	2
c5317	1
c5318	0
c5012	0
c5371	0
c4971	1
c5249	0
c5250	0
c5028	2
c5153	0
c5154	0
c5008	0
c5337	1
c5066	3
c4929	0
c5162	0
c5181	0
c5182	0
c5195	0
c4909	0
c4910	0
c4940	0
c5311	2
c5041	3
c5308	1
c4956	0
c5174	0
c5078	2
c5072	1
c5274	0
c5118	0
c5233	0
c5234	1
c5401	0
c5169	0
c5053	0
c5026	0
c5376	0
c5232	0
c5316	0
c5396	2
c5313	0
c5314	0
c4911	0
c5040	2
c5189	1
c5009	1
c5321	0
c4983	1
c4984	1
c5207	0
c5208	2
c4921	1
c4922	0
c5103	2
c5104	1
c5299	0
c5300	0
c5330	2
c5343	1
c5346	2
c5051	0
c4936	0
c5285	1
c5017	0
c5296	1
c5080	0
c4969	1
c5002	2
c5327	0
c5083	4
c5084	1
c5131	1
c5132	1
c5144	1
c5357	0
c5358	0
c5127	0
c5128	0
c4985	0
c5325	0
c5055	0
c5303	0
c5383	0
c5384	1
c5151	0
c4923	0
c5264	0
c5157	0
c5365	4
c5238	3
c4917	5
c5206	0
c5168	6
c5109	1
c4944	5
c5281	4
c4902	1
c5176	4
c5251	0
c5148	1
c5197	0
c4898	1
c4906	3
c5269	2
c4946	0
c5399	5
c4961	0
c4974	0
c5220	0
c5353	1
c4991	0
c4976	0
c5267	0
c4947	1
c5406	0
c5222	1
c5247	0
