	1
c5171	0
c5004	4
c5215	0
c5183	1
c5184	4
c5058	3
c4920	2
c5214	4
c5141	0
c5142	0
c5391	0
c5392	0
c4997	0
c5259	1
c5260	2
c4989	3
c4990	6
c5255	2
c5256	13
c5246	5
c5122	7
c5024	0
c5385	0
c5333	0
c4965	0
c4978	0
c5397	1
c5106	0
c5230	1
c5130	0
c5063	5
c5408	2
c5140	1
c4958	0
c5124	3
c5043	0
c5524	1
c5532	2
c5483	2
c5484	0
c5434	1
c5472	0
c5436	0
c5515	0
c5529	0
c5419	0
c5533	0
c5534	0
c5485	0
c5461	4
c5462	1
c5542	1
c5482	4
c5431	1
c5429	1
c5430	1
c5479	3
c5478	1
c5442	3
c5494	0
c5443	2
c5526	2
c5495	10
c5496	0
c5422	3
c5503	1
c5425	5
c5528	2
c5536	1
c5463	5
c5464	1
c5438	1
c5505	1
c5242	9
c4996	0
c5164	2
c5192	4
c5317	1
c5318	2
c5012	3
c5371	4
c4971	3
c5249	3
c5250	4
c5028	4
c5153	1
c5154	5
c5008	1
c5337	5
c5066	1
c4929	1
c5162	3
c5181	3
c5182	2
c5195	5
c4909	0
c4910	4
c4940	3
c5311	2
c5041	0
c5308	0
c4956	0
c5174	1
c5078	1
c5072	5
c5274	1
c5118	5
c5233	6
c5234	6
c5401	0
c5169	1
c5053	7
c5026	0
c5376	2
c5232	5
c5316	1
c5396	6
c5313	6
c5314	8
c4911	13
c5040	12
c5189	6
c5009	7
c5321	2
c4983	9
c4984	2
c5207	4
c5208	11
c4921	7
c4922	3
c5103	4
c5104	4
c5299	3
c5300	6
c5330	5
c5343	3
c5346	2
c5051	3
c4936	0
c5285	3
c5017	9
c5296	12
c5080	3
c4969	2
c5002	6
c5327	5
c5083	2
c5084	10
c5131	4
c5132	3
c5144	6
c5357	3
c5358	7
c5127	3
c5128	8
c4985	4
c5325	7
c5055	3
c5303	2
c5383	2
c5384	2
c5151	1
c4923	2
c5264	1
c5157	11
c5365	9
c5238	6
c4917	0
c5206	0
c5168	0
c5109	0
c4944	0
c5281	6
c4902	4
c5176	1
c5251	2
c5148	1
c5197	3
c4898	1
c4906	8
c5269	3
c4946	3
c5399	4
c4961	1
c4974	1
c5220	2
c5353	5
c4991	6
c4976	6
c5267	7
c4947	3
c5406	7
c5222	4
c5247	5
