	1
c5171	2
c5004	3
c5215	1
c5183	0
c5184	1
c5058	1
c4920	0
c5214	1
c5141	1
c5142	1
c5391	1
c5392	1
c4997	0
c5259	0
c5260	0
c4989	0
c4990	0
c5255	0
c5256	0
c5246	1
c5122	3
c5024	2
c5385	2
c5333	3
c4965	0
c4978	5
c5397	2
c5106	0
c5230	5
c5130	3
c5063	2
c5408	1
c5140	0
c4958	0
c5124	2
c5043	0
c5524	0
c5532	1
c5483	3
c5484	1
c5434	0
c5472	0
c5436	2
c5515	2
c5529	8
c5419	5
c5533	0
c5534	2
c5485	1
c5461	3
c5462	1
c5542	1
c5482	2
c5431	2
c5429	1
c5430	1
c5479	0
c5478	0
c5442	6
c5494	1
c5443	1
c5526	0
c5495	0
c5496	1
c5422	2
c5503	2
c5425	2
c5528	2
c5536	1
c5463	0
c5464	1
c5438	0
c5505	1
c5242	0
c4996	1
c5164	0
c5192	3
c5317	0
c5318	2
c5012	4
c5371	0
c4971	3
c5249	4
c5250	0
c5028	0
c5153	0
c5154	0
c5008	1
c5337	0
c5066	3
c4929	3
c5162	1
c5181	3
c5182	3
c5195	1
c4909	2
c4910	3
c4940	1
c5311	0
c5041	2
c5308	2
c4956	1
c5174	0
c5078	2
c5072	2
c5274	1
c5118	2
c5233	0
c5234	1
c5401	6
c5169	4
c5053	0
c5026	7
c5376	4
c5232	0
c5316	6
c5396	2
c5313	2
c5314	0
c4911	2
c5040	1
c5189	1
c5009	3
c5321	1
c4983	0
c4984	0
c5207	1
c5208	1
c4921	0
c4922	3
c5103	1
c5104	1
c5299	1
c5300	2
c5330	0
c5343	0
c5346	2
c5051	0
c4936	1
c5285	1
c5017	1
c5296	4
c5080	0
c4969	2
c5002	0
c5327	3
c5083	3
c5084	0
c5131	2
c5132	0
c5144	0
c5357	2
c5358	2
c5127	1
c5128	1
c4985	1
c5325	1
c5055	2
c5303	1
c5383	1
c5384	2
c5151	0
c4923	2
c5264	2
c5157	1
c5365	4
c5238	0
c4917	2
c5206	5
c5168	1
c5109	0
c4944	0
c5281	0
c4902	6
c5176	6
c5251	0
c5148	1
c5197	0
c4898	2
c4906	5
c5269	1
c4946	0
c5399	0
c4961	1
c4974	0
c5220	0
c5353	1
c4991	0
c4976	4
c5267	0
c4947	0
c5406	0
c5222	3
c5247	2
