	1
c5171	0
c5004	0
c5215	0
c5183	0
c5184	0
c5058	0
c4920	0
c5214	0
c5141	0
c5142	3
c5391	0
c5392	0
c4997	0
c5259	2
c5260	0
c4989	0
c4990	3
c5255	0
c5256	3
c5246	0
c5122	4
c5024	0
c5385	0
c5333	0
c4965	0
c4978	0
c5397	2
c5106	0
c5230	0
c5130	0
c5063	0
c5408	0
c5140	0
c4958	0
c5124	2
c5043	0
c5524	6
c5532	2
c5483	0
c5484	0
c5434	0
c5472	3
c5436	0
c5515	6
c5529	0
c5419	3
c5533	0
c5534	1
c5485	7
c5461	0
c5462	2
c5542	0
c5482	2
c5431	0
c5429	0
c5430	0
c5479	0
c5478	0
c5442	0
c5494	0
c5443	1
c5526	0
c5495	0
c5496	0
c5422	0
c5503	0
c5425	0
c5528	0
c5536	2
c5463	0
c5464	2
c5438	1
c5505	0
c5242	0
c4996	0
c5164	0
c5192	0
c5317	0
c5318	4
c5012	4
c5371	10
c4971	1
c5249	0
c5250	8
c5028	5
c5153	0
c5154	7
c5008	0
c5337	0
c5066	0
c4929	0
c5162	0
c5181	0
c5182	0
c5195	0
c4909	0
c4910	0
c4940	1
c5311	12
c5041	8
c5308	3
c4956	4
c5174	0
c5078	0
c5072	0
c5274	0
c5118	1
c5233	2
c5234	1
c5401	0
c5169	2
c5053	0
c5026	0
c5376	0
c5232	2
c5316	2
c5396	0
c5313	0
c5314	0
c4911	2
c5040	1
c5189	0
c5009	17
c5321	3
c4983	9
c4984	2
c5207	1
c5208	7
c4921	10
c4922	0
c5103	14
c5104	14
c5299	1
c5300	4
c5330	0
c5343	1
c5346	0
c5051	4
c4936	1
c5285	8
c5017	3
c5296	0
c5080	0
c4969	0
c5002	0
c5327	0
c5083	3
c5084	0
c5131	0
c5132	0
c5144	5
c5357	4
c5358	0
c5127	0
c5128	0
c4985	1
c5325	1
c5055	1
c5303	0
c5383	2
c5384	0
c5151	0
c4923	10
c5264	2
c5157	0
c5365	1
c5238	0
c4917	2
c5206	1
c5168	3
c5109	0
c4944	0
c5281	0
c4902	2
c5176	2
c5251	2
c5148	6
c5197	8
c4898	1
c4906	0
c5269	7
c4946	2
c5399	1
c4961	0
c4974	1
c5220	1
c5353	0
c4991	0
c4976	8
c5267	1
c4947	2
c5406	0
c5222	12
c5247	4
