	1
c5171	3
c5004	1
c5215	1
c5183	0
c5184	0
c5058	3
c4920	2
c5214	1
c5141	5
c5142	1
c5391	0
c5392	0
c4997	1
c5259	6
c5260	14
c4989	10
c4990	4
c5255	11
c5256	1
c5246	4
c5122	5
c5024	1
c5385	0
c5333	0
c4965	1
c4978	2
c5397	0
c5106	0
c5230	0
c5130	6
c5063	2
c5408	2
c5140	3
c4958	0
c5124	1
c5043	2
c5524	0
c5532	0
c5483	1
c5484	0
c5434	1
c5472	2
c5436	0
c5515	2
c5529	1
c5419	2
c5533	2
c5534	4
c5485	1
c5461	2
c5462	1
c5542	2
c5482	1
c5431	1
c5429	1
c5430	2
c5479	0
c5478	0
c5442	3
c5494	1
c5443	1
c5526	3
c5495	5
c5496	1
c5422	0
c5503	4
c5425	2
c5528	3
c5536	4
c5463	1
c5464	2
c5438	1
c5505	0
c5242	8
c4996	7
c5164	4
c5192	5
c5317	7
c5318	4
c5012	5
c5371	3
c4971	0
c5249	5
c5250	2
c5028	0
c5153	2
c5154	4
c5008	1
c5337	5
c5066	3
c4929	1
c5162	1
c5181	0
c5182	1
c5195	1
c4909	1
c4910	0
c4940	2
c5311	2
c5041	3
c5308	4
c4956	3
c5174	1
c5078	8
c5072	0
c5274	0
c5118	0
c5233	0
c5234	1
c5401	0
c5169	2
c5053	0
c5026	1
c5376	0
c5232	4
c5316	0
c5396	2
c5313	1
c5314	0
c4911	3
c5040	9
c5189	4
c5009	0
c5321	2
c4983	0
c4984	1
c5207	4
c5208	2
c4921	3
c4922	1
c5103	2
c5104	8
c5299	0
c5300	8
c5330	3
c5343	3
c5346	6
c5051	10
c4936	1
c5285	0
c5017	3
c5296	1
c5080	1
c4969	0
c5002	2
c5327	6
c5083	5
c5084	1
c5131	0
c5132	0
c5144	0
c5357	4
c5358	4
c5127	0
c5128	0
c4985	1
c5325	1
c5055	0
c5303	0
c5383	1
c5384	0
c5151	0
c4923	2
c5264	2
c5157	2
c5365	3
c5238	0
c4917	0
c5206	3
c5168	4
c5109	2
c4944	3
c5281	0
c4902	1
c5176	0
c5251	0
c5148	4
c5197	1
c4898	1
c4906	0
c5269	0
c4946	0
c5399	0
c4961	4
c4974	3
c5220	2
c5353	0
c4991	1
c4976	1
c5267	1
c4947	4
c5406	4
c5222	4
c5247	2
