	1
c5171	2
c5004	0
c5215	0
c5183	0
c5184	0
c5058	0
c4920	0
c5214	0
c5141	0
c5142	0
c5391	0
c5392	0
c4997	0
c5259	4
c5260	3
c4989	3
c4990	1
c5255	8
c5256	5
c5246	1
c5122	5
c5024	0
c5385	0
c5333	0
c4965	0
c4978	6
c5397	3
c5106	0
c5230	0
c5130	1
c5063	0
c5408	1
c5140	1
c4958	0
c5124	0
c5043	0
c5524	2
c5532	3
c5483	1
c5484	1
c5434	0
c5472	1
c5436	2
c5515	1
c5529	0
c5419	6
c5533	5
c5534	3
c5485	2
c5461	3
c5462	3
c5542	2
c5482	2
c5431	0
c5429	2
c5430	0
c5479	2
c5478	6
c5442	1
c5494	2
c5443	8
c5526	4
c5495	3
c5496	4
c5422	1
c5503	0
c5425	1
c5528	8
c5536	2
c5463	7
c5464	4
c5438	2
c5505	0
c5242	0
c4996	1
c5164	0
c5192	3
c5317	0
c5318	0
c5012	0
c5371	0
c4971	0
c5249	0
c5250	0
c5028	1
c5153	0
c5154	0
c5008	0
c5337	0
c5066	1
c4929	5
c5162	2
c5181	2
c5182	7
c5195	0
c4909	2
c4910	2
c4940	2
c5311	3
c5041	0
c5308	1
c4956	0
c5174	1
c5078	2
c5072	3
c5274	2
c5118	8
c5233	6
c5234	10
c5401	0
c5169	1
c5053	0
c5026	1
c5376	1
c5232	0
c5316	3
c5396	3
c5313	0
c5314	0
c4911	1
c5040	0
c5189	1
c5009	3
c5321	2
c4983	1
c4984	2
c5207	2
c5208	0
c4921	1
c4922	1
c5103	1
c5104	1
c5299	0
c5300	3
c5330	0
c5343	0
c5346	2
c5051	2
c4936	1
c5285	0
c5017	4
c5296	1
c5080	3
c4969	0
c5002	1
c5327	1
c5083	1
c5084	2
c5131	1
c5132	2
c5144	0
c5357	1
c5358	0
c5127	1
c5128	0
c4985	0
c5325	0
c5055	0
c5303	1
c5383	0
c5384	0
c5151	0
c4923	0
c5264	0
c5157	0
c5365	1
c5238	1
c4917	2
c5206	2
c5168	4
c5109	1
c4944	3
c5281	2
c4902	1
c5176	1
c5251	4
c5148	0
c5197	2
c4898	6
c4906	1
c5269	0
c4946	2
c5399	6
c4961	4
c4974	0
c5220	0
c5353	0
c4991	0
c4976	2
c5267	0
c4947	0
c5406	4
c5222	0
c5247	0
