	1
c5171	1
c5004	0
c5215	2
c5183	1
c5184	2
c5058	4
c4920	2
c5214	3
c5141	0
c5142	4
c5391	1
c5392	0
c4997	2
c5259	1
c5260	0
c4989	1
c4990	2
c5255	0
c5256	4
c5246	2
c5122	0
c5024	1
c5385	1
c5333	4
c4965	5
c4978	0
c5397	5
c5106	3
c5230	6
c5130	0
c5063	0
c5408	1
c5140	0
c4958	3
c5124	2
c5043	2
c5524	3
c5532	5
c5483	9
c5484	8
c5434	6
c5472	3
c5436	9
c5515	3
c5529	4
c5419	10
c5533	2
c5534	5
c5485	5
c5461	1
c5462	7
c5542	3
c5482	4
c5431	5
c5429	7
c5430	2
c5479	6
c5478	9
c5442	3
c5494	0
c5443	3
c5526	2
c5495	6
c5496	6
c5422	8
c5503	7
c5425	2
c5528	5
c5536	5
c5463	3
c5464	2
c5438	10
c5505	2
c5242	0
c4996	2
c5164	1
c5192	0
c5317	3
c5318	0
c5012	4
c5371	2
c4971	1
c5249	3
c5250	2
c5028	3
c5153	3
c5154	5
c5008	8
c5337	0
c5066	0
c4929	2
c5162	3
c5181	1
c5182	2
c5195	2
c4909	1
c4910	1
c4940	1
c5311	7
c5041	3
c5308	3
c4956	3
c5174	0
c5078	1
c5072	1
c5274	3
c5118	1
c5233	1
c5234	2
c5401	1
c5169	5
c5053	1
c5026	3
c5376	2
c5232	1
c5316	4
c5396	1
c5313	3
c5314	0
c4911	3
c5040	2
c5189	7
c5009	0
c5321	0
c4983	0
c4984	0
c5207	1
c5208	3
c4921	1
c4922	1
c5103	1
c5104	1
c5299	0
c5300	1
c5330	2
c5343	1
c5346	2
c5051	0
c4936	0
c5285	0
c5017	0
c5296	0
c5080	2
c4969	1
c5002	1
c5327	0
c5083	0
c5084	1
c5131	4
c5132	6
c5144	5
c5357	0
c5358	0
c5127	2
c5128	1
c4985	0
c5325	2
c5055	0
c5303	2
c5383	0
c5384	0
c5151	3
c4923	2
c5264	4
c5157	7
c5365	2
c5238	2
c4917	0
c5206	9
c5168	4
c5109	1
c4944	1
c5281	0
c4902	0
c5176	2
c5251	5
c5148	3
c5197	1
c4898	2
c4906	3
c5269	1
c4946	0
c5399	1
c4961	0
c4974	0
c5220	1
c5353	4
c4991	2
c4976	1
c5267	1
c4947	2
c5406	2
c5222	0
c5247	5
