	1
c5171	0
c5004	0
c5215	1
c5183	4
c5184	1
c5058	3
c4920	5
c5214	1
c5141	0
c5142	0
c5391	1
c5392	0
c4997	0
c5259	0
c5260	2
c4989	1
c4990	1
c5255	1
c5256	1
c5246	0
c5122	0
c5024	1
c5385	1
c5333	3
c4965	2
c4978	0
c5397	2
c5106	1
c5230	2
c5130	1
c5063	3
c5408	4
c5140	3
c4958	2
c5124	3
c5043	2
c5524	3
c5532	2
c5483	1
c5484	2
c5434	1
c5472	0
c5436	2
c5515	4
c5529	1
c5419	1
c5533	3
c5534	2
c5485	1
c5461	0
c5462	1
c5542	0
c5482	1
c5431	8
c5429	9
c5430	9
c5479	6
c5478	0
c5442	0
c5494	9
c5443	4
c5526	6
c5495	3
c5496	7
c5422	0
c5503	3
c5425	0
c5528	1
c5536	3
c5463	1
c5464	1
c5438	1
c5505	11
c5242	7
c4996	6
c5164	6
c5192	3
c5317	2
c5318	3
c5012	3
c5371	5
c4971	0
c5249	0
c5250	1
c5028	1
c5153	8
c5154	3
c5008	2
c5337	5
c5066	1
c4929	4
c5162	1
c5181	2
c5182	3
c5195	2
c4909	0
c4910	2
c4940	0
c5311	0
c5041	0
c5308	0
c4956	0
c5174	0
c5078	0
c5072	0
c5274	0
c5118	0
c5233	0
c5234	0
c5401	0
c5169	2
c5053	0
c5026	1
c5376	4
c5232	0
c5316	0
c5396	1
c5313	1
c5314	7
c4911	3
c5040	1
c5189	2
c5009	1
c5321	2
c4983	0
c4984	0
c5207	3
c5208	2
c4921	2
c4922	3
c5103	2
c5104	3
c5299	2
c5300	1
c5330	0
c5343	3
c5346	2
c5051	3
c4936	0
c5285	4
c5017	0
c5296	3
c5080	3
c4969	0
c5002	0
c5327	6
c5083	1
c5084	4
c5131	1
c5132	0
c5144	3
c5357	1
c5358	0
c5127	0
c5128	0
c4985	3
c5325	2
c5055	0
c5303	3
c5383	2
c5384	5
c5151	9
c4923	9
c5264	0
c5157	0
c5365	1
c5238	2
c4917	0
c5206	0
c5168	0
c5109	0
c4944	1
c5281	1
c4902	0
c5176	0
c5251	0
c5148	1
c5197	3
c4898	0
c4906	5
c5269	0
c4946	0
c5399	0
c4961	2
c4974	0
c5220	0
c5353	0
c4991	0
c4976	0
c5267	1
c4947	0
c5406	0
c5222	1
c5247	0
