	1
c5171	0
c5004	2
c5215	1
c5183	2
c5184	8
c5058	1
c4920	5
c5214	3
c5141	0
c5142	2
c5391	2
c5392	0
c4997	1
c5259	7
c5260	2
c4989	1
c4990	2
c5255	7
c5256	3
c5246	6
c5122	2
c5024	1
c5385	0
c5333	1
c4965	0
c4978	3
c5397	3
c5106	13
c5230	4
c5130	8
c5063	4
c5408	3
c5140	3
c4958	0
c5124	0
c5043	2
c5524	5
c5532	4
c5483	4
c5484	2
c5434	0
c5472	3
c5436	0
c5515	2
c5529	0
c5419	2
c5533	1
c5534	7
c5485	1
c5461	0
c5462	1
c5542	1
c5482	7
c5431	4
c5429	1
c5430	1
c5479	3
c5478	6
c5442	3
c5494	4
c5443	3
c5526	5
c5495	3
c5496	5
c5422	2
c5503	2
c5425	4
c5528	2
c5536	9
c5463	7
c5464	4
c5438	1
c5505	1
c5242	1
c4996	7
c5164	0
c5192	1
c5317	7
c5318	3
c5012	7
c5371	2
c4971	1
c5249	1
c5250	1
c5028	0
c5153	0
c5154	0
c5008	0
c5337	0
c5066	3
c4929	4
c5162	1
c5181	0
c5182	3
c5195	5
c4909	2
c4910	0
c4940	0
c5311	0
c5041	3
c5308	1
c4956	5
c5174	6
c5078	3
c5072	1
c5274	0
c5118	0
c5233	0
c5234	0
c5401	0
c5169	1
c5053	1
c5026	1
c5376	2
c5232	0
c5316	1
c5396	2
c5313	10
c5314	3
c4911	0
c5040	0
c5189	0
c5009	0
c5321	0
c4983	0
c4984	0
c5207	0
c5208	0
c4921	1
c4922	0
c5103	2
c5104	0
c5299	1
c5300	0
c5330	1
c5343	0
c5346	0
c5051	0
c4936	2
c5285	2
c5017	4
c5296	1
c5080	2
c4969	6
c5002	3
c5327	2
c5083	2
c5084	2
c5131	0
c5132	0
c5144	0
c5357	0
c5358	0
c5127	0
c5128	1
c4985	0
c5325	1
c5055	0
c5303	2
c5383	0
c5384	0
c5151	1
c4923	0
c5264	0
c5157	0
c5365	0
c5238	1
c4917	6
c5206	0
c5168	1
c5109	1
c4944	0
c5281	1
c4902	3
c5176	0
c5251	2
c5148	1
c5197	4
c4898	1
c4906	10
c5269	10
c4946	2
c5399	0
c4961	0
c4974	11
c5220	2
c5353	0
c4991	0
c4976	0
c5267	0
c4947	1
c5406	1
c5222	0
c5247	1
