	1
c5171	3
c5004	2
c5215	5
c5183	6
c5184	2
c5058	4
c4920	3
c5214	9
c5141	5
c5142	12
c5391	6
c5392	11
c4997	3
c5259	0
c5260	4
c4989	4
c4990	0
c5255	4
c5256	6
c5246	7
c5122	6
c5024	1
c5385	3
c5333	4
c4965	1
c4978	3
c5397	2
c5106	3
c5230	2
c5130	2
c5063	6
c5408	6
c5140	4
c4958	1
c5124	1
c5043	9
c5524	10
c5532	4
c5483	14
c5484	3
c5434	0
c5472	9
c5436	2
c5515	3
c5529	3
c5419	13
c5533	1
c5534	10
c5485	1
c5461	2
c5462	7
c5542	2
c5482	13
c5431	3
c5429	14
c5430	6
c5479	3
c5478	6
c5442	4
c5494	4
c5443	2
c5526	10
c5495	11
c5496	6
c5422	3
c5503	4
c5425	6
c5528	5
c5536	10
c5463	2
c5464	8
c5438	1
c5505	4
c5242	0
c4996	3
c5164	2
c5192	0
c5317	2
c5318	3
c5012	1
c5371	1
c4971	3
c5249	1
c5250	1
c5028	1
c5153	2
c5154	2
c5008	0
c5337	0
c5066	2
c4929	2
c5162	1
c5181	1
c5182	3
c5195	1
c4909	3
c4910	5
c4940	6
c5311	0
c5041	4
c5308	4
c4956	0
c5174	0
c5078	0
c5072	1
c5274	3
c5118	4
c5233	2
c5234	0
c5401	1
c5169	1
c5053	7
c5026	0
c5376	0
c5232	2
c5316	0
c5396	0
c5313	1
c5314	0
c4911	2
c5040	0
c5189	2
c5009	3
c5321	1
c4983	0
c4984	3
c5207	2
c5208	3
c4921	1
c4922	0
c5103	10
c5104	7
c5299	2
c5300	5
c5330	0
c5343	3
c5346	7
c5051	5
c4936	2
c5285	2
c5017	2
c5296	3
c5080	3
c4969	1
c5002	2
c5327	1
c5083	0
c5084	0
c5131	2
c5132	4
c5144	3
c5357	6
c5358	11
c5127	9
c5128	5
c4985	11
c5325	8
c5055	4
c5303	1
c5383	3
c5384	1
c5151	1
c4923	0
c5264	0
c5157	0
c5365	1
c5238	0
c4917	2
c5206	3
c5168	6
c5109	8
c4944	0
c5281	0
c4902	2
c5176	0
c5251	1
c5148	0
c5197	0
c4898	0
c4906	0
c5269	3
c4946	4
c5399	0
c4961	1
c4974	1
c5220	0
c5353	1
c4991	2
c4976	1
c5267	1
c4947	0
c5406	6
c5222	6
c5247	7
