"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"1",-199.305034745155,406.821709701951,0,0.99726,0.331977659485173,0.323757755741724
"2",-159.44140391089,327.09444803342,1.79075716425348,0.290001,0.280028564869512,0.185524908116392
"3",-185.508494282084,379.228628775809,0,0.998962,0.520376238705993,0.422437857762371
"4",-190.439230827173,389.090101865987,0,0.926548,0.453027994156874,0.390712753513909
"5",-208.939807882411,426.091255976463,0,0.782739,0.277520470146715,0.306724916256575
"6",-176.674811481152,361.561263173944,0,1,0.327086226272671,0.253091240006947
"7",-189.511350024965,387.234340261571,0,1,0.994307651111479,0.823829504886176
"8",-211.738878080361,431.689396372363,0,0.712408,0.221585707339904,0.262740506560449
"9",-179.57444397529,367.36052816222,0,0.998011,0.318373405206757,0.254775843838392
"10",-210.243731823776,428.699103859192,2.02641454072597,0.266353,0.358951572587425,0.388177777981952
"11",-200.020115841608,408.251871894857,2.07947348322068,0.261201,0.407603999106028,0.391647507941754
"12",-199.988235006572,408.188110224784,0,0.587069,0.427373750861011,0.408671297556451
"13",-197.886406041325,403.984452294291,0,0.927602,0.713331384386487,0.64871739181225
"14",-163.108005137404,334.427650486449,0,0.999998,0.258150438225513,0.180017935699156
"15",-180.193757580878,368.599155373396,0,0.994289,0.276945167536642,0.227676846692142
"16",-193.246536620541,394.704713452721,0,0.999572,0.474878805053521,0.420473147345808
"17",-193.357164518827,394.925969249295,1.91703781174567,0.277175,0.253883206045733,0.242039532843891
"18",-196.805958090522,401.823556392684,0,0.99415,0.381703003943613,0.357033929738749
"19",-194.975638967198,398.162918146037,0,0.959188,0.411662862503384,0.375053769380006
"20",-202.852119278699,413.915878769038,0.667202199870871,0.417365,0.279303120360693,0.289621693430081
"21",-176.868292876681,361.948225965002,0,0.836698,0.417767728548977,0.315390804316958
"22",-193.645975374141,395.503590959922,0.688221338965775,0.414811,0.211090491169756,0.209859932441045
"23",-188.592062223039,385.395764657719,0,0.999915,0.299517327045269,0.265262351232118
"24",-197.684179856184,403.579999924008,0,0.848104,0.23329309619034,0.236824645874306
"25",-162.61620741461,333.444055040861,0,0.987929,0.135127544891767,0.110345898268556
"26",-187.966658784276,384.144957780193,1.66513554352872,0.303102,0.199934039119138,0.189772854303123
"27",-176.754863214379,361.721366640399,0,0.999989,0.994307470758876,0.722247901438872
"28",-174.509217387088,357.230074985817,0,0.981999,0.210775765768879,0.172115217682456
"29",-174.204600435149,356.620841081938,0,1,0.994307667952618,0.703559757861923
"30",-170.970949385048,350.153538981736,0,0.957182,0.136293559207344,0.120957546786019
