"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"1",-167.877161162366,343.965962536371,2.04184796106586,0.264847,0.299503205504715,0.214253844219004
"2",-167.652283270402,343.516206752444,0,0.875124,0.200638628097763,0.154337318664212
"3",-182.079114051112,372.369868313865,0.730444028901843,0.409696,0.2558538913921,0.217336401520746
"4",-174.16311207614,356.537864363921,0,0.879781,0.246867211950753,0.194529532697124
"5",-179.615693389897,367.443026991435,0.226460237166748,0.471723,0.181832381337367,0.162085069138917
"6",-157.345485124458,322.902610460556,0,0.99963,0.193021209037926,0.134752121383671
"7",-176.860728612552,361.933097436744,1.57930467266453,0.312243,0.233011014600473,0.190888555401158
"8",-171.038077537185,350.287795286009,0,0.848178,0.153158073976145,0.131102225003322
"9",-189.42586762543,387.063375462501,0.820634665111754,0.398836,0.236888198940446,0.220190049463709
"10",-161.50301383029,331.21766787222,0,1,0.365264843093176,0.23855124774739
"11",-182.680742418262,373.573125048165,0,0.965576,0.254920887389569,0.218049663803792
"12",-170.924278509296,350.060197230233,2.01566958025899,0.267404,0.234261857293182,0.18032828973744
"13",-176.073981344856,360.359602901352,0.157417196707058,0.480333,0.205799995492112,0.171699419540164
"14",-171.243638668269,350.698917548177,0,0.996013,0.194846949514797,0.156632266127522
"15",-171.399514092231,351.010668396101,0,0.974541,0.262418788841128,0.198800586030403
"16",-166.964599105813,342.140838423267,0,0.980501,0.17856683424676,0.140362737514664
"17",-177.193359392484,362.598358996607,1.87969639186673,0.280931,0.241174428134532,0.196796716656642
"18",-179.287687856038,366.787015923716,2.0473257651891,0.264315,0.264463981360959,0.217007239604145
"19",-183.450456596894,375.112553405427,0,0.578234,0.281954215071677,0.239001111424487
"20",-144.170754685774,296.553149583188,0,0.808195,0.167473382888489,0.105886598619209
"21",-155.745086160239,319.701812532119,0,0.997489,0.207669718395167,0.140198644854856
"22",-168.936259206624,346.084158624888,0,0.967889,0.121402271269393,0.109857942199401
"23",-166.003276137915,340.218192487471,0,0.972278,0.382819122493891,0.260577780447025
"24",-181.196405922391,370.604452056422,0,0.719865,0.151198809690319,0.144250368834294
"25",-164.689941177805,337.591522567251,0.930402861886705,0.385753,0.160018045483882,0.126636435823511
"26",-162.966360193208,334.144360598057,0,1,0.354312057365181,0.235723335251574
"27",-183.396438076161,375.004516363962,0,0.872817,0.384639421791833,0.313053435850847
"28",-167.575644602611,343.362929416862,0,0.977976,0.341747236889874,0.23944973454217
"29",-181.081226547303,370.374093306246,2.06892323387876,0.26222,0.301149211359123,0.24665664254739
"30",-163.755868422132,335.723377055904,0,0.999956,0.231086162510217,0.165644269685239
"31",-169.296415499649,346.804471210938,2.05561689540298,0.263509,0.146358636892302,0.124755425781489
"32",-172.467913193746,353.147466599132,1.11522212830897,0.3641,0.103995660741075,0.103656095580938
"33",-151.734251428139,311.680143067918,0,0.999807,0.17117172265244,0.116301115997927
"34",-170.174681344197,348.561002900034,0,0.67723,0.149121532143609,0.127512561847695
"35",-167.057626642779,342.326893497198,0,0.593921,0.15535120885397,0.127066327038436
"36",-191.465837518439,391.143315248518,1.71711889061208,0.29764,0.30936072098731,0.280915494467607
"37",-174.789931561248,357.791503334137,1.88888131379321,0.280004,0.136360445680733,0.125857375034189
"38",-156.529849447666,321.271339106973,1.59687607063915,0.31036,0.15136235980062,0.111951171084981
"39",-176.51058304548,361.232806302601,0.937578106221054,0.384903,0.310698600698863,0.241674505288358
"40",-188.885535552337,385.982711316314,2.07779392304116,0.261363,0.128569788204754,0.140048354401167
"41",-178.451258879875,365.11415797139,1.81448424806752,0.287565,0.167252733856652,0.15062681813387
"42",-179.966740631193,368.145121474026,0.380388150507713,0.452594,0.264837699639965,0.218828059512218
"43",-164.365431907954,336.942504027547,0,0.562624,0.180007559254441,0.137418319957503
"44",-156.61933517095,321.450310553541,0,0.898711,0.145244426018075,0.108892645567475
"45",-180.468292638527,369.148225488695,0,0.912422,0.297107029306562,0.242300805085177
"46",-174.508631599077,357.228903409794,0,0.999531,0.273795125288673,0.212650292518505
"47",-160.842999540803,329.897639293247,0,0.983024,0.214287903223888,0.151075629796807
"48",-153.606870565989,315.425381343619,2.01658146339958,0.267314,0.240391070921436,0.154031722205881
"49",-191.664849387729,391.541338987098,0,0.907937,0.182829039309783,0.184262753569483
"50",-158.193441967633,324.598524146906,0,0.99999,0.33854296185018,0.21558812101764
"51",-194.217461088614,396.646562388869,1.74454113917204,0.294782,0.178032675583065,0.185585675594444
"52",-174.583602586135,357.378845383911,0,0.91883,0.270067272407666,0.210393933958754
"53",-165.531772710866,339.275185633373,0,0.707468,0.116611466237371,0.103526847204135
"54",-177.191714164269,362.595068540177,0,0.852745,0.298856836075096,0.23541375915653
"55",-145.605217751635,299.42207571491,0,0.748239,0.29798982716736,0.169563000107792
"56",-189.3913601336,386.99436047884,0,0.955493,0.293418681895906,0.26281442446429
"57",-176.648896511987,361.509433235614,0,0.999983,0.258290027037192,0.207143377657859
"58",-174.608972542629,357.429585296898,0,0.999847,0.285046493233705,0.220380647034665
"59",-183.351959958532,374.915560128704,0,0.726697,0.283463567691429,0.239831275057433
"60",-176.347447908976,360.906536029592,2.05277672991838,0.263785,0.259353950117861,0.207162496835733
"61",-183.727890904389,375.667422020419,0,0.707994,0.356044041338419,0.293241954904827
"62",-167.193817168791,342.599274549222,0,0.99959,0.247510251471714,0.181430486344528
"63",-180.636426364336,369.484492940313,0.733175902328981,0.409366,0.275572003200778,0.227756123266524
"64",-170.051178436926,348.313997085492,0,0.999974,0.387137353318294,0.27443308639402
"65",-164.415205033623,337.042050278887,2.08394411562972,0.26077,0.18084322447052,0.138020686480345
"66",-181.390600458472,370.992841128583,0,0.994322,0.476533342070028,0.372942697205846
"67",-181.109942266402,370.431524744444,0,0.674344,0.195983811381715,0.174165293114834
"68",-184.75433097632,377.720302164281,0.77195562785505,0.404686,0.116097333664451,0.125731242656202
"69",-168.052094322865,344.315828857371,0.60681708257232,0.424724,0.17267698817757,0.138505327919532
"70",-167.921941710614,344.055523632867,1.71957772718116,0.297383,0.214353133839015,0.162933629706182
"71",-172.795722379673,353.803084970986,0.641130575141915,0.420538,0.195768771815214,0.159728921161419
"72",-188.912275790152,386.036191791945,0,0.911766,0.288988460376486,0.25817555743205
"73",-178.527967685688,365.267575583015,1.52442579740529,0.318166,0.179312688112486,0.15862986494759
"74",-178.996689582378,366.205019376396,0,0.625863,0.270391173777869,0.220395605369327
"75",-152.227999483996,312.667639179632,0,0.999995,0.269248649780397,0.16666908274017
"76",-184.182714359814,376.577068931268,0,0.847037,0.367074197861186,0.302707457037541
"77",-185.836708784166,379.885057779973,0,0.997751,0.23828812758389,0.213206602733013
"78",-137.918500181499,284.048640574638,1.60338887293273,0.309663,0.415206604631529,0.209951920866067
"79",-196.107328645054,400.426297501749,2.02040365329145,0.26694,0.288221110019507,0.277419561895418
"80",-160.02464145805,328.260923127741,1.36060338965586,0.336194,0.184723084812147,0.134011634090249
"81",-178.563978220522,365.339596652684,2.08474813219698,0.260692,0.367465099804329,0.285931036978098
"82",-174.480994472998,357.173629157637,1.33987242120105,0.338511,0.208598000595094,0.17065999187832
"83",-175.884589431616,359.980819074873,0,0.673581,0.178995011907125,0.154172667506043
"84",-171.60122999852,351.41410020868,0,0.849447,0.250750015199198,0.191885785236533
"85",-174.266458422771,356.744557057182,0,0.625222,0.176981731616893,0.150337690971366
"86",-165.677372720521,339.566385652682,0,0.600904,0.306697674972332,0.213756908965849
"87",-192.000181222542,392.212002656725,0,0.593476,0.185451974643082,0.186894932353003
"88",-176.060549239711,360.332738691061,0,0.999843,0.478062716633166,0.35406112556236
"89",-174.744548996691,357.700738205022,0,0.663093,0.593744773641191,0.428432104524491
"90",-172.407094738033,353.025829687706,0,0.648118,0.391442662223124,0.283996964972423
"91",-166.402916173333,341.017472558307,0,0.602671,0.220495524102166,0.163990759939433
"92",-172.988791952774,354.189224117188,0.50332259428302,0.437415,0.333533247408721,0.24785989670165
"93",-181.771684008574,371.755008228787,1.17097826712529,0.357671,0.255009636891574,0.216072003069842
"94",-171.593882093917,351.399404399475,2.04859579803463,0.264191,0.22699636124898,0.177081243500238
"95",-161.073455077515,330.35855036667,0,0.998924,0.19349841517699,0.140296629997784
"96",-172.879172170488,353.969984552616,1.79254877312553,0.289817,0.370514992375716,0.271649767125645
"97",-165.738264455017,339.688169121674,0,0.898685,0.852524314871989,0.554131435898947
"98",-163.105489821894,334.422619855428,0.660325893756635,0.418201,0.206085601082317,0.150352741899056
"99",-180.196630552691,368.604901317022,2.0769075552119,0.261448,0.469204367348275,0.363156497469483
"100",-186.491753757323,381.195147726286,1.47930526142193,0.32308,0.177896282627268,0.171163366152345
"101",-166.068413786626,340.348467784892,0,0.998875,0.199201436995372,0.151201088825471
"102",-177.036696702842,362.285033617323,0,0.999999,0.994307517008394,0.724380378327657
"103",-184.982532279153,378.176704769946,1.24167510242637,0.349591,0.315837187263224,0.267473913048257
"104",-172.956327361199,354.124294934038,1.18407960318615,0.356167,0.279981780127283,0.213277272051805
"105",-164.622313558335,337.45626732831,0.447846101897426,0.444252,0.447477281958173,0.296050169763994
"106",-165.723509165142,339.658658541924,1.07691429531911,0.368547,0.720098015385649,0.469924394500473
"107",-188.458144311136,385.127928833913,0,0.605957,0.272390748524646,0.244485669775342
"108",-161.421907299755,331.05545481115,0,0.999917,0.994306151919281,0.616531310570536
"109",-175.101126674394,358.413893560428,0.144159010862666,0.481988,0.144885990435365,0.131539329599909
"110",-179.80238521299,367.816410637619,0,0.971149,0.544131213840774,0.415438005306204
"111",-176.235007578819,360.681655369277,2.06311850586064,0.262782,0.265990391377564,0.211329007442971
"112",-182.459257950518,373.130156112677,0,0.684954,0.15317952903477,0.147476715588074
"113",-163.59026216204,335.39216453572,0,0.989189,0.150107446597912,0.119745710731056
"114",-175.652989869099,359.517619949838,0,0.991965,0.99430520908532,0.714121145343596
"115",-183.909796663056,376.031233537752,0,0.800913,0.213299549466644,0.19137873742934
"116",-156.46524828886,321.142136789361,1.84365037283783,0.284586,0.139109630903824,0.105590634019308
"117",-178.73008065414,365.671801519921,0.614834975344422,0.423745,0.261294489103642,0.213646243576759
"118",-168.648955585572,345.509551382784,2.07419958615924,0.26171,0.339454008419938,0.240700054938797
"119",-174.765046886449,357.741733984538,0,0.98411,0.21924159271712,0.177963130472938
"120",-189.824109685982,387.859859583604,0,0.982615,0.5068604467727,0.430969771443153
"121",-158.127411113587,324.466462438814,0,0.828651,0.530242385368203,0.32424996751296
"122",-153.931962375257,316.075564962155,0,0.957639,0.251236432200122,0.160209207903227
"123",-161.868340073816,331.948320359272,0,0.996739,0.546902576645628,0.346972674972034
"124",-173.107055645642,354.425751502925,0.73995217473788,0.408547,0.193514365573736,0.158840728750154
