ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
266	266	148.41316	1.3071878	4.1502028	101.19243	5.032412	7.4204	1.0510347	116.47628	99.29346	34.365646	0.0	True	0.0
392	392	5.39376	1.1508636	3.6902592	14.006846	5.1216893	8.031171	1.0582815	79.12334	62.296318	33.654037	0.0	True	0.0
252	252	25.667894	0.76284426	4.6684976	68.566574	4.610399	8.18074	0.7712997	93.938484	76.18911	35.49875	0.0	True	0.0
248	248	138.88002	1.0725135	3.9346364	58.81938	9.429662	8.486928	1.0344726	150.10452	126.84951	46.510025	0.0	True	0.0
247	247	55.890324	0.17082652	4.0503817	49.127888	5.281002	7.286343	0.13154943	160.3162	142.45403	35.724335	0.0	True	0.0
257	257	92.80879	-0.06818882	4.506758	31.041183	7.3546576	8.824308	-0.0025858867	161.9924	144.32625	35.332306	0.0	True	0.0
256	256	63.62355	0.26126367	4.2112327	111.873276	6.5781593	8.088775	0.48782194	152.63057	132.97281	39.31552	0.0	True	0.0
254	254	110.68042	0.26431593	4.0277834	42.43008	8.171391	8.5073395	0.7844893	144.21457	128.21461	31.999908	0.0	True	0.0
253	253	77.61268	0.8702874	3.7456162	79.34021	21.005465	12.4554825	0.93243855	161.68503	136.91702	49.53601	0.0	True	0.0
269	269	148.41316	1.1305196	3.426297	81.885666	5.821292	6.7192674	1.0616672	139.7543	123.015335	33.477936	0.0	True	0.0
268	268	14.171362	0.49754906	5.0605717	23.584288	5.6540723	9.772817	0.2822748	102.08289	84.848206	34.469376	0.0	True	0.0
393	393	143.50127	1.4227525	3.9339159	115.53696	4.9018664	7.2229486	1.5072716	65.01697	47.805344	34.42325	0.0	True	0.0
265	265	9.870611	1.0451137	3.8525624	14.312978	9.890097	9.795579	1.0842205	108.41571	89.17967	38.472076	0.0	True	0.0
264	264	148.41316	0.8015416	3.9507337	67.96732	5.3082795	7.105532	0.9053373	126.25588	110.317215	31.877335	0.0	True	0.0
263	263	51.527885	1.1932427	3.9179041	97.308426	5.768205	7.5426006	1.0132701	126.610985	110.73864	31.74469	0.0	True	0.0
