ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
219	219	45.482136	0.023426933	3.9407907	13.639931	11.533282	10.280734	0.14300282	159.68236	142.11414	35.136444	0.0	True	0.0
285	285	9.811299	0.67358303	4.51197	19.174917	5.991999	8.958925	1.0494463	65.18359	49.496964	31.37326	0.0	True	0.0
284	284	13.579652	0.46063274	3.6386287	22.786707	5.0245576	7.115606	0.61736894	133.04434	117.038124	32.012436	0.0	True	0.0
283	283	22.721228	0.9776023	3.5390613	38.73789	14.890652	10.331045	1.1856788	140.38922	114.37718	52.02408	0.0	True	0.0
210	210	148.41316	0.6281814	3.6878102	148.41316	5.7336726	6.978659	0.8368858	150.67822	133.55591	34.24463	0.0	True	0.0
399	399	14.116915	1.8185368	4.470632	39.083027	5.5533886	9.363196	1.9452046	-59.01052	-78.172005	38.322968	0.0	True	0.0
397	397	148.41316	2.347671	3.9030826	148.41316	6.0940027	7.5790305	2.4152248	-18.508364	-33.876038	30.735348	0.0	True	0.0
390	390	10.708511	1.5791149	3.7192702	2.2318554	34.543797	8.916587	1.908792	71.90252	48.609848	46.585342	0.0	True	0.0
222	222	148.41316	2.111787	4.07095	148.41316	5.3230095	7.241801	2.2003536	2.1086006	-14.779697	33.776596	0.0	True	0.0
220	220	148.41316	1.3209164	3.3819869	148.41316	8.283483	7.1349115	1.4540249	122.92583	101.49544	42.86078	0.0	True	0.0
286	286	120.44435	0.97103894	3.8697317	35.9299	9.160229	8.798948	1.1607047	125.45936	107.88461	35.14949	0.0	True	0.0
218	218	34.409	1.9126157	3.9511147	91.16277	5.089357	7.7640963	1.972112	9.408102	-8.701874	36.21995	0.0	True	0.0
217	217	148.41316	1.3544651	3.3629243	109.92849	8.96537	7.286177	1.4840571	128.44731	105.6322	45.63022	0.0	True	0.0
213	213	21.091164	-0.35560185	4.040237	40.68081	5.159739	7.4408607	-0.34604052	165.47061	147.89687	35.14749	0.0	True	0.0
211	211	148.41316	1.1014426	3.4502723	30.74774	15.951239	10.178854	1.1851592	142.67703	123.67171	38.01065	0.0	True	0.0
234	234	33.46608	0.51977104	4.3754387	110.370056	5.2375345	8.364195	0.8654405	103.344505	86.231476	34.22606	0.0	True	0.0
233	233	105.93817	0.8299668	3.9672818	148.41316	6.0855136	8.319231	0.94632965	123.55893	105.46744	36.182983	0.0	True	0.0
227	227	44.190994	0.1644943	3.399894	99.04095	11.567495	8.396393	0.43170092	189.1679	163.56097	51.213837	0.0	True	0.0
223	223	127.87543	0.99458444	3.550489	25.21094	16.93112	9.726959	1.016293	163.97914	142.94711	42.064056	0.0	True	0.0
259	259	43.99026	0.7042141	3.975065	143.05171	4.4519405	6.9779015	0.6557596	134.36594	118.97878	30.774307	0.0	True	0.0
256	256	18.49742	0.9401999	3.9474645	41.057957	5.6896315	7.8829327	1.2518547	93.869354	76.43925	34.860214	0.0	True	0.0
254	254	75.153336	0.3431974	3.3106825	18.867344	22.585823	9.642693	0.53954375	207.92911	173.19916	69.4599	0.0	True	0.0
