ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
487	487	9.658149	2.3109963	3.7008135	9.18889	6.0042086	7.741006	2.209343	-35.941006	-51.38511	30.888206	0.0	True	0.0
47	47	46.61666	0.22137015	3.8981962	9.791953	18.75443	10.507327	0.32011476	186.0793	160.87225	50.414093	0.0	True	0.0
43	43	148.41316	-1.2779881	4.4361286	93.63064	7.902099	9.707266	-1.1543645	162.26894	144.09044	36.356995	0.0	True	0.0
37	37	148.41316	1.08887	4.2464385	148.41316	4.962636	7.5017653	1.1259645	100.65345	84.76094	31.785019	0.0	True	0.0
54	54	13.003657	1.2945313	4.1469784	26.291536	4.907729	7.97418	1.4031558	62.58682	47.14061	30.892418	0.0	True	0.0
59	59	42.276512	2.9551153	4.7505784	38.914627	5.1592517	8.899124	2.6574237	-141.04314	-157.08638	32.086487	0.0	True	0.0
52	52	100.21735	-2.8589747	5.1810775	50.742813	6.061089	11.08701	-3.0084445	107.914795	89.79654	36.23651	0.0	True	0.0
53	53	7.587337	0.1770156	3.4792428	34.21549	6.7445893	8.313262	0.24161683	151.4611	135.15482	32.61258	0.0	True	0.0
63	63	17.993826	0.28819615	4.3717794	29.590832	6.066097	8.706768	0.5573469	134.04166	116.37805	35.32721	0.0	True	0.0
400	400	29.084494	1.164673	4.4470725	115.16024	5.770846	8.693895	1.1806593	82.829155	64.7588	36.140717	0.0	True	0.0
413	413	16.509426	3.3519337	4.252542	9.906463	10.585497	9.510411	3.6127307	-271.18936	-294.49686	46.61499	0.0	True	0.0
429	429	148.41316	-1.7593262	3.8812366	75.07675	11.782167	10.026145	-1.5755335	157.44379	138.3683	38.15097	0.0	True	0.0
390	390	7.7366595	1.5209721	3.7813623	7.2177906	6.0900044	7.960706	1.0968422	79.96609	63.721786	32.4886	0.0	True	0.0
328	328	10.207563	0.496713	4.505248	8.87947	5.4381175	8.196685	0.58488923	98.50551	81.46946	34.072098	0.0	True	0.0
