ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
494	494	56.353336	-0.4617904	4.851535	61.024254	5.4072323	8.819611	-0.24702251	148.56468	131.77567	33.578033	0.0	True	0.0
40	40	43.280754	1.4393219	3.7761445	148.41316	6.6089664	8.08546	1.5412003	91.52367	72.30163	38.444077	0.0	True	0.0
6	6	6.4643145	-0.14319554	4.171509	3.0751953	14.143485	10.357177	-0.08344376	149.80408	134.1329	31.342346	0.0	True	0.0
5	5	66.57915	-0.015810058	3.7507493	101.95954	15.8070545	10.747239	0.033628624	188.40166	166.02739	44.748535	0.0	True	0.0
57	57	148.41316	0.50015134	3.3556643	94.301216	25.130732	11.418628	0.58291876	192.68443	167.5901	50.18866	0.0	True	0.0
56	56	13.499084	0.26131853	4.576041	13.13624	5.5135274	8.714531	0.46222803	95.721924	77.81193	35.819992	0.0	True	0.0
431	431	107.88096	0.2693215	3.7816763	114.58275	6.5114117	7.804076	0.5307722	164.33797	147.15117	34.373596	0.0	True	0.0
435	435	9.159602	0.5950602	3.8689847	14.445698	6.802712	8.267245	0.51493305	135.97165	118.25081	35.44168	0.0	True	0.0
427	427	148.41316	-0.7937403	4.376296	148.41316	4.5313196	8.098622	-0.8538038	143.7344	127.577354	32.314102	0.0	True	0.0
429	429	141.9724	0.83971936	4.12629	71.85455	6.209789	8.007587	1.1001973	111.67139	95.39671	32.549347	0.0	True	0.0
425	425	24.785906	1.1752944	4.3847795	44.554337	5.3408666	8.354222	1.2377058	71.380974	55.86458	31.032791	0.0	True	0.0
65	65	22.009422	1.6266823	3.7774537	27.85586	6.8015738	7.9807167	1.9057634	32.526855	14.227394	36.598923	0.0	True	0.0
63	63	148.41316	1.397874	4.211051	137.57755	5.6432896	8.204363	1.578704	37.79995	20.524841	34.550217	0.0	True	0.0
62	62	18.838732	0.9776579	3.447662	2.1209521	55.97303	9.799295	1.3165631	148.81058	123.89985	49.821457	0.0	True	0.0
60	60	21.354483	1.9259887	4.373033	35.37767	9.310639	9.977376	1.9496653	33.5798	10.066544	47.026512	0.0	True	0.0
59	59	8.971749	0.44298843	3.755173	10.161983	6.955195	8.586917	0.6612974	113.651535	96.14726	35.008545	0.0	True	0.0
433	433	11.977105	0.9953708	4.098176	11.146639	6.403886	8.413171	1.1882453	61.71488	42.867554	37.694656	0.0	True	0.0
423	423	148.41316	-2.2679887	4.411142	148.41316	4.651521	8.566017	-2.275789	128.89806	113.36841	31.059296	0.0	True	0.0
419	419	148.41316	0.6110676	4.0767016	111.26975	7.858454	8.777685	0.43643048	162.00412	143.236	37.536255	0.0	True	0.0
73	73	25.021027	2.1173089	4.599487	56.669964	8.64823	11.381661	2.2347214	-48.725246	-64.96011	32.469734	0.0	True	0.0
84	84	121.90467	-0.6633577	4.268308	148.41316	5.1635385	7.973042	-0.51352084	160.59325	142.98062	35.22525	0.0	True	0.0
81	81	71.977936	0.2555907	3.4224062	49.523308	9.319481	7.389007	0.4269742	186.18536	163.38168	45.60736	0.0	True	0.0
416	416	14.14286	2.2943668	3.995827	35.704357	5.7608194	8.14655	2.1925151	-28.32038	-44.633575	32.626392	0.0	True	0.0
410	410	66.340614	-0.036684792	4.309358	62.125355	5.7621007	8.1158495	0.20170268	144.85089	129.44731	30.80716	0.0	True	0.0
402	402	3.6782718	-2.0060327	4.3015614	1.1638917	40.45696	17.680386	-1.5999117	141.4769	118.00443	46.94493	0.0	True	0.0
405	405	13.261667	-0.08934063	4.4041777	33.75838	6.7637305	9.420423	-0.3246069	157.03136	139.76195	34.53882	0.0	True	0.0
406	406	148.41316	-1.0855088	3.972305	42.39117	16.57555	11.1400585	-1.0533543	176.42622	152.97775	46.896942	0.0	True	0.0
407	407	98.295364	1.479369	3.5710688	148.41316	8.766738	8.501724	1.5546744	107.8652	90.773575	34.183243	0.0	True	0.0
398	398	148.41316	0.58970976	3.372751	148.41316	5.225425	6.6288857	0.72962934	161.30217	145.66545	31.273438	0.0	True	0.0
392	392	26.777695	2.1486132	4.078708	27.446665	5.2430954	7.637687	1.8350661	26.647352	10.818676	31.657352	0.0	True	0.0
447	447	20.848509	1.4489467	4.7787204	32.20326	8.654571	10.353901	1.9244182	-6.1551743	-28.355698	44.401047	0.0	True	0.0
445	445	7.1277266	2.8904524	4.653469	7.895988	7.5504413	10.163521	2.802693	-190.36418	-209.44034	38.152313	0.0	True	0.0
379	379	11.108873	0.756775	3.8203666	5.887259	9.309947	8.92275	0.39342406	147.92761	130.92099	34.013245	0.0	True	0.0
380	380	148.41316	-0.025262987	3.660655	148.41316	5.1712704	7.0908456	-0.10784075	167.34792	151.72534	31.245148	0.0	True	0.0
386	386	9.4426365	0.4568491	4.4567723	25.642046	9.401941	10.380125	0.2945979	143.60748	120.21301	46.78894	0.0	True	0.0
385	385	141.32857	0.33533064	3.2562459	148.41316	5.5407667	6.3215823	0.48566338	177.34622	160.81282	33.066803	0.0	True	0.0
389	389	29.874958	-0.2619362	4.88926	80.27368	5.8903294	9.3823595	0.20919967	127.10274	110.72212	32.76123	0.0	True	0.0
390	390	37.5882	0.854498	4.914521	148.41316	5.0784335	9.020253	0.8312342	88.67522	71.3433	34.663834	0.0	True	0.0
154	154	122.13065	-1.2315681	3.6986518	15.244323	15.156208	10.807826	-0.90073156	174.54329	153.3299	42.42679	0.0	True	0.0
138	138	27.336115	1.8989537	3.7772884	22.733835	5.867309	7.0394583	2.0763535	21.601871	4.653076	33.89759	0.0	True	0.0
342	342	50.953148	-1.3933729	4.621984	118.753456	4.318798	8.327663	-1.4699812	133.25223	117.629684	31.245087	0.0	True	0.0
351	351	148.41316	-1.2973017	4.3565764	141.26025	12.092177	9.779517	-0.7241995	183.76276	161.80737	43.910767	0.0	True	0.0
353	353	19.045	-0.27729988	3.818007	57.754375	91.27217	27.09878	-0.10954307	184.61156	161.91605	45.39102	0.0	True	0.0
359	359	148.41316	-1.7564154	3.7511437	148.41316	14.935781	9.825176	-1.5433928	162.3859	138.6761	47.419586	0.0	True	0.0
337	337	65.65974	1.5137022	4.789703	17.915276	6.7727633	9.442941	1.1198065	71.46013	55.880325	31.159607	0.0	True	0.0
167	167	10.999271	2.199945	4.467189	19.71527	6.3851857	9.483941	2.3528328	-98.313774	-115.058716	33.489883	0.0	True	0.0
134	134	6.206541	-0.27699518	3.8773599	1.7682394	19.344503	9.792103	0.16467093	144.301	126.096405	36.40918	0.0	True	0.0
376	376	11.592335	3.9172673	3.9431944	2.7664642	68.375145	7.878108	4.216013	-395.24588	-422.79968	55.107605	0.0	True	0.0
127	127	137.20686	-0.9773357	3.8191974	79.485954	8.6928835	8.803402	-0.65954804	172.50827	155.4968	34.02295	0.0	True	0.0
126	126	148.41316	-1.9923775	4.3512125	78.0944	7.373769	8.8344965	-1.5983788	151.70122	132.77379	37.85486	0.0	True	0.0
133	133	58.57585	1.8226168	4.6480994	140.0279	7.0483756	9.225466	1.8307217	15.585114	-3.5891266	38.34848	0.0	True	0.0
377	377	142.75844	1.3965569	3.681026	69.90196	9.419543	8.318162	1.4804645	110.57289	93.66315	33.81949	0.0	True	0.0
362	362	121.948456	-3.4158778	4.5304513	1.0800805	50.248837	16.034733	-1.9858751	134.20744	106.87401	54.66687	0.0	True	0.0
360	360	125.50972	-0.47229442	4.2794805	135.34917	9.524421	9.488538	-0.098596856	179.85692	154.10889	51.496063	0.0	True	0.0
135	135	148.41316	-0.7388385	5.0021806	132.22226	7.661952	9.910067	-0.42893735	163.52026	143.16866	40.703217	0.0	True	0.0
