ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
4	4	148.41316	-0.50986904	3.326933	74.94423	8.396455	7.3103456	-0.35703978	189.55418	170.51137	38.085632	0.0	True	0.0
3	3	148.41316	3.683797	4.2353716	147.19467	4.834091	7.7983475	3.8644783	-364.58972	-381.6412	34.102966	0.0	True	0.0
452	452	137.91495	-2.0534613	3.4407983	1.7086318	69.750595	12.820787	-1.2541902	156.22577	129.41963	53.612274	0.0	True	0.0
453	453	148.41316	0.74465895	3.7707233	148.41316	5.6082478	7.145038	0.806989	139.08224	122.45358	33.257324	0.0	True	0.0
331	331	109.936356	0.2697761	3.526601	101.61494	4.911497	6.377918	0.50689024	153.6291	137.7365	31.785217	0.0	True	0.0
325	325	148.41316	-0.061507516	4.0921483	77.46228	4.9725266	7.2158484	0.08366479	147.69202	131.41946	32.545105	0.0	True	0.0
89	89	136.30898	-0.8737886	3.934867	148.41316	7.315496	8.201622	-0.918381	168.72958	151.86235	33.734467	0.0	True	0.0
80	80	148.41316	-0.3281275	3.709842	111.44073	12.731449	9.162688	0.07627513	195.2204	170.12776	50.185272	0.0	True	0.0
335	335	148.41316	-2.295226	3.9639363	112.69878	8.018884	7.6413984	-1.7311368	157.12398	137.41069	39.426575	0.0	True	0.0
233	233	129.27475	-3.5004454	4.412044	104.188545	6.095837	9.473452	-2.8478582	125.86236	110.13969	31.445343	0.0	True	0.0
274	274	148.41316	1.9811159	3.7840374	148.41316	6.934416	7.764727	2.0808074	34.64864	16.858147	35.580986	0.0	True	0.0
249	249	121.6327	-2.3808942	3.4266064	36.482086	19.556513	8.720963	-1.9329169	138.86995	111.4167	54.906494	0.0	True	0.0
300	300	44.642082	-0.7155152	4.2676435	148.41316	7.2047873	8.680909	-0.12936735	165.2795	147.75928	35.040436	0.0	True	0.0
312	312	148.41316	-0.69994175	3.6475449	98.35079	9.397658	8.073333	-0.43489885	189.11415	166.65582	44.916656	0.0	True	0.0
372	372	25.9472	-0.96810794	3.909755	3.302656	30.207937	15.921652	-1.0087969	157.96591	141.73772	32.45639	0.0	True	0.0
362	362	148.41316	-1.145027	3.446287	148.41316	7.6316023	6.691299	-0.7410543	188.07811	170.35304	35.450134	0.0	True	0.0
