ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
205	205	148.33138	0.9771812	3.5058637	148.41316	5.646307	6.662431	1.302518	119.624405	103.16591	32.916992	0.0	True	0.0
343	343	148.41316	-0.33036038	3.4817612	148.41316	7.2313466	7.259956	-0.14010563	186.30347	169.82874	32.949463	0.0	True	0.0
342	342	148.41316	-0.0854589	3.0696561	148.41316	6.2992334	6.013177	-0.21435186	191.98114	175.91725	32.127777	0.0	True	0.0
243	243	146.55804	1.150944	3.2149374	134.61035	4.6396546	5.886935	1.1220552	133.88493	118.27411	31.22165	0.0	True	0.0
250	250	148.41316	1.2128605	2.9028676	85.98863	21.288376	8.721597	1.2283301	167.8059	148.60391	38.40396	0.0	True	0.0
249	249	148.41316	0.9766442	3.3090162	148.41316	14.41077	8.529534	1.1916374	156.76451	136.60187	40.325287	0.0	True	0.0
199	199	148.41316	-1.0004861	3.875532	148.41316	8.801569	8.48432	-0.7248128	185.6719	164.04681	43.250183	0.0	True	0.0
198	198	60.674213	0.9829248	3.3437285	121.5517	7.8448625	7.77562	0.7222388	157.1867	137.51979	39.33383	0.0	True	0.0
208	208	146.89542	1.9243714	2.9532328	92.3947	8.506018	6.286562	2.104579	62.10745	43.804028	36.606842	0.0	True	0.0
344	344	94.03866	0.9525493	3.280543	93.69031	12.2416115	8.318151	0.8866076	173.68591	150.51805	46.335724	0.0	True	0.0
204	204	94.62493	1.477086	3.706361	148.41316	6.3566713	7.474772	1.7529033	54.53937	37.83653	33.405685	0.0	True	0.0
216	216	148.41316	1.6950164	3.184953	76.70192	7.5677333	6.4050612	1.9858994	78.61337	59.004944	39.216858	0.0	True	0.0
214	214	148.41316	1.1214262	3.5320404	148.41316	5.256339	6.38497	1.2119393	133.7806	118.19079	31.179611	0.0	True	0.0
212	212	136.03891	0.48026294	3.0945566	125.129364	6.9228535	6.7792683	0.44078827	178.64877	160.68835	35.920837	0.0	True	0.0
221	221	148.41316	0.84653825	3.7385213	148.41316	6.710214	7.519682	0.6331919	162.10019	143.35492	37.49054	0.0	True	0.0
220	220	148.41316	1.2822329	3.180022	144.91982	6.247032	6.4303446	0.8940834	164.34506	147.00272	34.684692	0.0	True	0.0
219	219	108.72776	1.4619291	3.3328876	40.149475	10.778635	8.033074	1.3296303	132.35686	112.87262	38.968475	0.0	True	0.0
218	218	148.41316	1.2771411	3.4336698	148.41316	12.22465	7.949878	1.3724295	148.74727	126.88577	43.722992	0.0	True	0.0
331	331	148.41316	1.8902255	3.2523158	148.41316	9.421386	7.487414	1.9945836	62.269886	40.828255	42.883263	0.0	True	0.0
333	333	85.15652	-0.2681312	3.4232666	148.41316	6.3868036	6.962329	-0.16452302	180.01772	163.75145	32.53253	0.0	True	0.0
322	322	148.41316	1.2902454	3.9861002	123.316895	5.0088115	6.897827	1.2920896	103.33693	87.53564	31.602585	0.0	True	0.0
377	377	148.41316	0.87441295	3.4918063	145.40677	9.185804	7.639077	1.113429	157.76003	138.4776	38.56485	0.0	True	0.0
380	380	138.846	0.46168584	3.4917443	115.38874	7.721098	7.8089356	0.5609201	167.45009	148.81888	37.26242	0.0	True	0.0
382	382	148.41316	-0.48356056	3.2016096	71.79222	9.0140705	6.9630775	-0.14457715	194.77911	176.43906	36.680115	0.0	True	0.0
383	383	148.41316	1.5937005	3.3083591	148.41316	4.460506	5.987915	1.4695367	101.75725	85.67244	32.169617	0.0	True	0.0
369	369	53.502197	0.5932634	3.6845117	67.589645	5.875185	7.362983	0.7465255	139.06308	122.32617	33.473816	0.0	True	0.0
370	370	58.51678	1.2134254	3.281869	40.932762	6.8708773	6.850678	0.97609216	151.44606	131.55219	39.78775	0.0	True	0.0
371	371	148.41316	1.3677037	3.6211667	148.41316	5.9732075	7.166873	1.7417766	75.59301	57.75541	35.6752	0.0	True	0.0
372	372	113.15654	1.0027752	3.6128342	148.41316	6.7553096	7.3398414	1.0341854	143.90115	126.21788	35.366547	0.0	True	0.0
245	245	148.41316	1.2975026	3.148436	148.41316	6.677279	6.3572493	1.2184455	145.09299	126.68753	36.810913	0.0	True	0.0
247	247	148.41316	1.5221076	3.2456095	148.41316	5.747092	6.21548	1.387402	124.569115	108.96341	31.21141	0.0	True	0.0
248	248	39.70482	-0.15366583	3.2542403	16.101273	12.051216	9.14453	-0.08618816	184.34448	163.3066	42.075775	0.0	True	0.0
233	233	46.559124	1.1301779	3.446528	36.27763	8.349807	7.6540504	0.9719214	148.31082	128.33679	39.94806	0.0	True	0.0
359	359	148.41316	0.4230242	3.4500096	148.41316	15.448309	9.266388	0.3191605	197.50551	173.27475	48.461517	0.0	True	0.0
185	185	59.097507	0.737367	4.309408	63.634743	8.791426	9.30929	0.7034574	146.37857	127.3728	38.011536	0.0	True	0.0
186	186	53.979305	1.8219974	3.281025	3.294286	64.750984	7.88601	2.5814397	-1.2244415	-18.482391	34.5159	0.0	True	0.0
190	190	148.41316	0.62869066	3.786825	148.41316	9.798324	8.493737	0.80823386	169.8048	149.7203	40.168976	0.0	True	0.0
191	191	148.41316	-0.40686184	3.7148597	148.41316	6.3635545	7.4614635	-0.28879172	177.09439	158.56464	37.05951	0.0	True	0.0
177	177	86.16845	1.267373	3.851191	53.423897	7.582129	7.766981	1.1414337	131.56456	109.34677	44.435577	0.0	True	0.0
180	180	148.41316	0.073275335	3.1034367	41.381184	22.767185	9.636913	0.26882234	201.00526	178.97469	44.061157	0.0	True	0.0
373	373	140.99954	0.63840604	3.1863618	148.41316	9.197419	7.0302677	0.6192316	188.13203	169.41257	37.438934	0.0	True	0.0
374	374	148.41316	0.7958441	3.482636	148.41316	5.5570188	6.5297713	0.7827944	163.94655	147.76715	32.358795	0.0	True	0.0
376	376	148.41316	-0.701939	3.2363465	60.787502	14.250989	8.75	-0.24428749	192.16515	171.72844	40.873413	0.0	True	0.0
361	361	148.41316	1.3910545	3.1583734	80.264496	6.2203074	6.1501756	1.104377	153.11845	137.00438	32.22815	0.0	True	0.0
363	363	131.40285	1.1175984	3.9349115	148.41316	7.155804	7.962263	1.3502057	111.22882	92.33583	37.78598	0.0	True	0.0
364	364	148.41316	1.206497	3.4474397	44.170174	11.846326	8.208724	1.0497603	165.22891	141.48514	47.48755	0.0	True	0.0
353	353	139.76134	1.0221852	3.1860778	148.41316	6.5665007	6.3472376	0.8089517	169.86005	151.33014	37.059814	0.0	True	0.0
355	355	148.41316	0.350773	3.6788359	89.54519	6.983443	7.5936413	0.06783681	173.54587	156.09012	34.9115	0.0	True	0.0
356	356	148.41316	0.25859076	2.7933002	61.172047	11.051355	6.8244705	0.3544115	199.15433	178.34258	41.623505	0.0	True	0.0
234	234	148.41316	0.88753057	3.4484792	148.41316	7.7350802	7.431081	1.0472543	151.09634	132.88101	36.430664	0.0	True	0.0
360	360	148.41316	0.10402185	3.4355254	141.99121	8.762485	7.740703	-0.0021143542	186.10191	169.87886	32.446106	0.0	True	0.0
410	410	148.41316	0.4391298	3.4917555	148.41316	5.9734206	6.65348	0.4926838	169.56023	154.06305	30.994354	0.0	True	0.0
411	411	148.41316	0.8756992	2.765015	112.393585	4.6070523	5.010638	0.8426376	164.12714	148.5221	31.210083	0.0	True	0.0
412	412	148.41316	1.1134312	3.060614	148.41316	5.5784917	6.0627656	1.0630381	156.09442	140.13573	31.917389	0.0	True	0.0
413	413	103.16234	-0.45361945	4.254535	148.41316	5.877607	7.7956357	-0.17981267	171.23938	155.20184	32.075073	0.0	True	0.0
