ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
427	427	27.354166	-2.4054716	4.546908	1.420696	31.544584	15.342084	-2.12456	133.0466	106.49211	53.10898	0.0	True	0.0
450	450	148.41316	0.31844038	4.0207725	148.41316	4.8876185	6.800168	0.21595478	167.09251	151.50406	31.17691	0.0	True	0.0
70	70	148.41316	-1.5767728	4.059323	148.41316	6.069381	7.6675963	-1.2601801	166.243	150.16669	32.15262	0.0	True	0.0
338	338	148.41316	0.26067474	3.6975641	148.41316	6.420676	7.0365367	0.3827055	177.69948	161.66972	32.05951	0.0	True	0.0
84	84	95.94165	-3.3922553	4.5874705	1.0455583	34.367786	12.348719	-2.4928641	114.9376	83.816444	62.24231	0.0	True	0.0
85	85	148.41316	-2.6582851	3.9500313	77.74692	21.41352	11.166178	-1.9225012	151.45349	122.81267	57.281647	0.0	True	0.0
89	89	128.22371	-3.394187	4.470726	60.69531	9.053505	10.500971	-2.9004579	126.81096	107.30247	39.016983	0.0	True	0.0
359	359	148.41316	-0.49961597	4.336668	148.41316	5.4220414	8.034002	-0.7347186	165.18486	149.33498	31.699768	0.0	True	0.0
329	329	148.41316	-2.7546616	4.6396284	148.41316	8.042086	9.976151	-2.1027253	151.11955	132.04163	38.155853	0.0	True	0.0
349	349	148.41316	0.4022729	4.011891	148.41316	5.587953	7.497954	0.6395938	142.54883	126.87195	31.35376	0.0	True	0.0
336	336	33.245056	-0.6376751	3.7588766	50.564693	9.854137	8.745745	-0.5517579	185.25075	162.89502	44.711456	0.0	True	0.0
118	118	148.41316	-0.020407502	3.6239977	148.41316	5.3906155	6.7736726	0.16156276	170.96259	155.10179	31.721588	0.0	True	0.0
112	112	148.41316	-0.5082913	3.139631	38.06231	11.013589	7.551579	-0.36580884	192.30132	172.6197	39.36322	0.0	True	0.0
315	315	148.41316	-1.6985887	4.5580955	148.41316	4.8191576	8.882554	-1.6733638	146.46396	130.71796	31.492004	0.0	True	0.0
311	311	93.679	-0.09922199	3.7211165	147.30794	5.468362	6.892659	0.28227863	168.98607	153.44496	31.082214	0.0	True	0.0
305	305	148.41316	-1.02921	3.289653	148.41316	8.033487	6.8990364	-0.64880955	185.98138	169.2695	33.423767	0.0	True	0.0
153	153	142.44675	-0.94227755	4.511191	148.41316	4.8043036	8.311762	-1.1269102	143.68484	128.23831	30.893066	0.0	True	0.0
140	140	148.41316	0.4251188	3.2546165	111.10259	10.141725	7.7853565	0.39740336	189.89502	169.65443	40.48117	0.0	True	0.0
282	282	148.41316	-1.21782	4.245695	4.185223	20.388145	13.102472	-0.89896756	163.19879	143.68245	39.032684	0.0	True	0.0
174	174	148.41316	2.8829768	2.9897544	20.417536	31.642801	9.829034	2.8806105	-47.6336	-66.92529	38.58339	0.0	True	0.0
186	186	148.41316	0.1370348	3.2994924	87.939766	10.996025	7.675285	0.47374168	193.60332	172.50972	42.187195	0.0	True	0.0
171	171	148.41316	-0.33579654	3.1152835	139.00378	9.661619	7.9173636	-0.012640653	190.89478	174.89207	32.0054	0.0	True	0.0
458	458	148.41316	0.36034745	3.3802652	148.41316	6.0136776	6.4161086	0.676606	169.4192	153.08286	32.6727	0.0	True	0.0
