# logfile for VINE (version 0.3.4), Mon Apr 20 23:53:01 2026
# Host: bam07 [Linux, release 4.18.0-553.51.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --migration 3724_NT_All_statelabels.csv --primary T1 \
#   --mean 3724_NT_All_vine_mean.nwk --nsamples 100 -j 16 \
#   3724_NT_All_character_matrix_representative.tsv --logfile \
#   3724_NT_All_vine.log --labeled-trees 3724_NT_All_vine_states.nex 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	mig_ll	sigma.0	nu	lead_t	mig[0]	mig[1]	mig[2]	mig[3]	mig[4]	mig[5]	mig[6]	mig[7]	mig[8]	mig[9]	
1	-24529.698295	-25309.219810	668.576017	0.000000	0.000000	110.945497	0.000000	-4.660558	0.415000	0.035000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
2	-21400.752850	-22176.673826	667.316983	0.000000	0.000000	108.603993	0.000000	-4.616662	0.429630	0.020000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
3	-21029.157404	-21801.956037	666.230813	0.000000	0.000000	106.567820	0.000000	-4.586287	0.443593	0.005001	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
4	-20754.778968	-21525.478794	665.529662	0.000000	0.000000	105.170164	0.000000	-4.549446	0.456217	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
5	-20455.612573	-21223.759743	664.659857	0.000000	0.000000	103.487312	0.000000	-4.509316	0.467075	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
6	-20441.961593	-21207.374647	663.743412	0.000000	0.000000	101.669641	0.000000	-4.467168	0.474887	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
7	-20224.015422	-20986.631152	662.837797	0.000000	0.000000	99.777934	0.000000	-4.423870	0.478796	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
8	-20244.966391	-21004.745251	661.925745	0.000000	0.000000	97.853115	0.000000	-4.379334	0.478627	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
9	-20049.936146	-20806.827432	660.998463	0.000000	0.000000	95.892822	0.000000	-4.333875	0.475203	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
10	-20110.638692	-20864.612883	660.061833	0.000000	0.000000	93.912358	0.000000	-4.288229	0.469147	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
