ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
0	Lgals1	2.4202394	2.9184911	221.79845	83.2736	2.27389	3.3206816	211.77899	60.73483657836914	118.2599105834961	-213527.66	-213635.61	215.90625	0.0	0.0	True
1	Actb	1.8681443	7.1353035	190.53152	55.940502	0.9765928	5.975461	72.550514	56.972408294677734	73.07844543457031	-118388.92	-118956.78	1135.7188	0.0	0.0	True
3	Eef1a1	3.8236003	3.6480546	200.37213	139.88182	4.067145	6.430102	181.32732	125.49420166015625	158.40237426757812	-379003.97	-379341.16	674.375	0.0	0.0	True
4	Spp1	0.2146028	2.4623144	140.5516	41.925102	0.23596889	4.5423555	134.65883	93.5606460571289	-9.196550369262695	-42008.9	-42134.152	250.50781	0.0	0.0	True
7	H19	4.878402	1.4801803	81.343834	-1.4584366	4.0636077	7.3641267	136.49039	-30.254201889038086	41.14556121826172	-80281.91	-80426.56	289.3125	0.0	0.0	True
8	Apod	0.06424573	4.144753	103.648926	3.208949	0.07968231	6.7314224	96.94787	28.92475700378418	-23.448862075805664	-3757.174	-3814.2441	114.14014	0.0	0.0	True
11	Ccl5	0.19667575	2.516724	134.3491	11.915299	0.19211406	8.204231	183.55606	-40.43965530395508	73.34001922607422	-27390.154	-27551.969	323.6289	0.0	0.0	True
12	Ptn	0.6969418	0.35905582	8.126831	1.5985047	0.7018395	7.2900743	12.21377	-3.109935760498047	11.5206880569458	-8855.027	-9007.566	305.07812	0.0	0.0	True
13	Malat1	3.4042199	2.5464985	356.8688	235.34288	3.485626	4.5937166	452.7663	263.8880310058594	188.26963806152344	-684219.06	-684278.56	119.0	0.0	0.0	True
14	Rplp0	3.697458	2.6563826	206.15536	136.58557	3.7277496	2.9069135	182.0247	115.59111022949219	179.5258026123047	-375460.6	-375606.2	291.1875	0.0	0.0	True
15	Igfbp3	0.6245429	0.9465252	6.6095066	-0.07761452	0.36506158	5.9122415	4.5816255	3.0607497692108154	-4.011884689331055	-723.4647	-820.14685	193.36426	0.0	0.0	True
17	Ctsc	2.387161	1.3526763	5.249539	-1.8583239	2.693858	9.949051	10.090063	0.0004703914455603808	-5.156426906585693	467.8916	380.80768	174.16785	0.0	0.0	True
18	Gpx3	0.30713895	0.78815764	6.194566	5.6727004	0.3594829	10.776693	7.5161667	12.021570205688477	-1.0367085933685303	-7203.4414	-7332.419	257.95508	0.0	0.0	True
19	Rpl32	4.39512	4.4950595	229.93228	144.1318	4.576889	4.5968504	219.81007	141.1463623046875	147.55674743652344	-392733.16	-392846.97	227.625	0.0	0.0	True
20	Mgst1	2.581108	0.9097884	6.6232557	-3.3955226	4.3978953	1.2317841	6.135965	-0.3448989689350128	-14.641350746154785	221.58545	162.12665	118.9176	0.0	0.0	True
22	Cxcl14	0.5836917	1.1181653	8.478684	-2.6994522	0.25380826	7.558921	6.760783	2.3427815437316895	-5.900036811828613	-483.9068	-580.9562	194.09875	0.0	0.0	True
23	Kctd11	1.2518456	1.4802597	5.204341	-1.6029818	0.42990968	9.244549	3.465602	1.1930385828018188	-2.5973331928253174	367.17303	294.03973	146.2666	0.0	0.0	True
24	Ap3s1	15.617723	1.3051912	2.0159838	1.6429608	5.778502	7.8439817	0.79594755	2.5842652320861816	0.4138246178627014	901.8542	811.9877	179.73303	0.0	0.0	True
26	Cpe	12.497423	1.3747884	2.6357594	-0.09394223	5.2140913	9.660392	4.1533556	-0.848963737487793	1.5004674196243286	956.2842	884.29865	143.97107	0.0	0.0	True
27	Plat	0.9408284	1.2069025	3.7543168	1.8605162	0.64979744	8.131806	2.9144456	4.218178749084473	0.18253843486309052	-395.70074	-457.1759	122.95032	0.0	0.0	True
28	Ubb	24.833935	1.4052652	22.712996	36.762928	14.750519	4.1199775	24.3775	37.7862434387207	29.521520614624023	-92018.336	-92083.984	131.29688	0.0	0.0	True
30	C4b	0.799276	2.4137082	5.400452	-2.6987157	0.412975	8.11518	5.5208955	-0.6518452167510986	-3.5329999923706055	390.4682	352.2456	76.44519	0.0	0.0	True
31	Rpl41	54.869373	2.3800778	37.40573	55.447525	73.517044	3.7801406	43.808453	51.14453887939453	60.514808654785156	-209762.05	-209799.5	74.90625	0.0	0.0	True
32	Ier3	0.92968357	3.3473172	6.7188816	7.4312267	1.0593008	9.760095	7.6356425	11.26913070678711	4.388429164886475	-9894.793	-9958.155	126.72461	0.0	0.0	True
33	Npm1	4.8354754	1.6501436	10.923871	18.95996	4.4022293	6.6014247	12.129682	14.668062210083008	25.109046936035156	-70822.62	-70883.984	122.734375	0.0	0.0	True
