ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Lgals1	h0	shared	2.4202394	2.9184911	221.79845	83.2736
0	Lgals1	h1	T1	2.27389	3.3206816	211.77899	60.73483657836914
0	Lgals1	h1	Met	2.27389	3.3206816	211.77899	118.2599105834961
1	Actb	h0	shared	1.8681443	7.1353035	190.53152	55.940502
1	Actb	h1	T1	0.9765928	5.975461	72.550514	56.972408294677734
1	Actb	h1	Met	0.9765928	5.975461	72.550514	73.07844543457031
2	Rps8	h0	shared	4.0408125	3.3041294	167.79883	143.7817
2	Rps8	h1	T1	4.081279	5.5023766	195.67029	129.53660583496094
2	Rps8	h1	Met	4.081279	5.5023766	195.67029	165.04847717285156
3	Eef1a1	h0	shared	3.8236003	3.6480546	200.37213	139.88182
3	Eef1a1	h1	T1	4.067145	6.430102	181.32732	125.49420166015625
3	Eef1a1	h1	Met	4.067145	6.430102	181.32732	158.40237426757812
4	Spp1	h0	shared	0.2146028	2.4623144	140.5516	41.925102
4	Spp1	h1	T1	0.23596889	4.5423555	134.65883	93.5606460571289
4	Spp1	h1	Met	0.23596889	4.5423555	134.65883	-9.196550369262695
5	Fth1	h0	shared	15.0107975	6.8209715	109.906586	49.6023
5	Fth1	h1	T1	16.367964	7.3345265	107.49351	52.3879280090332
5	Fth1	h1	Met	16.367964	7.3345265	107.49351	46.02178955078125
6	Mt1	h0	shared	0.8220667	6.287031	11.007321	10.91687
6	Mt1	h1	T1	0.8361877	5.8414493	9.675095	13.428107261657715
6	Mt1	h1	Met	0.8361877	5.8414493	9.675095	9.141179084777832
7	H19	h0	shared	4.878402	1.4801803	81.343834	-1.4584366
7	H19	h1	T1	4.0636077	7.3641267	136.49039	-30.254201889038086
7	H19	h1	Met	4.0636077	7.3641267	136.49039	41.14556121826172
8	Apod	h0	shared	0.06424573	4.144753	103.648926	3.208949
8	Apod	h1	T1	0.07968231	6.7314224	96.94787	28.92475700378418
8	Apod	h1	Met	0.07968231	6.7314224	96.94787	-23.448862075805664
9	Junb	h0	shared	9.851914	3.914133	49.915947	27.740961
9	Junb	h1	T1	10.324099	3.3690436	45.838284	29.513689041137695
9	Junb	h1	Met	10.324099	3.3690436	45.838284	24.214841842651367
10	Sftpc	h0	shared	2.830081	6.3992496	1.9440366	-2.2044113
10	Sftpc	h1	T1	6.34997	6.457622	2.412081	-2.481954336166382
10	Sftpc	h1	Met	6.34997	6.457622	2.412081	-2.1778724193573
11	Ccl5	h0	shared	0.19667575	2.516724	134.3491	11.915299
11	Ccl5	h1	T1	0.19211406	8.204231	183.55606	-40.43965530395508
11	Ccl5	h1	Met	0.19211406	8.204231	183.55606	73.34001922607422
12	Ptn	h0	shared	0.6969418	0.35905582	8.126831	1.5985047
12	Ptn	h1	T1	0.7018395	7.2900743	12.21377	-3.109935760498047
12	Ptn	h1	Met	0.7018395	7.2900743	12.21377	11.5206880569458
13	Malat1	h0	shared	3.4042199	2.5464985	356.8688	235.34288
13	Malat1	h1	T1	3.485626	4.5937166	452.7663	263.8880310058594
13	Malat1	h1	Met	3.485626	4.5937166	452.7663	188.26963806152344
14	Rplp0	h0	shared	3.697458	2.6563826	206.15536	136.58557
14	Rplp0	h1	T1	3.7277496	2.9069135	182.0247	115.59111022949219
14	Rplp0	h1	Met	3.7277496	2.9069135	182.0247	179.5258026123047
15	Igfbp3	h0	shared	0.6245429	0.9465252	6.6095066	-0.07761452
15	Igfbp3	h1	T1	0.36506158	5.9122415	4.5816255	3.0607497692108154
15	Igfbp3	h1	Met	0.36506158	5.9122415	4.5816255	-4.011884689331055
16	Clu	h0	shared	0.46697786	6.1831207	4.696435	1.0727111
16	Clu	h1	T1	0.5169327	6.5448103	5.3199973	0.128788560628891
16	Clu	h1	Met	0.5169327	6.5448103	5.3199973	1.5119518041610718
17	Ctsc	h0	shared	2.387161	1.3526763	5.249539	-1.8583239
17	Ctsc	h1	T1	2.693858	9.949051	10.090063	0.0004703914455603808
17	Ctsc	h1	Met	2.693858	9.949051	10.090063	-5.156426906585693
18	Gpx3	h0	shared	0.30713895	0.78815764	6.194566	5.6727004
18	Gpx3	h1	T1	0.3594829	10.776693	7.5161667	12.021570205688477
18	Gpx3	h1	Met	0.3594829	10.776693	7.5161667	-1.0367085933685303
19	Rpl32	h0	shared	4.39512	4.4950595	229.93228	144.1318
19	Rpl32	h1	T1	4.576889	4.5968504	219.81007	141.1463623046875
19	Rpl32	h1	Met	4.576889	4.5968504	219.81007	147.55674743652344
20	Mgst1	h0	shared	2.581108	0.9097884	6.6232557	-3.3955226
20	Mgst1	h1	T1	4.3978953	1.2317841	6.135965	-0.3448989689350128
20	Mgst1	h1	Met	4.3978953	1.2317841	6.135965	-14.641350746154785
21	Tmsb4x	h0	shared	0.8539054	6.338961	13.243058	13.752785
21	Tmsb4x	h1	T1	0.85968906	6.633633	12.43166	11.686450958251953
21	Tmsb4x	h1	Met	0.85968906	6.633633	12.43166	14.249801635742188
22	Cxcl14	h0	shared	0.5836917	1.1181653	8.478684	-2.6994522
22	Cxcl14	h1	T1	0.25380826	7.558921	6.760783	2.3427815437316895
22	Cxcl14	h1	Met	0.25380826	7.558921	6.760783	-5.900036811828613
23	Kctd11	h0	shared	1.2518456	1.4802597	5.204341	-1.6029818
23	Kctd11	h1	T1	0.42990968	9.244549	3.465602	1.1930385828018188
23	Kctd11	h1	Met	0.42990968	9.244549	3.465602	-2.5973331928253174
24	Ap3s1	h0	shared	15.617723	1.3051912	2.0159838	1.6429608
24	Ap3s1	h1	T1	5.778502	7.8439817	0.79594755	2.5842652320861816
24	Ap3s1	h1	Met	5.778502	7.8439817	0.79594755	0.4138246178627014
25	H3f3b	h0	shared	9.960337	2.0222147	17.302643	28.345026
25	H3f3b	h1	T1	8.986294	2.1734517	16.574772	26.544008255004883
25	H3f3b	h1	Met	8.986294	2.1734517	16.574772	31.715709686279297
26	Cpe	h0	shared	12.497423	1.3747884	2.6357594	-0.09394223
26	Cpe	h1	T1	5.2140913	9.660392	4.1533556	-0.848963737487793
26	Cpe	h1	Met	5.2140913	9.660392	4.1533556	1.5004674196243286
27	Plat	h0	shared	0.9408284	1.2069025	3.7543168	1.8605162
27	Plat	h1	T1	0.64979744	8.131806	2.9144456	4.218178749084473
27	Plat	h1	Met	0.64979744	8.131806	2.9144456	0.18253843486309052
28	Ubb	h0	shared	24.833935	1.4052652	22.712996	36.762928
28	Ubb	h1	T1	14.750519	4.1199775	24.3775	37.7862434387207
28	Ubb	h1	Met	14.750519	4.1199775	24.3775	29.521520614624023
29	Rpl8	h0	shared	120.61447	5.859278	37.510326	54.593212
29	Rpl8	h1	T1	218.26193	6.529888	40.422386	53.480960845947266
29	Rpl8	h1	Met	218.26193	6.529888	40.422386	55.25110626220703
30	C4b	h0	shared	0.799276	2.4137082	5.400452	-2.6987157
30	C4b	h1	T1	0.412975	8.11518	5.5208955	-0.6518452167510986
30	C4b	h1	Met	0.412975	8.11518	5.5208955	-3.5329999923706055
31	Rpl41	h0	shared	54.869373	2.3800778	37.40573	55.447525
31	Rpl41	h1	T1	73.517044	3.7801406	43.808453	51.14453887939453
31	Rpl41	h1	Met	73.517044	3.7801406	43.808453	60.514808654785156
32	Ier3	h0	shared	0.92968357	3.3473172	6.7188816	7.4312267
32	Ier3	h1	T1	1.0593008	9.760095	7.6356425	11.26913070678711
32	Ier3	h1	Met	1.0593008	9.760095	7.6356425	4.388429164886475
33	Npm1	h0	shared	4.8354754	1.6501436	10.923871	18.95996
33	Npm1	h1	T1	4.4022293	6.6014247	12.129682	14.668062210083008
33	Npm1	h1	Met	4.4022293	6.6014247	12.129682	25.109046936035156
34	Snrpe	h0	shared	76.483696	2.2611673	4.809056	4.5603056
34	Snrpe	h1	T1	16.331556	6.58841	5.633967	3.7173917293548584
34	Snrpe	h1	Met	16.331556	6.58841	5.633967	6.006200313568115
35	Rps20	h0	shared	56.03512	1.650442	26.490995	52.83153
35	Rps20	h1	T1	59.79582	5.2265463	38.24833	45.93180847167969
35	Rps20	h1	Met	59.79582	5.2265463	38.24833	63.16107940673828
36	Serpine2	h0	shared	0.6295656	1.6105267	7.4899907	-2.5937932
36	Serpine2	h1	T1	0.20155026	8.740981	2.3721356	1.6107406616210938
36	Serpine2	h1	Met	0.20155026	8.740981	2.3721356	-3.105738878250122
37	Cd9	h0	shared	3.1104884	0.7683577	5.37609	9.637972
37	Cd9	h1	T1	3.0682077	0.86382127	4.687463	11.837550163269043
37	Cd9	h1	Met	3.0682077	0.86382127	4.687463	-0.40747740864753723
38	Apbb1ip	h0	shared	14.971299	2.241762	2.818785	-2.6522331
38	Apbb1ip	h1	T1	2.9335966	10.616627	2.677997	-5.3660125732421875
38	Apbb1ip	h1	Met	2.9335966	10.616627	2.677997	-1.2438960075378418
39	Ftl1	h0	shared	4.301419	3.0688853	118.45589	84.93796
39	Ftl1	h1	T1	12.066694	3.266947	86.68762	64.0047836303711
39	Ftl1	h1	Met	12.066694	3.266947	86.68762	68.41999816894531
40	Wdr89	h0	shared	73.87422	1.89889	26.017263	56.529827
40	Wdr89	h1	T1	78.59259	7.115663	42.229782	50.09157180786133
40	Wdr89	h1	Met	78.59259	7.115663	42.229782	65.46280670166016
41	Ifitm1	h0	shared	3.4289737	2.41228	6.3137636	-0.9551493
41	Ifitm1	h1	T1	2.513106	4.949491	7.777545	0.36084994673728943
41	Ifitm1	h1	Met	2.513106	4.949491	7.777545	-2.1289286613464355
42	Thbs1	h0	shared	0.7346624	1.8420032	6.4176855	-0.6621588
42	Thbs1	h1	T1	0.32618743	9.821553	5.663835	2.160295248031616
42	Thbs1	h1	Met	0.32618743	9.821553	5.663835	-1.8157392740249634
43	Fxyd6	h0	shared	0.9821642	1.6022342	7.2599773	-3.283342
43	Fxyd6	h1	T1	0.25475863	7.930958	2.6481493	0.7194727063179016
43	Fxyd6	h1	Met	0.25475863	7.930958	2.6481493	-4.485939979553223
44	Rps14	h0	shared	4.8549027	2.9335585	98.98999	117.37657
44	Rps14	h1	T1	8.162811	4.814629	93.36108	94.11927032470703
44	Rps14	h1	Met	8.162811	4.814629	93.36108	109.80274963378906
45	Rbp1	h0	shared	7.9844685	0.92459726	6.13241	5.4294143
45	Rbp1	h1	T1	5.5007987	8.06244	10.19929	3.1311240196228027
45	Rbp1	h1	Met	5.5007987	8.06244	10.19929	9.69028377532959
46	Slc25a4	h0	shared	38.783337	2.566471	5.477165	4.984458
46	Slc25a4	h1	T1	5.060556	6.4671493	2.9871476	4.043501377105713
46	Slc25a4	h1	Met	5.060556	6.4671493	2.9871476	6.167084693908691
47	Ppia	h0	shared	37.74306	4.6083655	35.438503	25.94162
47	Ppia	h1	T1	40.27118	5.899398	37.88847	23.235017776489258
47	Ppia	h1	Met	40.27118	5.899398	37.88847	28.105562210083008
48	Tomm7	h0	shared	72.232605	1.5161684	3.575163	3.5460303
48	Tomm7	h1	T1	673.46814	2.830789	4.1835103	2.431469440460205
48	Tomm7	h1	Met	673.46814	2.830789	4.1835103	5.490622043609619
49	mt-Atp6	h0	shared	4.0755787	1.6488048	100.65699	114.77493
49	mt-Atp6	h1	T1	4.3923597	1.166165	72.79477	118.00711059570312
49	mt-Atp6	h1	Met	4.3923597	1.166165	72.79477	101.32594299316406
50	Tgif1	h0	shared	2.7065296	5.356399	2.683465	0.9402549
50	Tgif1	h1	T1	2.3628082	7.8886623	1.7629467	1.689325213432312
50	Tgif1	h1	Met	2.3628082	7.8886623	1.7629467	0.5408703684806824
51	Hsp90ab1	h0	shared	47.47896	2.2056932	22.588793	33.060184
51	Hsp90ab1	h1	T1	38.031967	2.4467382	21.578539	29.760047912597656
51	Hsp90ab1	h1	Met	38.031967	2.4467382	21.578539	39.086605072021484
52	Cotl1	h0	shared	4.2129717	1.7801809	4.941275	-3.3580434
