ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
26	27	3.4471974	55.46328	5.6260133	10.983887	132.60326	5.851210594177246	1.4295392036437988	-724.0132	-730.1469	6.133728	0.013262692425537459	0.9178344585228598	False
3	4	1.8287402	40.648335	4.637557	2.524658	45.914886	4.8504180908203125	0.015301312319934368	-531.90717	-536.7999	4.892761	0.026969519653005314	0.9178344585228598	False
64	65	5.1998057	55.6157	5.742991	7.349918	68.12321	5.892532825469971	3.416188955307007	-733.24756	-735.9932	2.7456665	0.09751840724439997	0.9178344585228598	False
41	42	2.740401	35.45484	5.501107	3.6221013	40.449104	5.317088603973389	9.95700740814209	-769.36365	-771.99207	2.628418	0.10496625455052078	0.9178344585228598	False
79	80	3.9176984	44.987106	5.094749	5.231392	53.341415	4.975064277648926	8.007575035095215	-608.0084	-610.6012	2.5927734	0.10735220923701572	0.9178344585228598	False
9	10	2.8866253	43.757088	4.5078597	3.1842902	43.81287	4.33119010925293	9.050127029418945	-520.48126	-523.0547	2.5734253	0.10867219637162051	0.9178344585228598	False
77	78	2.897539	45.71208	4.8707614	3.3387568	48.14539	5.021747589111328	0.8600426912307739	-485.11462	-487.6502	2.5355835	0.11130573344382655	0.9178344585228598	False
87	88	3.0698342	43.429436	6.1774855	3.8272903	47.501442	5.8997626304626465	10.657631874084473	-918.5284	-920.88007	2.3516846	0.12514770402671327	0.9178344585228598	False
96	97	2.6638496	50.550182	2.5190938	2.993729	52.760803	2.6380815505981445	0.05972733348608017	-2.5105896	-4.772499	2.2619095	0.13259048474020008	0.9178344585228598	False
98	99	2.5298703	37.84154	3.721126	3.2203221	48.490963	3.9487595558166504	0.32892149686813354	-225.13307	-227.17781	2.0447388	0.15273319997885504	0.9178344585228598	False
20	21	1.0935984	27.862064	2.6829216	1.1279734	26.49897	2.6040360927581787	9.523551940917969	-321.5214	-323.4165	1.8951111	0.16862656665613318	0.9178344585228598	False
37	38	1.8301785	28.322386	3.3082714	2.308929	31.173805	3.1635451316833496	8.59774398803711	-180.76321	-182.64572	1.8825073	0.17004944743886197	0.9178344585228598	False
8	9	2.382372	41.265263	4.071726	2.5198061	40.747112	4.217933177947998	0.6477733850479126	-351.20688	-353.01758	1.8106995	0.1784243455105099	0.9178344585228598	False
75	76	2.1701043	37.56943	3.6953266	2.4853375	40.61321	3.838578224182129	0.5531892776489258	-303.74796	-305.52036	1.7723999	0.18308535089565825	0.9178344585228598	False
67	68	1.9720417	40.8588	4.64421	2.4219108	45.874165	4.759364604949951	1.0114867687225342	-527.84656	-529.56067	1.7141113	0.19045281442259876	0.9178344585228598	False
14	15	1.8484929	38.219547	4.8094635	2.1846673	37.063114	4.963886737823486	0.33485373854637146	-540.96826	-542.51587	1.5476074	0.21348899803860089	0.9178344585228598	False
22	23	1.4732376	38.372215	5.7892656	1.4374095	36.846233	5.864375591278076	1.9642360210418701	-1091.1558	-1092.6498	1.4940186	0.22159400369974758	0.9178344585228598	False
16	17	2.650134	43.25818	4.846015	2.632293	42.974968	4.784325122833252	6.580834865570068	-529.5997	-531.07227	1.4725952	0.22493667325744693	0.9178344585228598	False
57	58	2.175856	32.074657	4.3610606	2.3024049	32.21501	4.222248077392578	8.52489948272705	-420.6565	-422.04572	1.3892212	0.23853666577273247	0.9178344585228598	False
81	82	2.6459994	37.34576	3.9388769	2.6210191	35.892403	4.066184043884277	0.7902544736862183	-238.95062	-240.33315	1.3825226	0.23967192664372805	0.9178344585228598	False
