gene	log2FC	p_value	q_value	signif
79	1.2272884	2.147310288522394e-06	5.3682757213059845e-05	True
38	1.423948	8.279974475594723e-06	0.0001441086224345599	True
88	0.99851805	2.8116727677315492e-05	0.0003124080853035055	True
42	0.91649765	3.482174667824681e-05	0.0003467075652241546	True
21	1.6390779	3.813783217465701e-05	0.0003467075652241546	True
70	1.230751	0.0005340759120462156	0.00253092455429551	True
80	0.8221903	0.0005576126719722578	0.00253092455429551	True
47	1.0376117	0.0005821126474879673	0.00253092455429551	True
10	0.96196616	0.0006963645184722781	0.0029015188269678254	True
60	1.1776581	0.0007706794410462861	0.0030827177641851444	True
12	0.8008232	0.0008523018881837742	0.0032780841853222082	True
75	1.1010597	0.0014871461552278804	0.005128090190440967	True
28	0.8795958	0.002240706135412927	0.007002206673165396	True
37	0.8505443	0.0029301256816684157	0.008879168732328533	True
18	0.53524745	0.003136260120455312	0.009224294471927387	True
1	0.9721508	0.004608472905486873	0.012455332176991548	True
58	0.83161813	0.0067752877102549465	0.016938219275637365	True
25	0.8474588	0.0070162718432596125	0.017112858154291737	True
43	0.9774539	0.009950728393786424	0.02369221046139625	True
92	0.5640958	0.010221635683088804	0.023771245774625124	True
86	0.9685324	0.014205279708197656	0.03156728824043924	True
100	0.736333	0.01614831566792965	0.035105034060716626	True
59	0.76606166	0.019990650852850213	0.04164718927677128	True
45	0.75891817	0.02387582636161275	0.048726176248189285	True
22	0.7493462	0.03625077102166796	0.06839768117295841	False
73	0.28353363	0.06397031593045946	0.10661719321743243	False
91	0.45815513	0.08672454645814687	0.14217138763630635	False
11	0.54966307	0.10775946964577872	0.16837417132152924	False
71	0.30668643	0.13688612180463955	0.20740321485551447	False
26	0.4111784	0.14504108162022714	0.2142404134701592	False
33	0.3662683	0.14568348115970828	0.2142404134701592	False
13	0.3649855	0.17393865759400573	0.24848379656286534	False
90	0.3700627	0.17990003717531444	0.25338033404973864	False
17	0.46694362	0.2215077468649227	0.29769260281422155	False
36	0.25927332	0.22326945211066618	0.29769260281422155	False
77	0.3480949	0.25573341152560547	0.33649133095474404	False
16	0.382673	0.26959549151033	0.35012401494848056	False
62	0.42214927	0.32212093385572405	0.40774801753889117	False
67	0.28460392	0.37838739638124186	0.4729842454765523	False
98	0.21511436	0.4798421127133847	0.5781230273655238	False
48	0.29973695	0.5106998507958564	0.60797601285221	False
32	0.32053068	0.5410245788372915	0.6364995045144606	False
7	0.21381168	0.5881365436188275	0.6638614152533014	False
74	0.21469337	0.5913436039240867	0.6638614152533014	False
29	0.113622434	0.6058738251617957	0.6638614152533014	False
46	0.17151965	0.6058738251617957	0.6638614152533014	False
56	0.2576418	0.6107525020330373	0.6638614152533014	False
51	0.17713149	0.7238798394045863	0.778365418714609	False
52	0.14336358	0.8234396895069707	0.8667786205336534	False
94	-0.02028742	0.8689297070537466	0.9051351115143195	False
3	0.2051179	0.9148578738728359	0.9431524472915834	False
5	0.14673278	0.9518138214885665	0.9555164476609482	False
95	0.10501363	0.9555164476609482	0.9555164476609482	False
85	0.0070625483	0.9425619799399624	0.9555164476609482	False
39	0.076007426	0.7326088339929842	0.7793710999925364	False
20	-0.11865801	0.5993962062754536	0.6638614152533014	False
23	-0.040509198	0.5897390689670621	0.6638614152533014	False
69	-0.071940884	0.4556263918318316	0.5556419412583313	False
41	-0.16511695	0.4199562860193632	0.5184645506411891	False
31	-0.4795474	0.2808426259127199	0.36005464860605113	False
6	-0.16950408	0.21714711790514796	0.29746180534951777	False
54	-0.4405942	0.20861182794864963	0.28973864992868004	False
53	-0.30150387	0.16884458532562108	0.2447022975733639	False
44	-0.3838149	0.11777389493082642	0.1811906075858868	False
24	-0.44761246	0.10227733613601955	0.16234497799368183	False
84	-0.28960606	0.09655240921277718	0.15572969227867287	False
81	-0.4247007	0.06199494723075685	0.10507618174704551	False
8	-0.41125858	0.06167067832971919	0.10507618174704551	False
30	-0.4140034	0.05667054385934887	0.0994220067707875	False
2	-0.51224643	0.05400941487139457	0.09644538369891888	False
93	-0.7086148	0.05062422470402695	0.09204404491641263	False
64	-0.5006548	0.040143642785605234	0.07434007923260227	False
57	-0.5115276	0.03364356324979557	0.06469916009576071	False
66	-0.6795644	0.030656338364950717	0.060110467382256304	False
14	-1.4389247	0.025820097298472063	0.051640194596944126	False
55	-0.36068615	0.019990650852850213	0.04164718927677128	True
89	-0.6403476	0.012389975768356517	0.028159035837173902	True
50	-1.1082059	0.0063155128255269945	0.016193622629556394	True
97	-1.6698408	0.006227000448369882	0.016193622629556394	True
82	-1.2214727	0.004191035006253898	0.011641763906260828	True
35	-1.2895916	0.0038081918024373326	0.010880548006963808	True
63	-1.236578	0.0020092568679548656	0.00648147376759634	True
34	-1.6587712	0.001623707746079795	0.005412359153599317	True
9	-1.4618306	0.0013722642800806963	0.004900943857431057	True
65	-0.8650806	0.001245228375230801	0.004611956945299263	True
72	-1.5545467	0.0005672950880380151	0.00253092455429551	True
83	-1.5105505	0.00048131162860961195	0.00253092455429551	True
96	-0.9637533	0.00039698591037106237	0.0022054772798392355	True
40	-2.2264485	0.00035702235567119657	0.002100131503948215	True
49	-1.2624624	0.00032372434035519174	0.002023277127219948	True
19	-0.994915	0.00028812332907684037	0.0019208221938456025	True
87	-1.7584109	0.000143307055710059	0.0010236218265004214	True
61	-1.5611701	6.461285798613522e-05	0.0004970219845087324	True
99	-1.8971192	5.3574850809044066e-05	0.00044645709007536723	True
78	-2.0791276	2.3364730351057222e-05	0.00029205912938821526	True
76	-2.3785582	1.622319629841413e-05	0.00023175994712020182	True
27	-1.8339889	8.646517346073594e-06	0.0001441086224345599	True
15	-3.0321417	1.5186337337774609e-06	5.0621124459248695e-05	True
68	-2.5694025	1.0816555511323313e-06	5.0621124459248695e-05	True
4	-3.99197	1.2388795718813598e-08	1.2388795718813598e-06	True
