gene	log2FC	p_value	q_value	signif
40	2.83613	4.629413351458494e-10	3.993583176030912e-08	True
29	2.4372573	7.987166352061824e-10	3.993583176030912e-08	True
17	1.926078	2.0754983722753283e-09	5.0787644873715356e-08	True
10	2.2523026	2.3265624910799203e-09	5.0787644873715356e-08	True
69	2.4277563	2.6444231911437048e-09	5.0787644873715356e-08	True
20	2.07639	3.047258692422921e-09	5.0787644873715356e-08	True
78	2.478686	4.984615042402479e-09	7.12087863200354e-08	True
73	1.9718013	8.920725622120354e-09	1.1150907027650443e-07	True
43	2.204075	3.0903004159750265e-08	3.4336671288611406e-07	True
58	1.9057542	3.527676871424749e-08	3.5276768714247483e-07	True
42	1.8715098	4.836483474693171e-08	4.3968031588119734e-07	True
2	2.287124	5.369306151093537e-08	4.4744217925779475e-07	True
66	1.9487349	6.195681838110293e-08	4.661227686512665e-07	True
68	1.6991128	6.525718761117731e-08	4.661227686512665e-07	True
3	1.4059223	8.780547285001371e-08	5.853698190000914e-07	True
22	2.0457735	9.854397391596755e-08	6.158998369747972e-07	True
1	1.4762878	1.208527214532484e-07	7.108983614896965e-07	True
84	1.2663887	1.371993284721881e-07	7.622184915121562e-07	True
54	1.3674046	1.7001693024986987e-07	8.948259486835256e-07	True
76	1.7115062	1.9034238544616994e-07	9.517119272308496e-07	True
46	2.1608543	2.077557056148492e-07	9.682153003680694e-07	True
91	1.5310597	2.1300736608097526e-07	9.682153003680694e-07	True
70	1.6643568	3.7147384299869763e-07	1.6151036652117287e-06	True
94	1.5313724	1.0944658596416618e-06	4.560274415173591e-06	True
63	1.2637984	1.2898809026933302e-06	5.138155287757097e-06	True
50	1.671581	1.3359203748168453e-06	5.138155287757097e-06	True
9	1.7530621	2.147310288522394e-06	7.953001068601459e-06	True
39	1.6159154	2.548895696691702e-06	9.103198916756077e-06	True
72	1.1957574	3.7014122483559417e-06	1.261787524275573e-05	True
38	1.4541483	3.7853625728267185e-06	1.261787524275573e-05	True
100	1.1636592	4.837840754128854e-06	1.560593791654469e-05	True
32	1.0872353	6.659274946393996e-06	2.0810234207481238e-05	True
26	1.3982745	7.842653327315107e-06	2.3318564128610032e-05	True
60	1.3996836	7.928311803727412e-06	2.3318564128610032e-05	True
19	1.2976592	8.370192245776797e-06	2.391483498793371e-05	True
13	1.1652087	1.0496635760788333e-05	2.9157321557745372e-05	True
82	0.8958005	1.4446984222666017e-05	3.904590330450275e-05	True
44	0.8696128	1.5230055657860009e-05	4.007909383647371e-05	True
48	1.1338085	1.6742624337257468e-05	4.2929805992967865e-05	True
14	1.0665095	1.8016956727340328e-05	4.487243177199039e-05	True
51	1.2073426	1.8397697026516058e-05	4.487243177199039e-05	True
96	1.4326843	1.979154800612528e-05	4.712273334791734e-05	True
56	1.0434741	2.3607323160087245e-05	5.490075153508662e-05	True
47	0.97597075	2.563620223396494e-05	5.8264095986283954e-05	True
79	1.2486401	2.6987339311151168e-05	5.9971865135891486e-05	True
97	1.0132449	3.0511705033847354e-05	6.632979355184207e-05	True
53	0.8853913	3.589543425568322e-05	7.55422142432746e-05	True
25	1.0632744	3.6260262836771806e-05	7.55422142432746e-05	True
24	1.6179171	5.0981981705149916e-05	0.00010404486062275493	True
4	0.90554017	5.972572028518152e-05	0.00011945144057036303	True
85	0.925243	6.151588195119188e-05	0.00012061937637488604	True
71	0.7610735	8.906489307231704e-05	0.0001712786405236866	True
95	1.3923314	0.00010892846750566287	0.00020552541038804315	True
8	1.2133238	0.00014878244027863812	0.00027552303755303356	True
77	0.92836195	0.00015736603971796154	0.0002861200722144755	True
23	0.72509956	0.00016641412747051047	0.00029716808476876866	True
92	1.16658	0.00017432578221322458	0.00030583470563723614	True
5	1.0434597	0.0002339601493560505	0.0004033795678552595	True
61	0.85510904	0.00037985163150581645	0.0006438163245861296	True
81	0.94638324	0.00038662067986211605	0.0006443677997701934	True
41	1.1422778	0.0004689023780088412	0.0007686924229653135	True
98	1.0319315	0.00047714157542683475	0.0007695831861723141	True
64	0.8537955	0.0006024302783628631	0.0009562385370839097	True
83	0.9726141	0.0007326472130016813	0.001144761270315127	True
74	1.0189058	0.0007837587926997321	0.0012057827579995879	True
93	0.89356977	0.0008452054010027795	0.0012806142439436053	True
49	1.4100026	0.000866660924699039	0.0012935237682075208	True
87	0.8967636	0.0010315802786630504	0.001507413138360336	True
35	0.875431	0.0010401150654686317	0.001507413138360336	True
67	0.93635064	0.001101712562796629	0.0015738750897094703	True
57	0.89189875	0.0012351480221655961	0.0017396451016416848	True
65	0.86712	0.0021553785909770697	0.0029935813763570414	True
36	0.8728903	0.002258138715090797	0.003093340705603832	True
62	0.65893525	0.0028210239171929065	0.003812194482693117	True
99	1.0204942	0.0033056333911464218	0.004407511188195229	True
37	1.0260904	0.004848519547147077	0.006379630983088259	True
52	0.7193084	0.0053245329564749755	0.006914977865551916	True
6	0.8913274	0.005558146975876946	0.007125829456252494	True
80	0.63916206	0.005759847422158719	0.007290946103998378	True
30	0.5739379	0.005925934307592276	0.007407417884490345	True
7	0.8034269	0.007786084841443852	0.009612450421535619	True
90	0.5113458	0.008059022529646721	0.009828076255666734	True
75	0.797651	0.008226867285577796	0.009911888295876864	True
86	0.6052459	0.01071155525269629	0.012751851491305108	True
28	0.62479806	0.014482906734918515	0.01703871380578649	True
27	0.6419223	0.020365195183789608	0.023680459516034428	True
11	0.5186362	0.02179138825189764	0.02504757270333062	True
15	0.8683283	0.02260535655591029	0.025687905177170785	True
16	0.51309216	0.033257042208444845	0.037367463155556	True
21	0.39826855	0.04846765145331309	0.05385294605923677	False
59	0.41603982	0.08715303203780814	0.09577256267891003	False
12	0.41462165	0.10929428895373641	0.11879814016710478	False
