ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
16	17	1.9515579	34.352913	3.907317	2.7518919	34.68557	3.6804051399230957	13.26376724243164	-425.3811	-434.05313	8.672028	0.0032313146876481458	0.2173415452772381	False
53	54	2.64349	33.986336	4.8865685	4.936845	44.22063	4.5016913414001465	10.706053733825684	-527.2095	-535.12445	7.914978	0.0049027175673044265	0.2173415452772381	False
83	84	2.964983	39.593204	5.2051544	4.3469834	46.467667	4.943111896514893	11.051506042480469	-705.3795	-711.8487	6.4691772	0.010976133522751286	0.2173415452772381	False
42	43	3.2450147	56.319366	1.7837347	5.1420965	69.63021	1.5561012029647827	7.169843673706055	47.75949	41.839096	5.920395	0.014966603717337046	0.2173415452772381	False
19	20	1.3898232	31.72103	3.6338172	2.1615503	35.06649	3.300501823425293	14.064257621765137	-346.1388	-351.89978	5.7609863	0.016385871030782706	0.2173415452772381	False
77	78	1.476875	39.35483	1.937287	2.1289713	40.083218	1.7176849842071533	13.217833518981934	-154.66861	-160.18973	5.521118	0.01878824582067562	0.2173415452772381	False
9	10	1.4560457	38.352077	3.3635004	2.0182543	39.900715	3.058506488800049	14.995985984802246	-335.26953	-340.4557	5.186157	0.022767505458626602	0.2173415452772381	False
39	40	1.7328489	51.956276	2.2199922	2.5318139	56.192795	1.8637274503707886	12.693471908569336	-102.74189	-107.922066	5.180176	0.022846012490587486	0.2173415452772381	False
45	46	1.752464	44.315693	2.2379305	2.1012664	44.323586	1.9608850479125977	12.473992347717285	-112.89813	-118.067055	5.1689224	0.02299447530912857	0.2173415452772381	False
99	100	3.495952	48.683277	4.654865	4.6822534	54.889534	4.452423572540283	9.464629173278809	-554.71625	-559.8639	5.147644	0.023277935556965224	0.2173415452772381	False
22	23	5.4038115	69.24682	6.82359	10.5571	109.764915	6.671741485595703	10.30852222442627	-1214.4551	-1219.4838	5.0286865	0.024930798733326154	0.2173415452772381	False
2	3	1.9935374	33.1973	4.845738	3.0233834	38.656628	4.6421685218811035	12.035036087036133	-662.9895	-667.9256	4.936096	0.026301375260046944	0.2173415452772381	False
95	96	3.0476189	44.614933	3.6764805	3.7805321	48.897827	3.3857083320617676	8.813417434692383	-219.23099	-223.9611	4.730118	0.02963885527846677	0.2173415452772381	False
71	72	2.1798773	42.461987	5.001172	2.3436317	39.415234	4.719621181488037	13.927127838134766	-689.19073	-693.7971	4.6063843	0.03185312727740841	0.2173415452772381	False
96	97	4.807178	54.68957	5.1090646	7.149692	68.4087	4.870805740356445	8.658331871032715	-596.82385	-601.2973	4.4734497	0.03442542002776605	0.2173415452772381	False
21	22	1.9333167	40.58513	2.8386505	2.559661	42.644577	2.603154420852661	10.954245567321777	-206.38802	-210.72176	4.33374	0.03736405606599025	0.2173415452772381	False
68	69	1.4231797	36.05401	2.943126	2.0254898	41.166542	2.6553235054016113	13.438794136047363	-252.39374	-256.6996	4.305847	0.0379815735445026	0.2173415452772381	False
72	73	1.9506574	31.293411	2.494164	3.0975273	36.741627	2.3160171508789062	8.831914901733398	-61.745834	-66.00142	4.2555847	0.039121478149902855	0.2173415452772381	False
93	94	1.5855372	31.146559	3.8960066	2.0459201	33.60253	3.7200067043304443	11.734519958496094	-428.68268	-432.66483	3.9821472	0.0459849080092245	0.2273058774542327	False
31	32	2.6999712	41.436802	5.3338366	3.2921636	43.574295	5.147580146789551	11.212973594665527	-818.0225	-821.8481	3.8255615	0.050476431937890975	0.2273058774542327	False
43	44	3.843734	46.670063	6.084003	8.753949	77.62088	5.851402759552002	9.770092010498047	-921.1888	-924.96985	3.781067	0.05183559914734048	0.2273058774542327	False
90	91	1.6468124	26.36863	3.6385462	2.5867872	30.760305	3.532334804534912	10.572977066040039	-363.2205	-366.8313	3.6108093	0.057405177064816404	0.2273058774542327	False
57	58	1.8356684	34.47521	3.150287	2.6996198	39.69298	2.9214227199554443	10.46253776550293	-188.88042	-192.42867	3.5482483	0.059608347021873564	0.2273058774542327	False
75	76	1.9737436	38.240807	3.4570377	2.9274545	45.94916	3.2876250743865967	10.264501571655273	-327.07098	-330.55722	3.4862366	0.061881112897462676	0.2273058774542327	False
49	50	1.5380722	37.330353	3.5269766	1.9267436	37.56526	3.3168718814849854	12.71189022064209	-352.58344	-356.04477	3.4613342	0.06281960581495061	0.2273058774542327	False
0	1	1.743335	30.361921	4.5796843	2.3292718	32.495052	4.305756568908691	11.545676231384277	-465.65604	-469.06393	3.407898	0.06488505014755164	0.2273058774542327	False
