gene	log2FC	p_value	q_value	signif
31	1.8100348	7.839166140593004e-14	4.017758892119345e-12	True
44	2.0987058	8.03551778423869e-14	4.017758892119345e-12	True
89	2.5223792	1.2014759958102896e-12	4.0049199860342984e-11	True
90	2.0141587	3.24064157727259e-12	8.101603943181475e-11	True
61	1.8307595	2.2284211923727344e-11	4.1045791871096494e-10	True
40	1.9440746	2.4627475122657895e-11	4.1045791871096494e-10	True
57	1.4971231	4.3703716085105474e-11	6.243388012157924e-10	True
18	1.6736057	5.038680917444764e-11	6.298351146805955e-10	True
50	1.6609404	5.743711492155839e-11	6.381901657950933e-10	True
71	1.9233156	1.9151941275126172e-10	1.915194127512617e-09	True
53	1.678554	3.795568714466852e-10	3.4505170131516838e-09	True
78	1.6144356	4.62608283723411e-10	3.855069031028425e-09	True
68	1.8094014	1.0534161776793514e-09	7.757718974345838e-09	True
35	1.6198723	1.0860806564084174e-09	7.757718974345838e-09	True
27	1.7217823	2.8788794887155745e-09	1.91925299247705e-08	True
52	1.5522786	4.9983939446460364e-09	3.123996215403773e-08	True
48	1.3151987	9.387204086809737e-09	5.521884756946904e-08	True
84	1.6677325	1.760391971087036e-08	9.779955394927979e-08	True
34	1.7679076	1.9527532472921352e-08	1.0277648669958607e-07	True
65	1.5164144	3.927498307842801e-08	1.9637491539214004e-07	True
83	1.4766706	4.720396921575803e-08	2.2478080578932397e-07	True
66	1.4165102	6.615239736582603e-08	3.0069271529920923e-07	True
10	1.4295729	8.443736573224195e-08	3.671189814445302e-07	True
37	1.5286177	9.238113402867898e-08	3.8492139178616246e-07	True
100	1.4489	9.925257667157388e-08	3.970103066862955e-07	True
93	1.5994946	1.124856833655949e-07	4.2791018421946455e-07	True
5	1.7275994	1.1553574973925543e-07	4.2791018421946455e-07	True
7	1.1775353	1.7516141092874147e-07	6.25576467602648e-07	True
43	1.25136	2.4633661138884e-07	8.494365909960001e-07	True
2	1.3964442	2.572718734056667e-07	8.575729113522223e-07	True
95	1.264639	3.6961085785753676e-07	1.175002266509082e-06	True
64	1.2036917	3.760007252829062e-07	1.175002266509082e-06	True
91	1.0136232	3.992155716395695e-07	1.209744156483544e-06	True
21	1.2796417	6.4179195867614e-07	1.887623407871e-06	True
46	1.3092518	7.097791098418786e-07	1.9716086384496628e-06	True
87	1.2536635	7.097791098418786e-07	1.9716086384496628e-06	True
58	1.3062872	2.481091810320667e-06	6.7056535414072085e-06	True
28	1.4634131	3.3018321691950835e-06	8.689032024197589e-06	True
13	1.1485628	4.3455332294961964e-06	1.1142392896144094e-05	True
17	1.3860192	5.277382014710596e-06	1.319345503677649e-05	True
82	1.0737976	7.068789024629303e-06	1.7240948840559275e-05	True
75	1.2123816	1.3116027018076237e-05	3.1228635757324376e-05	True
1	1.2181869	2.2253802396503857e-05	5.1753028829078736e-05	True
4	1.3967364	2.782928107781559e-05	6.324836608594452e-05	True
36	1.1435599	3.726471622649928e-05	8.281048050333173e-05	True
59	1.1727322	4.230391905797079e-05	9.196504143037128e-05	True
79	1.0769423	4.4745317623030314e-05	9.5202803453256e-05	True
23	0.8175562	4.699060761168603e-05	9.789709919101257e-05	True
22	1.1419953	8.960695515405452e-05	0.00018287133704909084	True
26	0.7812079	0.00010599078568927691	0.00021198157137855382	True
25	0.8290711	0.00011180471978063862	0.00021922494074635022	True
51	1.167182	0.0001251730476150334	0.00024071739925967962	True
19	0.7194626	0.00015452002930742723	0.0002899152165970683	True
15	0.99583375	0.0001565542169624169	0.0002899152165970683	True
72	0.8943834	0.00020293076755585366	0.0003689650319197339	True
80	0.7741789	0.00022201114414130107	0.00039644847168089474	True
41	0.9877161	0.0002670157610997566	0.0004684487036837835	True
62	0.8788416	0.0003347920151485956	0.0005772276123251649	True
42	0.8749745	0.00034971423408429697	0.0005927359899733847	True
81	0.6537485	0.0003861897429732198	0.000643649571622033	True
20	0.86767304	0.0004559113688932974	0.0007473956867103236	True
49	0.775875	0.0004845915750572187	0.0007815993146084172	True
38	0.9292606	0.0009058149611523826	0.0014378015256387025	True
74	0.6797512	0.0015493336792065664	0.0024208338737602597	True
30	0.586385	0.0019128514151205579	0.0029428483309547043	True
14	0.64247125	0.002839121840888835	0.004301699758922477	True
76	0.7389996	0.0034690025703120663	0.005177615776585174	True
55	0.7895173	0.006869587823735321	0.010102335034904883	True
47	0.7480814	0.008706756166486439	0.012618487197806434	True
88	0.68259573	0.008959535498701826	0.01273977495605533	True
33	0.6952228	0.009045240218799284	0.01273977495605533	True
29	0.73775643	0.01149293821777676	0.015743750983255835	True
96	0.7747078	0.01149293821777676	0.015743750983255835	True
3	0.6687686	0.016523115807613804	0.02232853487515379	True
86	0.5081185	0.026545449858393425	0.03539393314452457	True
63	0.6760825	0.028021766743688153	0.03687074571537915	True
67	0.61655843	0.03465583705596987	0.04500758059216866	True
39	0.5900361	0.044794781375770074	0.056702254906038065	False
24	0.6073188	0.04549304349324489	0.05686630436655611	False
6	0.5781015	0.0760864519563672	0.09393389130415702	False
56	0.3529614	0.11480829455160052	0.1400101153068299	False
70	0.5513314	0.12729204791565477	0.15336391315139128	False
98	0.5277907	0.13647018845018724	0.16246451005974671	False
69	0.3328122	0.1563485038140336	0.18393941625180424	False
11	0.51112777	0.21555050547251342	0.2506401226424575	False
45	0.49553615	0.24393242159948436	0.2803820937925108	False
85	0.43957862	0.2628642726086673	0.2987094006916674	False
77	0.45693737	0.28718580441901964	0.3190953382433552	False
32	0.08704087	0.5645493664503085	0.613640615706857	False
97	0.2305963	0.6686478106084945	0.7038398006405207	False
60	0.27353734	0.6686478106084945	0.7038398006405207	False
54	0.19815522	0.7497498933412605	0.7729380343724336	False
16	0.16510871	0.9131744294951497	0.9318106423419895	False
92	0.15687841	0.9532817236282405	0.9532817236282405	False
94	0.19985245	0.9416209318664595	0.9511322544105651	False
9	0.048653733	0.7264215163392614	0.756689079520064	False
99	0.024435569	0.6650970629516763	0.7038398006405207	False
73	-0.12888184	0.3240346902864817	0.3560820772378919	False
8	0.13032183	0.28060465429202575	0.31528612841800646	False
12	-0.27578488	0.03680269418545133	0.04718294126339914	True
