gene	log2FC	p_value	q_value	signif
61	2.3147528	1.4130851864408308e-17	1.413085186440831e-15	True
70	1.5867633	4.4243546384655677e-13	2.2121773192327838e-11	True
18	1.5997171	1.5022618501924564e-12	5.007539500641521e-11	True
8	1.8000401	5.500858982821802e-12	1.3752147457054505e-10	True
86	1.8007109	8.4813233784297e-12	1.6962646756859397e-10	True
9	1.7748536	1.7470895992435438e-09	2.91181599873924e-08	True
83	1.1679398	4.614969514975111e-07	4.614969514975111e-06	True
38	1.3820693	9.659311884296488e-07	8.781192622087717e-06	True
82	1.131318	1.3535042174957559e-06	1.1114413765352415e-05	True
33	1.6244718	1.444873789495814e-06	1.1114413765352415e-05	True
92	1.2903136	1.4126455846199615e-05	6.726883736285532e-05	True
47	1.15274	2.130536170922452e-05	8.941965209584085e-05	True
43	1.1487514	2.14607165030018e-05	8.941965209584085e-05	True
15	1.0239075	4.505972401040395e-05	0.00016092758575144266	True
36	1.1645787	5.180558811506722e-05	0.00017863995901747318	True
100	0.9955777	6.03276597077368e-05	0.0001973063999467199	True
48	0.77345103	6.116498398348317e-05	0.0001973063999467199	True
67	1.119084	0.0006707775108458145	0.0019165071738451846	True
88	0.96840423	0.0020995683915233866	0.0055251799776931225	True
80	0.7928739	0.0022534734947467646	0.005778137166017345	True
13	0.9534628	0.0029938748236360392	0.007128273389609617	True
    1	0.6391724	0.004583718461717448	0.010659810376087087	True
99	0.5469363	0.005836915820529057	0.012970924045620126	True
72	0.52941316	0.008339530157366899	0.01774368118588702	True
19	0.7405056	0.010276028537182407	0.021408392785796683	True
3	0.61402637	0.01861205408694935	0.0351170831829233	True
54	0.83256656	0.02156862442025613	0.03921568076410205	True
57	0.76914537	0.022608958341555144	0.04037313989563418	True
81	0.76394105	0.02837233518777002	0.04891781928925866	True
93	0.60217476	0.035787125798145206	0.059645209663575345	False
52	0.6828796	0.041275512268100514	0.06657340688403308	False
77	0.5604968	0.052199998473013084	0.0828571404333541	False
26	0.6081855	0.062182358319515296	0.09715993487424265	False
12	0.57459015	0.0887077972290402	0.1323996973567764	False
76	0.43545783	0.1232822676289351	0.17611752518419302	False
53	0.5271545	0.13223689623878465	0.18624914963209108	False
79	0.5103474	0.13561526737193821	0.18835453801658086	False
29	0.52701074	0.15777991753074316	0.21613687332978515	False
85	0.3978751	0.16262302868138934	0.21976084956944505	False
21	0.35339394	0.16707696314960452	0.2227692841994727	False
55	0.6745377	0.19970718712808522	0.2627726146422174	False
22	0.3890946	0.21135859632756226	0.26643481853059825	False
75	0.20869279	0.5119272917753017	0.6022674020885903	False
31	0.241497	0.5503381502270177	0.6399280816593229	False
60	0.13715649	0.5845131975216982	0.6718542500249405	False
24	0.14788133	0.6242432259604389	0.6860540161861514	False
20	0.2547264	0.6300130095814234	0.6860540161861514	False
30	0.22018744	0.6509697175152498	0.692520976080053	False
97	0.2915813	0.6997245590511795	0.7365521674222942	False
66	0.26528358	0.9429160035728925	0.959764426317232	False
2	0.13804623	0.9480977654972735	0.959764426317232	False
94	-0.022725886	0.959764426317232	0.959764426317232	False
40	-0.05862268	0.959764426317232	0.959764426317232	False
84	0.0040401053	0.8771347757903615	0.91368205811496	False
17	0.057278883	0.6416202601195553	0.6899142581930702	False
37	0.0132870665	0.6311696948912593	0.6860540161861514	False
35	0.015698392	0.6196439103735145	0.6860540161861514	False
91	-0.1446422	0.6013964633547461	0.6834050719940296	False
4	-0.19567493	0.48304924839547025	0.5750586290422265	False
16	-0.11145613	0.4511595499258787	0.5435657228022636	False
73	-0.42463565	0.35445272491037094	0.43225942062240363	False
65	-0.34649596	0.296121534230929	0.36558214102583825	False
39	-0.42127398	0.21314785482447862	0.26643481853059825	False
87	-0.30339447	0.20898984590236358	0.26643481853059825	False
74	-0.2647739	0.20664038873878665	0.26643481853059825	False
42	-0.47817644	0.10399937616356034	0.1507237335703773	False
46	-0.52193606	0.09024308037065579	0.13271041230978792	False
27	-0.2806921	0.07009609648518454	0.10620620679573414	False
95	-0.56034786	0.06333161199469495	0.09743324922260761	False
44	-0.28192785	0.03921651171981664	0.06428936347510925	False
5	-0.41832492	0.032749531293407824	0.05550768015831835	False
7	-0.79734445	0.027105116487264942	0.04755283594257008	True
41	-0.8431254	0.019273820454182362	0.03569226010033771	True
49	-0.44659775	0.018369066244785785	0.0351170831829233	True
51	-0.6095851	0.013620133081122004	0.026706143296317656	True
10	-0.86777866	0.013313703634255776	0.026627407268511552	True
78	-0.42433545	0.010920147631921269	0.022286015575349528	True
90	-0.4526331	0.007213429899592668	0.01568136934694058	True
34	-1.0082622	0.00497139346080673	0.011298621501833476	True
25	-0.7665277	0.00262065144318451	0.006391832788254902	True
32	-0.9173374	0.002457062593412474	0.0061426564835311845	True
71	-1.1657596	0.0011347726958328256	0.00306695323198061	True
68	-0.82320374	0.000859451104903237	0.0023873641802867698	True
98	-1.250924	0.0003009958454190984	0.0008852818982914659	True
45	-1.3394198	0.00017040340401333525	0.0005163739515555613	True
14	-1.3118421	6.418309888128293e-05	0.00020057218400400915	True
58	-1.4904971	4.412273619073206e-05	0.00016092758575144266	True
96	-1.0936419	3.279887658326508e-05	0.00012614952532025031	True
59	-1.2103229	3.032524431469722e-05	0.00012130097725878887	True
56	-1.6021922	1.6254294239375294e-05	7.388315563352406e-05	True
11	-1.4206703	8.615285426542839e-06	4.307642713271419e-05	True
63	-1.3219849	6.598235201712626e-06	3.472755369322435e-05	True
69	-1.0742092	6.063741366700845e-06	3.3687452037226916e-05	True
50	-2.1436677	3.1241692724143236e-06	1.837746630831955e-05	True
62	-1.8249153	2.93235229615749e-06	1.832720185098431e-05	True
6	-1.3822833	2.686968159323105e-06	1.7913121062154035e-05	True
23	-1.3044066	2.200419161892084e-06	1.57172797278006e-05	True
64	-1.7181494	4.2744124638959115e-07	4.614969514975111e-06	True
28	-1.8629806	9.07365994507176e-08	1.13420749313397e-06	True
89	-1.7769895	1.3500690031227779e-08	1.928670004461111e-07	True
