gene	log2FC	p_value	q_value	signif
95	0.22566351	0.01538491010939421	0.3076982021878842	False
80	0.21250582	0.026104931162681297	0.4350821860446883	False
17	0.16172214	0.0469171087414944	0.44487529947262244	False
5	0.20048395	0.04893628294198847	0.44487529947262244	False
11	0.12961619	0.06520688777121803	0.5015914443939848	False
31	0.18622649	0.0766265167637909	0.505866930127611	False
75	0.18938501	0.07909561196281541	0.505866930127611	False
16	0.10075542	0.09857438719301571	0.5476354844056429	False
99	0.1803268	0.14346000570458065	0.6916650045135126	False
60	0.15020327	0.17060403685243675	0.6967463942965066	False
56	0.11148323	0.1726443946356434	0.6967463942965066	False
22	0.14552277	0.20315224979969504	0.7349926028430298	False
12	0.11109614	0.20547287692566818	0.7349926028430298	False
64	0.1248857	0.21135859632756226	0.7349926028430298	False
67	0.12195107	0.21314785482447862	0.7349926028430298	False
30	0.11669344	0.2607886518309529	0.7996565398231913	False
37	0.12756915	0.26564946675843504	0.7996565398231913	False
39	0.031310845	0.27341327193526443	0.7996565398231913	False
10	0.086266845	0.27987978893811694	0.7996565398231913	False
8	0.10815489	0.30832239829118957	0.8191003295121747	False
89	0.10595977	0.3192671748212391	0.8191003295121747	False
51	0.054591157	0.3485637534656679	0.8191003295121747	False
47	0.10331215	0.3536076173498588	0.8191003295121747	False
34	0.03839733	0.38661440919954027	0.8404661069555223	False
72	0.07651632	0.39832452653573447	0.8474989926292223	False
49	0.10286085	0.42237649319010084	0.8545114530070973	False
19	0.085475676	0.42237649319010084	0.8545114530070973	False
78	0.080259144	0.4414439174521978	0.8545114530070973	False
97	0.05557889	0.4443459555636906	0.8545114530070973	False
58	0.04806731	0.5406038981579837	0.89752216197813	False
23	0.07532733	0.5514250377701915	0.89752216197813	False
65	0.06524634	0.5678537809083282	0.89752216197813	False
26	0.05290224	0.5722740124799349	0.89752216197813	False
29	0.047123797	0.5800485107076682	0.89752216197813	False
77	0.04907807	0.5901164281141367	0.89752216197813	False
21	0.052365363	0.5923646269055658	0.89752216197813	False
76	0.050872013	0.6059355647590643	0.902817127979171	False
79	0.060365096	0.6311696948912593	0.9086193722883559	False
83	0.061983313	0.6451197543247327	0.9086193722883559	False
7	0.024306847	0.7069704629384448	0.9602749248645107	False
63	0.01310469	0.7106034443997379	0.9602749248645107	False
6	-0.00787864	0.7398980807862223	0.9754606484326594	False
52	0.020311054	0.7497498933412605	0.9754606484326594	False
91	0.031415597	0.7908051901510224	0.9754606484326594	False
42	0.049275286	0.7945683596224261	0.9754606484326594	False
87	0.023561087	0.8592052704452577	0.9754606484326594	False
24	0.039984804	0.864321001212672	0.9754606484326594	False
59	-0.004156568	0.864321001212672	0.9754606484326594	False
