gene	log2FC	p_value	q_value	signif
69	0.45736095	1.1299905808229756e-06	0.00011299905808229756	True
98	0.36883295	4.8459457284940865e-06	0.0002422972864247043	True
10	0.37684166	7.400142682316513e-06	0.00024667142274388375	True
54	0.38844705	1.0964730103146243e-05	0.0002741182525786561	True
56	0.38135868	1.788261831001091e-05	0.0003576523662002182	True
23	0.35420302	3.0981692539345905e-05	0.0004676973909670838	True
1	0.36329585	3.648234464904499e-05	0.0004676973909670838	True
15	0.3648267	3.8062999062492595e-05	0.0004676973909670838	True
51	0.37113753	4.230391905797079e-05	0.0004676973909670838	True
44	0.35515386	5.109019483935622e-05	0.0004676973909670838	True
30	0.36652443	5.1446713006379214e-05	0.0004676973909670838	True
31	0.3604716	6.244162888953129e-05	0.0005005459822234653	True
71	0.3878023	6.50709776890505e-05	0.0005005459822234653	True
88	0.3206512	0.00010458253555599351	0.0007470181111142392	True
35	0.28883898	0.00013729930104065653	0.0009153286736043769	True
68	0.37367776	0.00020162857873228183	0.001194506787943468	True
61	0.35360277	0.00020821894102405908	0.001194506787943468	True
58	0.3413978	0.00021501122182982424	0.001194506787943468	True
62	0.32433274	0.00026533096124255976	0.0013964787433818934	True
4	0.30607978	0.00028442430476828865	0.0014221215238414432	True
38	0.30244327	0.00032858097067861754	0.001564671288945798	True
77	0.29801944	0.0004367863623550969	0.0019853925561595315	True
50	0.37291342	0.0005087379426968706	0.0022119040986820463	True
16	0.36705682	0.0005340021675179705	0.002225009031324877	True
96	0.3239701	0.0005987647273636003	0.0023950589094544014	True
92	0.32841367	0.0006747821426292346	0.0025953159331893634	True
93	0.2953296	0.0008444921782943608	0.003127748808497632	True
82	0.3000811	0.0009217776237479528	0.0032533337214566633	True
46	0.3450217	0.0009434667792224322	0.0032533337214566633	True
70	0.31169534	0.0010838441161729903	0.0036128137205766347	True
57	0.27227324	0.0011744111267862328	0.003788422989633009	True
45	0.2990795	0.0015406896603058515	0.004814655188455786	True
36	0.2556205	0.0016382636550201636	0.0049644353182429195	True
100	0.32205772	0.0017318696920536494	0.00497570247187855	True
97	0.29452983	0.0017414958651574925	0.00497570247187855	True
17	0.28441182	0.0019878066909434573	0.005423924349088232	True
43	0.27334547	0.0021110558268706762	0.005423924349088232	True
33	0.2963072	0.00214586484999871	0.005423924349088232	True
34	0.28667113	0.002169362390940308	0.005423924349088232	True
7	0.25885394	0.0022412774314902123	0.005423924349088232	True
25	0.2924069	0.002265730336368196	0.005423924349088232	True
90	0.26288423	0.0022780482266170575	0.005423924349088232	True
72	0.25871423	0.0024438610671752735	0.005683397830640171	True
95	0.28817236	0.0027498118754249582	0.006249572444147632	True
21	0.3339548	0.002978060277574972	0.006577682575446723	True
24	0.26815397	0.0030257339847054926	0.006577682575446723	True
65	0.2766228	0.0031396915180945044	0.00668019471935001	True
84	0.274886	0.004032543969959287	0.008401133270748515	True
47	0.2534069	0.0041590396415152955	0.00848783600309244	True
11	0.25040275	0.004355541622272182	0.008711083244544364	True
48	0.27217528	0.004607121495374966	0.009033571559558758	True
27	0.26789716	0.005721760147870109	0.011003384899750208	True
89	0.2658637	0.006971161092727888	0.0129248907984541	True
39	0.23715313	0.007005317402332313	0.0129248907984541	True
8	0.2811221	0.007108689939149755	0.0129248907984541	True
73	0.2247818	0.01086935557319942	0.01940956352357039	True
79	0.2486383	0.011334136078061904	0.019884449259757728	True
86	0.24334297	0.01154630938050772	0.019907429966392623	True
99	0.2672278	0.012148069411596494	0.020528228433103306	True
55	0.22977526	0.012316937059861983	0.020528228433103306	True
63	0.17532185	0.014642981991153452	0.024004888510087627	True
74	0.21261501	0.01573295184534077	0.025309658823209055	True
60	0.20798859	0.015945085058621706	0.025309658823209055	True
32	0.19638216	0.01986964216727735	0.030701814065170287	True
94	0.20382918	0.020393082327243496	0.030701814065170287	True
12	0.20257327	0.020481481868571454	0.030701814065170287	True
13	0.16728011	0.020570215423664093	0.030701814065170287	True
3	0.27117914	0.021476148525708758	0.03158257136133641	True
66	0.22625561	0.025456005404057604	0.03689276145515595	True
59	0.112584196	0.0263243942595351	0.03760627751362157	True
41	0.21216321	0.026768107156253215	0.03770155937500453	True
37	0.18111052	0.028845632875730543	0.0400633789940702	True
9	0.21586198	0.03410174130201403	0.04626966282198528	True
28	0.18141273	0.034239550488269106	0.04626966282198528	True
14	0.19082026	0.04602274019942903	0.061363653599238704	False
64	0.16907202	0.05359581839768115	0.07052081368115941	False
91	0.17653945	0.06737107038256494	0.08749489660073369	False
22	0.19650991	0.06959401691570025	0.08922309860987211	False
80	0.21901654	0.09148664109008507	0.11580587479757604	False
29	0.16796431	0.0972540659826563	0.1204726092296578	False
53	0.17490521	0.09758281347602282	0.1204726092296578	False
5	0.17514455	0.10296450940912262	0.12556647488917394	False
42	0.12930597	0.15257956806413348	0.18383080489654635	False
18	0.13436073	0.15873969445546654	0.18897582673269828	False
81	0.10195874	0.21017180585258632	0.24726094806186627	False
85	0.13422947	0.2361192250130818	0.27437208189856377	False
19	0.124807015	0.2387037112517505	0.27437208189856377	False
40	0.096976325	0.24327446854970058	0.27644825971556886	False
87	0.09919566	0.26147926208841854	0.2937969236948523	False
26	0.097562745	0.28718580441901964	0.3190953382433552	False
75	0.12633035	0.29914102595963665	0.32872640215344684	False
76	0.11642207	0.3386139441892312	0.3680586349882948	False
49	0.086747274	0.3427373315217104	0.3685347650771079	False
83	0.10923342	0.3561467631807955	0.37887953529871865	False
67	0.06796649	0.36555497705457984	0.3847947126890314	False
52	0.048131067	0.43855276498424056	0.45682579685858393	False
20	0.057385016	0.5098351174017939	0.5256032138162824	False
78	0.055932246	0.6451197543247327	0.658285463596666	False
6	0.011879136	0.7509842832925695	0.7585699831238076	False
2	-0.011085036	0.9183393322822475	0.9183393322822475	False
