ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
17	18	1940.2039	3624.768	0.78231287	2684.817	2976.0134	0.904436469078064	0.429410845041275	288.06076	284.20105	3.8597107	0.04945885594566746	0.8767646876152809	False
47	48	1779.0894	4014.7126	0.75652415	2141.6985	4339.4424	0.6621471047401428	1.2245171070098877	286.6776	283.08926	3.5883484	0.058186044947205695	0.8767646876152809	False
3	4	2028.6062	3039.4521	0.66561717	2487.2166	3238.5461	0.5869629383087158	1.077501893043518	281.8973	278.839	3.058319	0.0803247241350511	0.8767646876152809	False
64	65	2682.5417	1611.4648	0.83249724	2999.9707	2075.777	0.7436327338218689	1.1879287958145142	288.80542	285.9789	2.8265076	0.09271979285217025	0.8767646876152809	False
81	82	1936.6704	3380.1912	0.5540003	2241.2188	3929.3682	0.6212848424911499	0.2786957323551178	274.7642	271.97382	2.7903748	0.09483204751581109	0.8767646876152809	False
93	94	1987.6279	3657.6348	0.97396433	2505.814	3534.9866	0.9009667634963989	1.3778480291366577	289.46973	286.71497	2.7547607	0.0969653212325764	0.8767646876152809	False
66	67	2018.7008	3116.1553	0.47708902	2305.5637	3660.3704	0.5339867472648621	0.2363739311695099	266.7547	264.04825	2.7064514	0.09994308665110063	0.8767646876152809	False
82	83	1698.1738	3970.893	0.5919729	1831.8452	5055.8975	0.49451589584350586	0.9573426246643066	278.801	276.1059	2.6950989	0.10065724454275127	0.8767646876152809	False
99	100	2532.137	1916.3723	0.49821615	3006.6228	2006.0157	0.44200852513313293	0.7845537066459656	266.44464	263.7574	2.6872559	0.10115388369419076	0.8767646876152809	False
0	1	2837.821	1412.2299	0.5798426	3091.9873	2018.6257	0.6261967420578003	0.31958940625190735	273.5129	270.86874	2.644165	0.10393074967483162	0.8767646876152809	False
72	73	2149.0562	2993.9395	0.7242632	3130.8008	1762.329	0.6940158009529114	1.054294228553772	286.41367	283.99585	2.4178162	0.11996206319727687	0.8767646876152809	False
23	24	1786.9058	3740.4468	0.52368224	1843.6005	5140.5996	0.4209131598472595	0.8496183753013611	273.76538	271.3512	2.4141846	0.12024056686594897	0.8767646876152809	False
20	21	1563.7529	4049.6072	0.5062095	2270.8054	3685.4214	0.48046016693115234	0.8164889812469482	273.94464	271.61957	2.3250732	0.1273042282813548	0.8767646876152809	False
30	31	1708.8256	3961.6116	0.65803605	2091.826	4297.752	0.5902684330940247	1.0059971809387207	282.38983	280.09335	2.2964783	0.12966770440521969	0.8767646876152809	False
14	15	2823.1194	1206.8588	0.67214465	3446.7815	1159.7877	0.7310321927070618	0.44257280230522156	281.6975	279.65323	2.044281	0.15277915120491714	0.8767646876152809	False
98	99	1891.6599	2925.769	0.46372348	2200.0771	3925.5508	0.4048186242580414	0.6947652697563171	265.25507	263.34885	1.9062195	0.1673838100498668	0.8767646876152809	False
53	54	2276.2412	2628.503	0.72032136	2457.9402	3537.8904	0.773113489151001	0.4518754482269287	284.97366	283.12415	1.8495178	0.1738394848988476	0.8767646876152809	False
21	22	2208.9592	2563.4207	0.5732592	2537.919	3050.257	0.617224931716919	0.3555927872657776	274.9832	273.33276	1.6504211	0.19890162103216535	0.8767646876152809	False
74	75	1496.9801	4745.2183	0.5532779	1866.6465	4887.019	0.6321874856948853	0.35007908940315247	276.44864	274.8038	1.6448364	0.19966318074080136	0.8767646876152809	False
86	87	2718.198	1650.5924	0.79177296	3228.73	1668.364	0.853263258934021	0.5666860342025757	288.06094	286.42828	1.6326599	0.2013355397418064	0.8767646876152809	False
88	89	2072.5662	3254.3203	0.7349373	2639.6326	3038.466	0.7014121413230896	0.992539644241333	286.37222	284.7554	1.6168213	0.20353558368324243	0.8767646876152809	False
32	33	2093.2532	3024.2725	0.73071676	2543.4746	3099.404	0.6797862648963928	1.0006177425384521	285.41718	283.84924	1.5679321	0.21050757300856415	0.8767646876152809	False
52	53	1887.6477	3582.1804	0.6851872	2240.9478	3882.3894	0.6241934299468994	0.9671494960784912	283.7104	282.16147	1.5489197	0.213294996572847	0.8767646876152809	False
46	47	2294.4006	2532.1123	0.6298033	2542.9148	3222.4158	0.5681235790252686	0.8630616664886475	280.23257	278.71713	1.5154419	0.21831057574683388	0.8767646876152809	False
13	14	2466.2766	2002.0548	0.52504635	2928.487	2092.6338	0.4805243909358978	0.7288318872451782	269.36392	267.87177	1.492157	0.2218820932233051	0.8767646876152809	False
95	96	2891.1304	1248.6263	0.70975804	3062.2854	2095.7642	0.6350110173225403	0.9551246762275696	283.5293	282.07574	1.4535522	0.22795881877997304	0.8767646876152809	False
57	58	2068.9065	3226.2922	0.7217464	2308.459	3906.366	0.6560697555541992	0.9796433448791504	285.8431	284.48114	1.361969	0.24319652903912814	0.8772572583166153	False
55	56	2159.3186	2515.4827	0.44164693	2417.368	3279.7979	0.4635162949562073	0.2654958963394165	260.26196	259.01837	1.2435913	0.2647800419841353	0.8772572583166153	False
18	19	1801.2878	3796.7346	0.48829097	2128.8481	4106.6543	0.5320427417755127	0.32982006669044495	269.6773	268.43634	1.2409668	0.2652848098205949	0.8772572583166153	False
9	10	2088.317	3215.096	0.79821265	2625.3254	3022.5962	0.7636985182762146	1.059362530708313	288.17828	286.97717	1.2011108	0.27309977020116594	0.8772572583166153	False
51	52	2099.8828	3365.3596	0.820734	2773.1755	2814.1401	0.8894283175468445	0.6761754751205444	289.99176	288.82587	1.1658936	0.2802466138291767	0.8772572583166153	False
10	11	2309.8916	2602.6885	0.7488758	2904.4404	2359.7998	0.8075698614120483	0.5847059488296509	287.1767	286.0488	1.1278992	0.2882238937113294	0.8772572583166153	False
90	91	2314.4658	1971.249	0.5819374	2645.9785	2877.1333	0.5280463695526123	0.7606548070907593	275.21844	274.1659	1.0525513	0.3049202374534786	0.8772572583166153	False
78	79	1820.8258	3660.3635	0.54974055	2134.5532	4132.255	0.5089368224143982	0.7395998239517212	275.28873	274.24423	1.0444946	0.3067784392562609	0.8772572583166153	False
94	95	2418.9797	2239.442	0.5694951	3007.9148	1994.8392	0.5401469469070435	0.761034369468689	274.15646	273.1131	1.0433655	0.30704004041081534	0.8772572583166153	False
29	30	1950.7639	3205.7961	0.5811323	2231.838	3862.3013	0.5317792892456055	0.7595478892326355	276.64008	275.77094	0.8691406	0.351193329850195	0.8823323811236136	False
61	62	2075.6528	2926.5332	0.68198144	2235.5845	3954.2908	0.715582013130188	0.4721658229827881	283.43256	282.5693	0.86325073	0.35283059334435996	0.8823323811236136	False
1	2	2772.8762	1426.6294	0.6708387	2985.9749	2105.151	0.6160489320755005	0.8639193773269653	280.98383	280.13654	0.84729004	0.35732010467388287	0.8823323811236136	False
6	7	2398.655	1989.346	0.6231634	3037.6301	1852.9474	0.6725456714630127	0.4836761951446533	279.3366	278.48932	0.84729004	0.35732010467388287	0.8823323811236136	False
59	60	2527.2458	1975.2562	0.5829688	3061.176	1912.3225	0.5626208782196045	0.7008405923843384	275.7787	274.9417	0.8369751	0.36026332989448906	0.8823323811236136	False
42	43	2880.297	1445.9124	0.97416914	3536.188	1147.6577	1.0165321826934814	0.8168818354606628	291.88052	291.04874	0.8317871	0.3617562762606815	0.8823323811236136	False
89	90	1759.5455	3967.425	0.7588932	1992.2239	4691.3354	0.7114427089691162	0.9552013874053955	284.8923	284.10355	0.7887573	0.374476148029816	0.884184007495987	False
26	27	1550.0593	4553.0225	0.49048495	1821.7515	4945.541	0.5446897745132446	0.32563328742980957	271.39124	270.63666	0.75457764	0.3850307826978776	0.884184007495987	False
27	28	2440.358	2401.918	0.632239	3258.2085	1509.494	0.68288654088974	0.547626256942749	280.75378	280.0229	0.730896	0.3925929153872818	0.884184007495987	False
16	17	1911.8478	3464.088	0.62614846	2516.0332	3123.5437	0.6855700016021729	0.5045844316482544	281.04315	280.35156	0.69158936	0.40562430758029444	0.884184007495987	False
50	51	1863.6975	3471.8567	0.56109816	2132.5164	4201.658	0.5183658599853516	0.7126539349555969	275.44293	274.75458	0.6883545	0.40672464344815407	0.884184007495987	False
80	81	2894.6147	1222.4813	0.74695	3169.7568	1815.6212	0.7050203084945679	0.8727275133132935	285.75195	285.11646	0.63549805	0.4253457368988114	0.9049909295719392	False
73	74	1731.9268	4017.9854	0.6712832	2349.0166	3579.8276	0.6723588109016418	0.8253317475318909	283.95807	283.4079	0.5501709	0.45824787353838214	0.905338315942709	False
70	71	2654.3372	1669.1942	0.71386653	2948.2	2168.523	0.7421761751174927	0.5492671132087708	284.3393	283.81696	0.52233887	0.4698456895387946	0.905338315942709	False
43	44	1937.5837	3577.6396	0.84867346	2297.5957	3876.4707	0.8089014887809753	1.0271759033203125	288.73355	288.24005	0.49349976	0.4823702832538388	0.905338315942709	False
24	25	3019.8274	1013.0924	0.7786253	3442.939	1257.3027	0.8081971406936646	0.653661847114563	287.4258	286.95358	0.472229	0.49196350587485427	0.905338315942709	False
96	97	2140.6365	2628.677	0.5322745	2577.9722	2911.1606	0.5087956190109253	0.6665512919425964	272.51584	272.06274	0.45309448	0.5008690854830324	0.905338315942709	False
56	57	1869.6542	3620.071	0.62134576	2526.381	3071.5247	0.6695569157600403	0.5567731857299805	281.4652	281.01703	0.44818115	0.5031999639944039	0.905338315942709	False
60	61	1507.0182	4254.2236	0.40711147	1894.3065	4565.2397	0.4393855333328247	0.3496828079223633	263.51904	263.0938	0.42523193	0.5143378889186012	0.905338315942709	False
62	63	1774.326	3947.6763	0.7763717	1839.2307	5235.075	0.8061984181404114	0.5499484539031982	285.61084	285.1904	0.42044067	0.5167172384765966	0.905338315942709	False
91	92	2223.6353	2674.957	0.7263275	2653.7197	2882.423	0.7245928049087524	0.7744866013526917	285.75726	285.33768	0.41958618	0.5171436038166707	0.905338315942709	False
15	16	2869.9346	1377.2156	0.8564707	3292.527	1518.961	0.8871248364448547	0.7216434478759766	289.83536	289.43408	0.40127563	0.5264312002991707	0.905338315942709	False
45	46	2202.7131	2822.6826	0.67432463	2658.257	2898.9028	0.6933783888816833	0.6076992750167847	282.97495	282.60727	0.36767578	0.5442739001591593	0.905338315942709	False
7	8	2465.3738	2270.485	0.827636	2654.0286	3039.841	0.781207263469696	0.974958062171936	289.15204	288.7855	0.36654663	0.5448926940454937	0.905338315942709	False
2	3	1976.4486	3289.6345	0.71170896	2190.6123	4049.2402	0.7297422289848328	0.5830744504928589	284.89838	284.53595	0.36242676	0.5471615556826925	0.905338315942709	False
11	12	1923.801	3522.0574	0.67773294	2348.2444	3655.792	0.6597297787666321	0.7869086861610413	282.60577	282.2623	0.34347534	0.5578300251196477	0.905338315942709	False
92	93	1926.0035	3713.2083	0.7887359	2310.3691	3918.8066	0.7984837293624878	0.8021925687789917	286.96158	286.647	0.3145752	0.5748861392882931	0.905338315942709	False
12	13	2106.015	2986.3108	0.75621295	2202.0378	4130.612	0.6991448402404785	0.9131211638450623	285.83987	285.54138	0.29849243	0.5848290778334138	0.905338315942709	False
83	84	1698.3345	4357.811	0.851243	2194.5918	4206.2646	0.8651912808418274	0.9169334173202515	288.78296	288.4947	0.28826904	0.5913319093332677	0.905338315942709	False
63	64	2368.7048	2456.5198	0.58772045	2948.8777	2169.1387	0.5947443246841431	0.666521430015564	277.27582	276.9903	0.28552246	0.5931042347935334	0.905338315942709	False
44	45	1714.2463	4112.276	0.6801112	1982.7369	4708.351	0.7132700681686401	0.5529412627220154	282.15585	281.8771	0.27874756	0.597523288522188	0.905338315942709	False
68	69	2560.1174	2096.574	0.793443	3132.3174	1869.6707	0.8045783042907715	0.8178959488868713	288.2069	287.96564	0.24127197	0.623288934799225	0.9111769701622879	False
49	50	2791.5989	1537.5957	0.87842005	3147.043	1814.467	0.878082275390625	0.8603111505508423	290.16745	289.93866	0.22879028	0.6324222695443302	0.9111769701622879	False
76	77	2086.9744	3107.5278	0.76454663	2312.1055	3790.8281	0.7716232538223267	0.6816530823707581	287.35687	287.1407	0.21618652	0.6419610860869019	0.9111769701622879	False
48	49	1453.0226	4613.3613	0.55015963	1664.3654	5403.946	0.5272523760795593	0.6342892646789551	275.58673	275.37985	0.20687866	0.6492249547814573	0.9111769701622879	False
36	37	1858.9879	3700.4905	0.8169585	2265.6895	3882.358	0.8444539308547974	0.7491928339004517	287.29373	287.0956	0.19812012	0.656242531243429	0.9111769701622879	False
31	32	2309.8262	2455.5725	0.48234046	2628.5222	2895.9243	0.4681665897369385	0.5366739630699158	265.54407	265.34818	0.19589233	0.6580570674705353	0.9111769701622879	False
69	70	2893.5293	1110.2959	0.5007168	3370.4756	1216.3795	0.5139016509056091	0.4395056664943695	264.479	264.2917	0.1873169	0.6651591882184702	0.9111769701622879	False
33	34	1780.8906	3916.2676	0.6528509	2026.4072	4499.9077	0.6386828422546387	0.7024604082107544	280.76843	280.61703	0.1513977	0.6972032237611527	0.9298364469822452	False
8	9	1718.4884	4178.156	0.7607089	2025.3529	4642.2134	0.7282958030700684	0.913201630115509	285.57608	285.42487	0.1512146	0.6973773352366839	0.9298364469822452	False
