ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
47	48	255.03381	28746.102	0.004777872	125.11458	13060.908	0.001768892863765359	0.2807730436325073	488.1409	480.66452	7.4763794	0.0062513652981280865	0.5561229189148587	False
48	49	253.50717	28769.783	0.001081598	122.36582	13057.974	0.00044020189670845866	0.047384731471538544	488.78012	482.76953	6.0105896	0.014220275242984748	0.5561229189148587	False
85	86	266.05807	28640.879	0.0005238532	127.18504	12998.176	0.0002338642079848796	0.01589205674827099	483.67664	478.5788	5.0978394	0.02395566556504214	0.5561229189148587	False
20	21	252.22093	28777.734	0.0032001163	120.77997	13082.079	0.001405071234330535	0.10284692049026489	489.3259	484.25452	5.0713806	0.024324003251495308	0.5561229189148587	False
84	85	248.97595	28814.639	0.0022706047	118.719284	13142.477	0.0010516457259654999	0.0578775517642498	490.6902	486.3885	4.301697	0.03807436806457343	0.5561229189148587	False
29	30	253.85968	28759.504	0.0034209925	120.449165	13090.891	0.001624305616132915	0.07727158069610596	488.64883	484.5438	4.1050415	0.042755542042399064	0.5561229189148587	False
42	43	255.737	28738.264	0.005104727	121.20035	13071.353	0.0024404374416917562	0.1093270555138588	487.851	483.82642	4.024597	0.044841327351328175	0.5561229189148587	False
31	32	249.10814	28812.53	0.0026413822	117.31195	13061.343	0.0012889360077679157	0.053504034876823425	490.59177	486.88007	3.7117004	0.0540323186466386	0.5561229189148587	False
17	18	259.3207	28698.416	0.0052658515	119.88798	12795.208	0.0026420527137815952	0.09376920014619827	486.368	482.76334	3.6046753	0.057617319450613214	0.5561229189148587	False
98	99	254.15103	28755.95	0.0043713013	120.26961	13124.613	0.002194263506680727	0.07906565815210342	488.49533	484.96463	3.5307007	0.060242324714302575	0.5561229189148587	False
88	89	256.97745	28725.062	0.0035402302	120.994736	13045.663	0.007015564478933811	0.00019504217198118567	487.28757	483.7823	3.5052795	0.06117352108063445	0.5561229189148587	False
75	76	255.58607	28739.805	0.0066768904	119.8106	13051.896	0.0035088800359517336	0.09983022511005402	487.91882	484.78903	3.1297913	0.07687358284916956	0.5910953607892312	False
77	78	260.55063	28690.62	0.0017773393	122.13237	13049.034	0.0009407266625203192	0.02582671493291855	485.94617	482.89398	3.052185	0.0806285980647693	0.5910953607892312	False
35	36	258.80304	28704.273	0.0048558535	121.52341	13076.037	0.0025847768411040306	0.06925849616527557	486.58908	483.5791	3.0099792	0.08275335051049237	0.5910953607892312	False
