ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
30	31	346.7408	1301.9397	10.441231	359.82962	1000.28625	9.957976341247559	12.560516357421875	-2633.0183	-2640.6711	7.652832	0.005668326739421303	0.3174060278565779	False
77	78	455.31412	1081.5676	10.283415	479.1219	907.46814	9.861889839172363	12.092012405395508	-2548.3118	-2555.0737	6.761963	0.009312127251375202	0.3174060278565779	False
25	26	418.0388	1179.6965	10.300448	389.81836	1151.4807	9.904114723205566	12.043902397155762	-2557.9822	-2564.7043	6.722168	0.009522180835697336	0.3174060278565779	False
27	28	282.68967	1419.1167	10.078609	319.23822	1194.5769	9.664680480957031	11.770898818969727	-2452.1697	-2457.7092	5.539551	0.018591354423035722	0.3377990127577132	False
81	82	328.57452	1347.0718	10.788428	307.96838	1290.8934	10.378349304199219	12.616836547851562	-2789.1003	-2794.3562	5.2558594	0.0218729972959103	0.3377990127577132	False
1	2	400.38715	1215.1869	10.317161	437.10773	981.3359	9.936833381652832	11.902676582336426	-2564.7832	-2569.8838	5.100586	0.02391776277559643	0.3377990127577132	False
84	85	356.93845	1108.7058	10.071732	363.0032	1012.11237	9.719552993774414	11.622538566589355	-2459.7307	-2464.5247	4.7939453	0.028559937224339582	0.3377990127577132	False
51	52	349.95972	1343.2388	10.160554	311.70523	1364.65	9.833694458007812	11.690580368041992	-2506.8662	-2511.645	4.7788086	0.028812048003056256	0.3377990127577132	False
38	39	444.64114	1097.2231	10.41273	519.0973	743.8705	10.085746765136719	11.818326950073242	-2613.8948	-2618.3826	4.487793	0.03413772272430049	0.3377990127577132	False
8	9	289.61264	1534.6473	9.68005	230.74043	1604.9834	9.431636810302734	10.923805236816406	-2285.1265	-2289.339	4.2126465	0.04012369114197356	0.3377990127577132	False
80	81	300.41843	1508.7317	10.178038	333.49518	1278.623	9.786012649536133	11.844021797180176	-2510.7056	-2514.9062	4.2006836	0.040407687381810775	0.3377990127577132	False
97	98	350.34482	1363.9387	9.798422	410.92435	1037.2395	9.45655345916748	11.17076587677002	-2328.2688	-2332.464	4.1953125	0.04053588153092558	0.3377990127577132	False
28	29	334.58707	1277.6356	10.427103	404.42786	925.6315	10.100241661071777	11.718896865844727	-2612.4353	-2616.3342	3.8989258	0.04831699233489217	0.3716691718068629	False
22	23	336.52628	1374.9302	10.804009	306.24814	1342.3525	10.562032699584961	11.902228355407715	-2794.1982	-2797.917	3.71875	0.05380463647429723	0.38431883195926586	False
2	3	298.43417	1485.9075	9.834051	258.1983	1481.7384	9.558161735534668	11.098400115966797	-2358.1409	-2361.601	3.460205	0.06286251783279306	0.4190834522186204	False
57	58	402.85657	1209.6539	10.00471	361.91382	1211.7415	9.711162567138672	11.251826286315918	-2423.8884	-2426.8215	2.9331055	0.0867804181361429	0.45769452915716047	False
96	97	317.60962	1440.4661	10.100774	280.50693	1432.2548	9.83884048461914	11.328022956848145	-2474.2026	-2477.1052	2.902588	0.08843746628020543	0.45769452915716047	False
62	63	314.69473	1467.4213	10.129273	437.18973	927.0719	9.817566871643066	11.284915924072266	-2472.5168	-2475.3306	2.8137207	0.09346138026640305	0.45769452915716047	False
32	33	380.22998	1216.6097	10.138477	341.0018	1205.6425	9.86375617980957	11.31669807434082	-2488.059	-2490.745	2.6860352	0.10123142217610381	0.45769452915716047	False
53	54	346.77994	1354.1033	10.074755	283.06345	1453.0028	9.802245140075684	11.324515342712402	-2462.501	-2465.1416	2.640625	0.10416255883043912	0.45769452915716047	False
26	27	440.24802	1125.8318	10.349436	496.5606	812.8212	10.097957611083984	11.327262878417969	-2575.9316	-2578.5046	2.572998	0.10870154478298	0.45769452915716047	False
20	21	481.24454	1004.67285	9.849144	491.87796	844.5116	9.566385269165039	11.056214332580566	-2362.5193	-2365.0088	2.489502	0.11460798724557242	0.45769452915716047	False
61	62	408.3497	1230.1855	10.706397	469.67786	950.41974	10.428390502929688	11.822053909301758	-2738.5977	-2740.9783	2.3806152	0.12284915678776942	0.45769452915716047	False
24	25	278.8399	1499.4524	10.2936735	283.23227	1328.7538	9.996851921081543	11.524881362915039	-2561.668	-2563.988	2.3200684	0.12771441342864998	0.45769452915716047	False
94	95	434.68466	1102.2104	10.277656	429.41196	978.2974	9.99846363067627	11.416435241699219	-2551.8674	-2554.1763	2.308838	0.1286401939259756	0.45769452915716047	False
36	37	440.2666	1052.4855	10.361513	388.31845	1132.1614	10.073840141296387	11.671215057373047	-2597.007	-2599.2593	2.2521973	0.13342482993961968	0.45769452915716047	False
92	93	506.45825	930.98456	10.590856	503.90063	814.4589	10.3373384475708	11.634533882141113	-2691.6135	-2693.847	2.2333984	0.1350565001691284	0.45769452915716047	False
88	89	312.7499	1445.6719	10.355025	320.64108	1265.3457	10.097672462463379	11.427497863769531	-2588.6475	-2590.862	2.2145996	0.1367105260517535	0.45769452915716047	False
